Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Name Adopted,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Acer campestre,accepted,56193,Acer campestre,Acer campestre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,campestre
Acer ginnala,accepted,123638,Acer ginnala,Acer ginnala,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,ginnala
Acer rubrum,accepted,48098,Acer rubrum,Acer rubrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,rubrum
Acer rubrum var. rubrum,accepted,49675,Acer rubrum rubrum,Acer rubrum rubrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,rubrum
Acer saccharinum,accepted,54762,Acer saccharinum,Acer saccharinum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,saccharinum
Adiantum raddianum,accepted,158023,Adiantum raddianum,Adiantum raddianum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Vittarioideae,,Adiantum,raddianum
Adlumia fungosa,accepted,158027,Adlumia fungosa,Adlumia fungosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Fumarioideae,Corydaleae,Adlumia,fungosa
Aegilops cylindrica,accepted,75290,Aegilops cylindrica,Aegilops cylindrica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Aegilops,cylindrica
Aegilops tauschii,accepted,371638,Aegilops tauschii,Aegilops tauschii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Aegilops,tauschii
Aethusa cynapium,accepted,158043,Aethusa cynapium,Aethusa cynapium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Aethusa,cynapium
Agrostemma githago,accepted,75310,Agrostemma githago,Agrostemma githago,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Agrostemma,githago
