scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observation,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Aeolidia papillosa,"(Linnaeus, 1761)",,papillate sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,Aeolidia,papillosa,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763439,,498116,MOL,accepted,498116,Aeolidia papillosa,Aeolidia papillosa
Aequorea victoria s.lat.,,,water jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,Aequorea,victoria,NA,,NA,native,unlisted,NA,confirmed,observed,1985-07-29,Andy Lamb,PMLS,,NA,2017-05-26,Karolle Wall,iNat:7648048,,325995,CNI,accepted,325995,Aequorea victoria,Aequorea victoria
Aglaja ocelligera,"(Bergh, 1894)",,spotted aglaja,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,Aglaja,ocelligera,NA,,NA,native,unlisted,NA,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,NA,2015-05-20,Karolle Wall,iNat:32171691,,49842,MOL,accepted,49842,Aglaja ocelligera,Aglaja ocelligera
Aglantha digitale,"(O. F. Müller, 1776)",,pink helmit,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Trachymedusae,,,Rhopalonematidae,,,Aglantha,digitale,NA,,NA,native,unlisted,NA,reported,unobserved,1861,Alexander Agassiz,"Agassiz, A. 1861. Notes on the described species of Holconoti, found on the western coast of North America. March 20, 1861. Proceedings of the Boston Society of Natural History, v.8, pp. 122–134.",,NA,,,,,256085,CNI,accepted,256085,Aglantha digitale,Aglantha digitale
Aglaophenia sp.,,,ostrich-plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,NA,,NA,,,NA,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,NA,,,,,51218,CNI,accepted,51218,Aglaophenia,Aglaophenia
Agonopsis vulsa,"(Jordan & Gilbert, 1880)",,northern spearnose poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Agonidae,Agoninae,,Agonopsis,vulsa,NA,,NA,native,SNR,NA,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,,NA,2008-05-22,Jackson W.F. Chu,iNat:116447577,,180027,FIS,accepted,180027,Agonopsis vulsa,Agonopsis vulsa
Alcyonidium pedunculatum,"Robertson, 1902",,smooth leather bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,pedunculatum,NA,,NA,native,unlisted,NA,reported,unobserved,1994-02-26,Charlie Gibbs,PMLS,,NA,,,,,873864,LOP,accepted,873864,Alcyonidium pedunculatum,Alcyonidium pedunculatum
Alcyonium sp.,,,orange soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,Alcyoniidae,,,Alcyonium,,NA,,NA,,,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763485,,338004,CNI,accepted,338004,Alcyonium,Alcyonium
Aldisa albomarginata,"Millen in Millen & Gosliner, 1985",,white-rimmed nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,albomarginata,NA,,NA,native,unlisted,NA,reported,unobserved,2009-03-19,Andy Lamb,PMLS,,NA,,,,,50094,MOL,accepted,50094,Aldisa albomarginata,Aldisa albomarginata
Aldisa cooperi,"Robilliard & Baba, 1972",,Cooper's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,cooperi,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,1978-03-19,Neil McDaniel,iNat:100326124,,50097,MOL,accepted,50097,Aldisa cooperi,Aldisa cooperi
Aldisa sanguinea,"(J.G. Cooper, 1863)",,blood-spot dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,sanguinea,NA,,NA,native,unlisted,NA,confirmed,observed,2013-10-10,Andy Lamb,PMLS,,NA,2016-05-06,Karolle Wall,iNat:3705820,,50098,MOL,accepted,50098,Aldisa sanguinea,Aldisa sanguinea
Aldisa tara,"Millen in Millen & Gosliner, 1985",,Tara's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,tara,NA,,NA,native,unlisted,NA,confirmed,observed,2018-06-19,Andy Lamb,PMLS,,NA,1978-03-19,Neil McDaniel,iNat:100326772,,50100,MOL,accepted,50100,Aldisa tara,Aldisa tara
Alia carinata,"(Hinds, 1844)",,carinate dovesnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Alia,carinata,NA,,NA,native,unlisted,NA,new 2017,observed,,,,,NA,2017-05-26,Karolle Wall,iNat:7674348,reported as Mitrella carinata,129933,MOL,accepted,129933,Alia carinata,Alia carinata
Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,giant piling sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Alitta,williami,NA,,NA,native,unlisted,NA,new 2017,observed,,,,,NA,2017-04-17,Kristian Sigvardsen,iNat:5796200,,1115984,WOR,accepted,1115984,Alitta williami,Alitta williami
Ammodytes personatus,"Girard, 1856",,Pacific sand lance,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Trachinoidei,,Ammodytidae,,,Ammodytes,personatus,NA,,NA,native,SNR,NA,confirmed,observed,1993-08-16,Andy Lamb,PMLS,,NA,2011-05-20,Karolle Wall,iNat:4028615,,201784,FIS,accepted,201784,Ammodytes personatus,Ammodytes personatus
Ampelisca hancocki,"J.L. Barnard, 1954",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,hancocki,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-018,1898315672,,,,,295404,ART,accepted,295404,Ampelisca hancocki,Ampelisca hancocki
Ampelisca lobata,"Holmes, 1908",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,lobata,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-017,1898267968,,,,,295407,ART,accepted,295407,Ampelisca lobata,Ampelisca lobata
Ampelisca unsocalae,"J.L. Barnard, 1960",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,unsocalae,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-019,1898311199,,,,,313004,ART,accepted,1265117,Ampelisca unsocalae,Ampelisca macrocephala unsocalae
Amphilectus digitatus,"(Miklucho-Maclay, 1870)",,glove sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,Amphilectus,digitatus,NA,,NA,native,unlisted,NA,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,NA,,,,,459874,POR,accepted,459874,Amphilectus digitatus,Amphilectus digitatus
Amphiodia periercta,"H.L. Clark, 1911",,long-armed burrowing brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Amphiuroidea,Amphiuridae,,,Amphiodia,periercta,NA,,NA,native,unlisted,NA,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-007,1898321940,,,,,957349,ECH,accepted,957349,Amphiodia periercta,Amphiodia periercta
Amphisbetia greenei,"(Murray, 1860)",,fibre-optic hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Amphisbetia,greenei,NA,,NA,native,unlisted,NA,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,NA,,,,,1353331,CNI,accepted,1353331,Amphisbetia greenei,Amphisbetia greenei
Amphissa columbiana,"Dall, 1916",,wrinkled amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Amphissa,columbiana,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,RBCM,986-00191-015,NA,2022-02-12,Andrew Simon,iNat:106714614,,117643,MOL,accepted,117643,Amphissa columbiana,Amphissa columbiana
Amphissa versicolor,"Dall, 1871",,variegated amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Amphissa,versicolor,NA,,NA,native,unlisted,NA,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,NA,,,,,129932,MOL,accepted,129932,Amphissa versicolor,Amphissa versicolor
Ampithoe lacertosa,"Bate, 1858",,sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,Ampithoe,lacertosa,NA,,NA,native,unlisted,NA,reported,unobserved,2009-02-14,Andy Lamb,PMLS,,NA,,,,,260501,ART,accepted,260501,Ampithoe lacertosa,Ampithoe lacertosa
Anarrhichthys ocellatus,"Ayres, 1855",,wolf-eel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Anarhichadidae,,,Anarrhichthys,ocellatus,NA,,NA,native,SNR,NA,reported,unobserved,1994-02-26,Charlie Gibbs,PMLS,,NA,,,,,60635,FIS,accepted,60635,Anarrhichthys ocellatus,Anarrhichthys ocellatus
Anoplarchus purpurescens,"Gill, 1861",,high cockscomb,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Stichaeidae,Xiphisterinae,,Anoplarchus,purpurescens,NA,,NA,native,SNR,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2015-08-28,Andrew Simon,iNat:2580652,,67316,FIS,accepted,67316,Anoplarchus purpurescens,Anoplarchus purpurescens
Antho (Plocamia) karykina,"(Laubenfels, 1927)",,bright red sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,Ophlitaspongiinae,,Antho,karykina,NA,,NA,native,unlisted,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,reported as Plocamia karykina,345142,POR,accepted,345142,Antho karykina,Antho karykina
Anthopleura artemisia,"(Pickering in Dana, 1846)",,burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,artemisia,NA,,NA,native,unlisted,NA,confirmed,observed,1996-09-29,Charlie Gibbs,PMLS,,NA,2009-07-16,Karolle Wall,iNat:97205560,,51658,CNI,accepted,51658,Anthopleura artemisia,Anthopleura artemisia
Anthopleura elegantissima,"(Brandt, 1835)",,pink-tipped anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,elegantissima,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2013-10-13,Bridget Spencer,iNat:2580645,,52564,CNI,accepted,52564,Anthopleura elegantissima,Anthopleura elegantissima
Antiopella fusca,"(O'Donoghue, 1924)",,white-and-orange-tipped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Janolidae,,,Antiopella,fusca,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2009-11-15,Karin Fletcher,iNat:68751511,reported as Janolus fuscus,886884,MOL,accepted,886884,Antiopella fusca,Antiopella fusca
Apata pricei,"(MacFarland, 1966)",,Price's aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Apataidae,,,Apata,pricei,NA,,NA,native,unlisted,NA,confirmed,observed,2013-05-17,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751807,reported as Flabellina pricei,631469,MOL,accepted,631469,Apata pricei,Apata pricei
Aphrocallistes vastus,"Schulze, 1886",,cloud sponge,Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,Aphrocallistidae,,,Aphrocallistes,vastus,NA,,NA,native,unlisted,NA,confirmed,observed,2011-10-30,Jackson W.F. Chu,RBCM,016-00066-001,NA,2007-10-23,Jackson W.F. Chu,iNat:8459011,,424651,POR,accepted,424651,Aphrocallistes vastus,Aphrocallistes vastus
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Aphroditidae,,,Aphrodita,negligens,NA,,NA,native,unlisted,NA,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,733687,WOR,accepted,733687,Aphrodita negligens,Aphrodita negligens
Aplidium californicum,"(Ritter & Forsyth, 1917)",,California sea pork,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,Aplidium,californicum,NA,,NA,native,unlisted,NA,reported,unobserved,1994-10-07,Andy Lamb,PMLS,,NA,,,,,131232,TUN,accepted,131232,Aplidium californicum,Aplidium californicum
Aplidium kottae,"Brunetti, 2007",,red ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,Aplidium,kottae,NA,,NA,native,unlisted,NA,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,NA,,,,,195372,TUN,accepted,799283,Aplidium kottae,Aplidium solidum
Aplysilla polyraphis,"Laubenfels, 1930",,slippery purple sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,polyraphis,NA,,NA,native,unlisted,NA,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,NA,,,,,216652,POR,accepted,213993,Aplysilla polyraphis,Chelonaplysilla polyraphis
Aplysilla sp.,,,slippery rose sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,,NA,,NA,,,NA,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,NA,,,,undescribed species,63646,POR,accepted,63646,Aplysilla,Aplysilla
Apodichthys flavidus,"Girard, 1854",,penpoint gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Pholidae,Apodichthyinae,,Apodichthys,flavidus,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.5,NA,2013-06-22,Karolle Wall,iNat:4015148,,67408,FIS,accepted,67408,Apodichthys flavidus,Apodichthys flavidus
Apomatus geniculatus,"(Moore & Bush, 1904)",,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Apomatus,geniculatus,NA,,NA,native,unlisted,NA,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,NA,,,,,939557,WOR,accepted,939557,Apomatus geniculatus,Apomatus geniculatus
Apostichopus californicus,"(Stimpson, 1857)",,giant sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,Stichopodidae,,,Apostichopus,californicus,NA,,NA,native,unlisted,NA,confirmed,observed,1986-04-08,,RBCM,986-00191-032,NA,2009-07-21,Karolle Wall,iNat:97178767,,202640,ECH,accepted,202640,Apostichopus californicus,Apostichopus californicus
Arctonoe fragilis,"(Baird, 1863)",,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,fragilis,NA,,NA,native,unlisted,NA,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,2019-05-04,Isabelle M. Côté,iNat:129151052,,69914,WOR,accepted,69914,Arctonoe fragilis,Arctonoe fragilis
Arctonoe pulchra,"(Johnson, 1897)",,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,pulchra,NA,,NA,native,unlisted,NA,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,iNat:24535513,,465156,WOR,accepted,465156,Arctonoe pulchra,Arctonoe pulchra
Arctonoe vittata,"(Grube, 1855)",,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,vittata,NA,,NA,native,unlisted,NA,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,,,,,122163,WOR,accepted,122163,Arctonoe vittata,Arctonoe vittata
Argulus pugettensis,"Dana, 1853",,surfperch fish louse,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,Arguloidea,Argulidae,,,Argulus,pugettensis,NA,,NA,native,unlisted,NA,reported,unobserved,2007-09-29,Andy Lamb,PMLS,,NA,,,,,873865,ART,accepted,873865,Argulus pugettensis,Argulus pugettensis
Armina californica,"(J.G. Cooper, 1863)",,striped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Arminoidea,Arminidae,,,Armina,californica,NA,,NA,native,unlisted,NA,confirmed,observed,1975-06-17,Philip Lambert,RBCM,975-00224-003,1898310345,2013-10-13,Peter Luckham,iNat:2975918,,47499,MOL,accepted,47499,Armina californica,Armina californica
Artedius fenestralis,"Jordan & Gilbert, 1883",,padded sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Artedius,fenestralis,NA,,NA,native,SNR,NA,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2976334,,117527,FIS,accepted,117527,Artedius fenestralis,Artedius fenestralis
Artedius harringtoni,"(Starks, 1896)",,scalyhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Artedius,harringtoni,NA,,NA,native,SNR,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2015-01-01,Peter Luckham,iNat:2797281,,117528,FIS,accepted,117528,Artedius harringtoni,Artedius harringtoni
Artedius lateralis,"(Girard, 1854)",,smoothhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Artedius,lateralis,NA,,NA,native,SNR,NA,confirmed,observed,1985-12-08,Charlie Gibbs,PMLS,,NA,2020-08-13,Andrew Simon,iNat:56373896,,117529,FIS,accepted,117529,Artedius lateralis,Artedius lateralis
Ascidia columbiana,"(Huntsman, 1912)",,sea blisters,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,Ascidia,columbiana,NA,,NA,native,unlisted,NA,reported,unobserved,2011-11-18,Andy Lamb,PMLS,,NA,,,,,428617,TUN,accepted,428617,Ascidia columbiana,Ascidia columbiana
Ascidia paratropa,"(Huntsman, 1912)",,glassy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,Ascidia,paratropa,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2023-07-09,"Dave ""Zeuss"" Cochrane",iNat:172112408,,415129,TUN,accepted,415129,Ascidia paratropa,Ascidia paratropa
Asemichthys taylori,"Gilbert, 1912",,spinynose sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Radulininae,,Asemichthys,taylori,NA,,NA,native,SNR,NA,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2975888,,172639,FIS,accepted,172639,Asemichthys taylori,Asemichthys taylori
Atalodoris jannae,"(Millen, 1987)",,Janna's adalaria,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Atalodoris,jannae,NA,,NA,native,unlisted,NA,confirmed,observed,2018-06-19,Andy Lamb,PMLS,,NA,2009-11-15,Karin Fletcher,iNat:68751512,reported as Knoutsodonta jannae,508447,MOL,accepted,1364199,Atalodoris jannae,Knoutsodonta jannae
