Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Sagittaria latifolia,Willd.,,broadleaf arrowhead,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Alismataceae,,,Sagittaria,Sagittaria latifolia,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-07-13,pumakit,https://www.inaturalist.org/observations/86945066,iNat: needs i.d.,48070,VAS
Arum italicum,Mill.,,Italian arum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Aroideae,,Arum,Arum italicum,,,,exotic,SNA (2019),,new 2020,observed,,,,,,2020-04-30,veganforsnow,https://www.inaturalist.org/observations/44520090,,61168,VAS
Lemna minor,"L,",,common duckweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,Lemna minor,,,,native,S5 (2019),,new 2019,observed,,,,,,2019-12-28,Ben Keen,https://www.inaturalist.org/observations/37048511,,54518,VAS
Lysichiton americanus,Hultén & H.St.John,,western skunk cabbage,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Orontioideae,,Lysichiton,Lysichiton americanus,,,,native,S5 (2019),,new 2013,observed,,,,,,2013-08-16,jmaughn,http://www.inaturalist.org/observations/367813,,48537,VAS
Triglochin maritima,L.,,common arrowgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Juncaginaceae,,,Triglochin,Triglochin maritima,,,,native,S5 (2000),,confirmed,observed,1997-05-18,Gerald B. Straley,UBC,V226287,,2019-05-26,citizen1,https://www.inaturalist.org/observations/26127503,,60264,VAS
Potamogeton berchtoldii,Fieber,,small pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,Potamogeton berchtoldii,,,,native,S4 (2001),,reported,unobserved,1982-08-02,A.A. Rose,UBC,V176401,,,,,"UBC:  NW side of Squamish River Rd at Mile 15, herbarium record P. pusillus",78706,VAS
Potamogeton epihydrus,Raf.,,ribbon-leaved pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,Potamogeton epihydrus,,,,native,S5 (2000),,reported,unobserved,1982-08-02,A.A. Rose,UBC,V176399,,,,,"UBC:  NW side of Squamish River Rd at Mile 15, herbarium record P. pusillus",78709,VAS
Potamogeton foliosus,Raf.,,leafy pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,Potamogeton foliosus,,,,native,S4S5 (2015),,reported,unobserved,1977-08-12,J. M. Goddard,RBCM,V171312,,,,,RBCM:  Lucille Lake,59107,VAS
Potamogeton natans,L.,,floating-leaved pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,Potamogeton natans,,,,native,S5? (2015),,new 2009,observed,,,,,,2009-12-28,Ben Keen,https://www.inaturalist.org/observations/37048406,,78712,VAS
Potamogeton praelongus,Wulfen,,long-stalked pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,Potamogeton praelongus,,,,native,S5 (2019),,new 2022,observed,,,,,,2022-10-12,sidalcea,https://www.inaturalist.org/observations/138566988,,78713,VAS
