scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode
Maianthemum dilatatum,(Alph. Wood) A. Nelson & J.F. Macbr.,,western lily of the valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,Maianthemum dilatatum,,,,native,S5 (2000),,1997-05-18,Gerald B. Straley,UBC,V226289,,2017-04-16,sea2skynaturebc,iNaturalist,http://inaturalist.ca/observations/5762841,,,confirmed,observed,,63939,VAS
Cytisus scoparius,(L.) Link,,common broom,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Cytisus,Cytisus scoparius,,,,exotic,SNA (2001),,1963-07-30,Geoffrey G.E. Scudder,UBC,V102873,,2017-05-31,sea2skynaturebc,iNaturalist,http://inaturalist.ca/observations/6444231,,,confirmed,observed,,48538,VAS
Lupinus polyphyllus ssp. polyphyllus,Lindl.,,large-leaved lupine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Lupinus,Lupinus polyphyllus,,polyphyllus,,native,S4 (2001),,1963-06-19,,RBCM,V045326,,2017-05-31,sea2skynaturebc,iNaturalist,http://inaturalist.ca/observations/6444270,,,confirmed,observed,,61016,VAS
Heracleum maximum,W. Bartram,,common cowparsnip,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,,Heracleum,Heracleum maximum,,,,native,S5 (2015),,,,,,,2017-06-09,sea2skynaturebc,iNaturalist,http://inaturalist.ca/observations/6564669,,,new 2017,observed,,53094,VAS
Honckenya peploides ssp. major,(L.) Ehrh.,(Hook.) Hultén,sea sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,,Honckenya,Honckenya peploides,,major,,native,S5 (2019),,,,,,,2017-06-11,eelgrass13,iNaturalist,http://inaturalist.ca/observations/6595672,,,new 2017,observed,,129448,VAS
Corallorhiza maculata,(Raf.) Raf.,,spotted coralroot,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Corallorhiza,Corallorhiza maculata,,,,native,S5 (2000),,1913-06-15,Fred Perry,UBC,V52040,,2017-06-25,Judith Holm,iNaturalist,http://inaturalist.ca/observations/6792845,,,confirmed,observed,,49475,VAS
Clintonia uniflora,(Menzies ex Schult. & Schult. f.) Kunth,,bride's bonnet,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Clintonia,Clintonia uniflora,,,,native,S5 (2015),,2010-07-01,Erin R. Manton,UBC,V236238,,2017-07-16,sea2skynaturebc,iNaturalist,http://inaturalist.ca/observations/7076582,,,confirmed,observed,,76401,VAS
Lysichiton americanus,Hultén & H.St.John,,western skunk cabbage,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Orontioideae,,Lysichiton,Lysichiton americanus,,,,native,S5 (2019),,,,,,,2013-08-16,jmaughn,iNaturalist,http://www.inaturalist.org/observations/367813,,,new 2013,observed,,48537,VAS
Phlox diffusa ssp. longistylis,Benth.,Wherry,spreading phlox,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Polymoniaceae,,,Phlox,Phlox diffusa,,longistylis,,native,S5 (2000),,1926-07-27,George A. Hardy,RBCM,V008082,,2016-07-31,joanseptembre,iNaturalist,http://www.inaturalist.org/observations/3786860,,,confirmed,observed,RBCM:  Garibaldi PP Black Tusk slope,78544,VAS
Erythronium oregonum,Applegate,,giant white fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,,Erythronium,Erythronium oregonum,,,,native,S4 (2019),,,,,,,2016-03-24,mtncatt,iNaturalist,http://www.inaturalist.org/observations/4242613,,,new 2016,observed,,59520,VAS
Bidens amplissima,Greene,,Vancouver Island beggarticks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Bidens,Bidens amplissima,,,,native,S3 (2015),,2014-08-07,Anne Anderson,UBC,V244536,,2019-08-16,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4366532,,,confirmed,observed,,159233,VAS
Carex macrocephala,Willd. ex Spreng.,,large-headed sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,Carex macrocephala,,,,native,S4 (2015),,,,,,,2015-05-31,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4367519,,,new 2015,observed,,160006,VAS
Cirsium vulgare,(Savi) Ten.,,bull thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cirsium,Cirsium vulgare,,,,exotic,SNA (2001),,,,,,,2015-06-07,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4372564,,,new 2015,observed,,52989,VAS
Claytonia sibirica,L.,,candy flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Montiaceae,,,Claytonia,Claytonia sibirica,,,,native,S5 (2015),,,,,,,2015-04-04,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4372696,,,new 2015,observed,,55767,VAS
Cotula coronopifolia,L.,,brass buttons,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Cotula,Cotula coronopifolia,,,,exotic,SNA (2001),,,,,,,2015-07-18,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4373200,,,new 2015,observed,,58812,VAS
Deschampsia cespitosa,(L.) P. Beauv.,,tufted hair grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Deschampsia,Deschampsia cespitosa,,,,native,S5 (2000),,,,,,,2016-06-21,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4373411,,,new 2016,observed,,76639,VAS
Hordeum brachyantherum,Nevski,,meadow barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Hordeum,Hordeum brachyantherum,,,,native,S5 (2000),,1916-06-22,,RBCM,V000615,,2015-07-09,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4390161,,,confirmed,observed,,57173,VAS
Juncus balticus,Willd.,,Baltic rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus balticus,,,,native,S5 (2015),,,,,,,2015-05-20,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4390183,,,new 2015,observed,,58347,VAS
Juncus effusus,L.,,soft rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus effusus,,,,,,,1941-09-06,,RBCM,V014143,,2015-06-05,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4390234,,,confirmed,observed,Multiple infrataxa known for the region,56153,VAS
Juncus ensifolius,Wikstr.,,dagger rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus ensifolius,,,,native,S5 (2015),,1943-07-17,,RBCM,V016413,,2015-06-07,Judith Holm,iNaturalist,http://www.inaturalist.org/observations/4390265,,,confirmed,observed,,77569,VAS
