Taxon,Matched.Taxon
Achnanthidium,Achnanthidium sp.
Agardhiella,Agardhiella sp.
Amphora margalefii var. lacustris,Halamphora margalefii var. lacustris
Antithamnionella pacifica var. pacifica,Antithamnionella pacifica
Aulacodiscus,Aulacodiscus sp.
Bacillaria paxiillifer,Bacillaria paxillifera
Bacillaria paxilifer,Bacillaria paxiillifer
Berkeleya,Berkeleya sp.
Bolidomonas,Bolidomonas sp.
Clathromorphum etc.,Clathromorphum sp.
Cocconeis,Cocconeis sp.
Cyclotella,Cyclotella sp.
Cymathere triplicata,Cymathaere triplicata
Cymbella,Cymbella sp.
Cystoseira geminata,Stephanocystis geminata
Diploneis,Diploneis sp.
Ellerbeckia,Ellerbeckia sp.
Encyonema,Encyonema sp.
Entomoneis,Entomoneis sp.
Extubocellulus spinifer ,Extubocellulus spinifer
Fauchea fryeana,Gloiocladia fryeana
Fragilariopsis oceanica,Fragilariopsis cf oceanica
Fucus gardneri,Fucus distichus
Gigartina exasperata,Chondracanthus exasperatus
Gomphoneis,Gomphoneis sp.
Gomphonemopsis pseudoexigua,Gomphonemopsis pseudexigua
Gymnogongrus chiton,Fredericqia chiton
Halothrix,Halothrix sp.
Heterosigma,Heterosigma sp.
Holmesia californica,Loranthophycus californicus
Hymenena spp.,Hymenena sp.
Laminaria bongardiana,Hedophyllum bongardianum
Laminaria saccharina,Saccharina latissima
Licmorphora paradoxa,Licmophora paradoxa
Lithothamnion,Lithothamnion sp.
Melosira,Melosira sp.
Membranoptera multiramosa,Membranoptera platyphylla
Mesophyllum,Mesophyllum sp.
Nitophyllum nottii,Polyneura latissima
Palmaria mollis,Devaleraea mollis
Phaeodactylum,Phaeodactylum sp.
Phycodrys isabelliae,Phycodrys isabellae
Pinnularia,Pinnularia sp.
Plagiogramma,Plagiogramma sp.
Platythamnion,Platythamnion sp.
Pleaurosigma,Pleurosigma sp.
Plocamium cartilagineum pacificum,Plocamium cartilagineum ssp. pacificum
Plocamium pacificum,Plocamium cartilagineum ssp. pacificum
Polysiphonia,Polysiphonia sp.
Porphyra,Porphyra sp.
Porphyra gardneri,Pyropia gardneri
Porphyra nereocystis,Pyropia nereocystis
Psammodictyon,Psammodictyon sp.
Pseudogomphonema kamschaticum,Pseudogomphonema kamtschaticum
Pseudolithophyllum,Pseudolithophyllum sp.
Pterosiphonia gracilis,Symphyocladiella gracilis
Pylaiella,Pylaiella sp.
Rhizosolenia setigera pungens,Rhizosolenia setigera f. pungens
Scagelia corallina var. occidentale,Scagelia occidentalis
Seminavis,Seminavis sp.
Serratifera,Pseudostaurosira sp.
Serratifera andersonii,Pseudostaurosira andersonii
Stenogramma interruptum,Stenogramma californicum
Thalassiosira,Thalassiosira sp.
Tokidadendron kurilensis,Congregatocarpus kurilensis
Trentepohlia abietina,Trentepohlia cf abietina
Ulva lactuca,Ulva fenestrata
Urospora,Urospora sp.
Vaucheria,Vaucheria sp.
