"Taxon","Matched.Taxon","Critical.Note"
"Prasiola furfuracea","Prasiola borealis","Material under the name Prasiola furfuracea is most likely Prasiola borealis. Since P. borealis has type localities of Unalaska and Kodiak Islands, Alaska, whereas P. furfuracea, which is the older name, has a type locality of Denmark, we follow AlgaeBase (Guiry and Guiry 2021) and identify our specimen(s) as P. borealis. Both species are distinguished by cells occurring in groups; they may or may not be infected with a fungus, which turns them black.”  "
"Psammodictyon","Psammodictyon sp.",""
"Pseudendoclonium","Pseudendoclonium sp.",""
"Pseudogomphonema kamschaticum","Pseudogomphonema kamtschaticum",""
"Pseudolithophyllum","Pseudolithophyllum sp.",""
"Pteridomonas","Pteridomonas sp.",""
"Pterochondria woodii","Vertebrata woodii",""
"Pterosiphonia gracilis","Symphyocladiella gracilis",""
"Pugetia cf. fragilissima","Pugetia fragilissima",""
"Pylaiella","Pylaiella sp.",""
"Rhizoclonium","Rhizoclonium sp.",""
"Rhizosolenia setigera","Rhizosolenia setigera f. pungens","note: genomics data resolves only to Rhizosolenia setigera"
"Rhizosolenia setigera pungens","Rhizosolenia setigera f. pungens",""
"Rhodomela","Rhodomela sp.",""
"Rhodophysema","Rhodophysema sp.",""
"Sarcinochrysis","Sarcinochrysis sp.",""
"Scagelia corallina var. occidentale","Scagelia occidentalis",""
"Scrippsiella","Scrippsiella sp.",""
"Seminavis","Seminavis sp.",""
"Serratifera andersonii","Pseudostaurosira andersonii",""
"Spumella","Spumella sp.",""
"Stauroneis","Stauroneis sp.",""
"Stenogramma interruptum","Stenogramma californicum",""
"Stichococcus","Stichococcus sp.",""
"Strombidium","Strombidium sp",""
"Thalassiosira anguste-lineata","Thalassiosira angustelineata",""
"Thalassiosira rotula","Thalassiosira gravida",""
"Thraustochytrium","Thraustochytrium sp.",""
"Tintinnopsis","Tintinnopsis sp.",""
"Tokidadendron kurilensis","Congregatocarpus kurilensis",""
"Ulva lactuca","Ulva fenestrata",""
"Ulvella","Ulvella sp.",""
"Urospora","Urospora sp.",""
"Vaucheria","Vaucheria sp.",""
"Zoothamnium","Zoothamnium sp.",""
"Blidingia spp., including Blidingia minima var. vexata","",""
"Bryopsis sp.","",""
"Cladophora sp.","",""
"Lessoniopsis littoralis","",""
"undetermined diatom","",""
"Ectocarpus, Feldmannia, Hincksia, Pilayella","",""
"Desmarestia aculeata / viridis","",""
"undetermined brown algae","",""
"Pyropia sp.","",""
"Hildenbrandia spp.","",""
