Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Anthoceros fusiformis,Austin,,dotted hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,,Anthoceros,native,S3S4 (2020),confirmed,observed,1962-06-04,Frank M. Boas & Wilfred B. Schofield,WTU,B-010848,,2018-04-01,Andrew Simon,https://www.inaturalist.org/observations/13879380,Reported as Anthoceros punctatus; Check: Schofield’s report of Anthoceros punctatus is likely in error,56326,BRY
Aulacomnium androgynum,(Hedw.) Schwägr.,,lover’s moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,,Aulacomnium,native,S5 (2015),confirmed,observed,2017-05-13,"Olivia Lee, Steve Joya, Andrew Simon & Scott Gilmore",UBC,B213486,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608820,,124384,BRY
Aulacomnium palustre,(Hedw.) Schwägr.,,bog groove-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,,Aulacomnium,native,S5 (2015),confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2020-05-07,Andrew Simon,https://www.inaturalist.org/observations/45205086,,154189,BRY
Anacolia menziesii,(Turner) Paris,,Menzies’ Anacolia moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Anacolia,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5537829,,128572,BRY
Philonotis capillaris,Lindb.,,apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Philonotis,native,S4 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-12-31,Andrew Simon,https://www.inaturalist.org/observations/9328978,,123642,BRY
Philonotis fontana,(Hedw.) Brid.,,fountain apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Philonotis,native,S5,confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5922794,,133809,BRY
Bryum argenteum,Hedw.,,silvergreen threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-04,Andrew Simon,https://www.inaturalist.org/observations/5227998,,123390,BRY
Epipterygium tozeri,(Grev.) Lindb.,,Tozer’s transparent thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Epipterygium,native,S3S4 (2015),confirmed,observed,1962-06-03,Wilfred B. Schofield & F. M. Boas,UBC,B3066,,2020-04-30,Andrew Simon,https://www.inaturalist.org/observations/44459129,Bodega Ridge; damp roadside,67875,BRY
Gemmabryum dichotomum,(Hedw.) J.R. Spence & H.P. Ramsay,,gemmate threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Gemmabryum,native,S4? (2015),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B111043,,,,,"Reported as Bryum bicolor; McClude Road, base of Quadra Hill; near Sturdies Bay",539713,BRY
Gemmabryum sp.,,,,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Gemmabryum,,,new 2020,observed,,,,,,2020-05-07,chlorophilia,https://www.inaturalist.org/observations/45245278,,68096,BRY
Imbribryum miniatum,(Lesq.) J.R. Spence,,red threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Imbribryum,native,S4S5 (2015),confirmed,observed,2010-01-26,Terry McIntosh,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-03-12,Andrew Simon,https://www.inaturalist.org/observations/5296349,,538114,BRY
Imbribryum torenii,J.R. Spence & Shevock,,threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Imbribryum,native,unlisted,new 2017,observed,,,,,,2017-03-04,Steve Joya & Andrew Simon,https://www.inaturalist.org/observations/22644618,,622988,BRY
Pohlia annotina,(Hedw.) Lindb.,,pale-fruited threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Pohlia,native,S4 (2015),reported,unobserved,1962-06-04,Wilfred B. Schofield & F. M. Boas,UBC,B151533,,,,,"S Strait of Georgia, McLure Road, near Quadra Hill",167124,BRY
Ptychostomum capillare,(Hedw.) D. T. Holyoak & N. Pedersen,,capillary threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Ptychostomum,native,S4S5 (2015),confirmed,observed,2014,Terry McIntosh,Bryophytes and Lichens from Galiano Island 2010–2015,,,2016-12-22,Andrew Simon,https://www.inaturalist.org/observations/4838174,,1121982,BRY
Ptychostomum pseudotriquetrum,(Hedwig) J. R. Spence & H. P. Ramsay ex Holyoak & N. Pedersen,,threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Ptychostomum,native,S5 (2015),confirmed,observed,2017-05-13,Olivia Lee,UBC,B233234,,2016-10-23,Andrew Simon,http://www.inaturalist.org/observations/4425667,,68300,BRY
Rosulabryum canariense,(Brid.) Ochyra,,robust threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Rosulabryum,native,S4S5 (2015),new 2017,observed,,,,,,2017-02-11,Andrew Simon,https://www.inaturalist.org/observations/5095101,,481178,BRY
Rosulabryum erythroloma,(Kindb.) J.R. Spence,,,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Rosulabryum,native,S2S3 (2011),new 2020,observed,,,,,,2020-04-30,Andrew Simon,https://www.inaturalist.org/observations/44442516,,520737,BRY
Rosulabryum torquescens,(Bruch ex De Not.) J.R. Spence,,twisted threadmoss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Rosulabryum,native,S4S5 (2011),reported,unobserved,1962-06-03,Wilfred B. Schofield,UBC,B103508,,,,,,466642,BRY
