Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Tribe,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Heptacarpus brevirostris,"(Dana, 1852)",,stout coastal shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,native,unlisted,confirmed,observed,1976-06-20,Rita M. O'Clair,CMN,CMNC 2004-3237,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674355,,63679,ART
Heptacarpus kincaidi,"(Rathbun, 1902)",,Kincaid's shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,native,unlisted,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,,459524,ART
Heptacarpus stylus,"(Stimpson, 1864)",,stiletto shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,native,unlisted,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,458674,ART
Heptacarpus sitchensis,"(J.F. Brandt in von Middendorf, 1851)",,red-banded transparent shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,native,unlisted,new 2017,observed,,,,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674367,,67627,ART
Heptacarpus tridens,"(Rathbun, 1902)",,threespine shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,native,unlisted,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,459522,ART
Lebbeus eludus,"Jensen, 2006",,elusive lebbeid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,native,unlisted,reported,unobserved,2009-05-30,Andy Lamb,PMLS,,,,,,,459480,ART
Lebbeus grandimanus,"(Bražnikov, 1907)",,candy stripe shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,native,unlisted,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,,459598,ART
Lebbeus mundus,"Jensen, 2006",,cleaner lebbeid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,native,unlisted,reported,unobserved,2008-02-16,Andy Lamb,PMLS,,,,,,,459601,ART
Spirontocaris prionota,"(Stimpson, 1864)",,deep blade shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Spirontocaris,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-023,1898324901,,,,,424249,ART
Hemigrapsus nudus,"(Dana, 1851)",,purple shore crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,,Varuninae,Hemigrapsus,native,unlisted,confirmed,observed,1948-06-05,,RBCM,976-01171-005,1898278739,2011-08-10,Nancy Woodham,http://www.inaturalist.org/observations/4021637,,48342,ART
Hemigrapsus oregonensis,"(Dana, 1851)",,yellow shore crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,,Varuninae,Hemigrapsus,native,unlisted,new 2016,observed,,,,,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2580697,,69170,ART
Euphausia spp.,,,krill,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Euphausiacea,,,Euphausiidae,,,Euphausia,,,reported,unobserved,1973-09-21,Andy Lamb,PMLS,,,,,,,195136,ART
Bopyroides hippolytes,"(Kröyer, 1838)",,shrimp parasitic isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,Bopyroidea,Bopyridae,,Bopyrinae,Bopyroides,native,unlisted,reported,unobserved,2010-07-17,Andy Lamb,PMLS,,,,,,,873867,ART
Pentidotea resecata,"(Stimpson, 1857)",,eelgrass isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,,Pentidotea,native,unlisted,new 2016,observed,,,,,,2016-05-08,Karolle Wall,http://www.inaturalist.org/observations/4078193,,141842,ART
Pentidotea wosnesenskii,"(Brandt, 1851)",,rockweed isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,,Pentidotea,native,unlisted,confirmed,observed,1960-12-22,Donald E. McAllister & M.O Yesaki,CMN,CMNC 1987-0102,,2017-04-08,Tyrel Froese,https://www.inaturalist.org/observations/5620541,,126295,ART
Gnorimosphaeroma oregonense,"(Dana, 1853)",,Oregon pillbug,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Sphaeromatidea,Sphaeromatoidea,Sphaeromatidae,,,Gnorimosphaeroma,native,unlisted,confirmed,observed,1976-06-20,Rita M. O'Clair,CMN,CMNC 1987-0202,,2019-05-04,David Metzger,https://www.inaturalist.org/observations/24633050,,123798,ART
Argulus pugettensis,"Dana, 1853",,surfperch fish louse,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Argulidae,,,Argulus,native,unlisted,reported,unobserved,2007-09-29,Andy Lamb,PMLS,,,,,,,873865,ART
