Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Tribe,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Ampithoe lacertosa,"Bate, 1858",,sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,Ampithoe,native,unlisted,reported,unobserved,2009-02-14,Andy Lamb,PMLS,,,,,,,260501,ART
Caprella alaskana,"Mayer, 1903",,Alaskan skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,,Caprellinae,Caprella,native,unlisted,reported,unobserved,2008-06-21,Andy Lamb,PMLS,,,,,,,508889,ART
Caprella mutica,"Schurin, 1935",,Japanese skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,,Caprellinae,Caprella,native,unlisted,new 2019,observed,,,,,,2019-05-04,Emily Adamczyk,https://inaturalist.ca/observations/24697074,,64634,ART
Desdimelita californica,"(Alderman, 1936)",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,native,unlisted,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2006-0611,,,,,,1128629,ART
Desdimelita microdentata,"Jarrett & Bousfield, 1996",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,native,unlisted,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2007-0102,,,,,,1128632,ART
Photis brevipes,"Shoemaker, 1942",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Photoidea,Photidae,,,Photis,native,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-002,1898291753,,,,,295828,ART
Chromopleustes oculatus,"(Holmes, 1908)",,black-and-white sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,Parapleustinae,Chromopleustes,native,unlisted,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,,,,,,796029,ART
Gnathopleustes pachychaetus,"Bousfield & Hendrycks, 1995",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,Parapleustinae,Gnathopleustes,native,unlisted,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2004-0232,,,,,,1128633,ART
Megalorchestia pugettensis,"Dana, 1852",,Puget Sound beach flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,,Megalorchestia,native,unlisted,new 2018,observed,,,,,,2018-08-01,Andrew Simon,https://www.inaturalist.org/observations/15038969,,345335,ART
Traskorchestia traskiana,"(Stimpson, 1857)",,Pacific beach hopper,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,,Traskorchestia,native,unlisted,new 2017,observed,,,,,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5516564,,130223,ART
