Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Armadillidium vulgare,"Latreille, 1804",,common pill woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Armadillidiidae,,,Armadillidium,,,new 2017,observed,2019-05-04,M. Ankenman,RBCM,020-00038-002,,2017-05-08,Andrew Simon,https://www.inaturalist.org/observations/6217455,,56083,ART
Ligia occidentalis,"(Dana, 1853)",,western sea roach,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligia,,,new 2016,observed,,,,,,2016-06-27,Andrew Simon,http://www.inaturalist.org/observations/3540153,,117674,ART
Ligia pallasii,"Brandt, 1833",,common rock louse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligia,,,new 2017,observed,,,,,,2017-08-04,Tyson Ehlers,https://www.inaturalist.org/observations/8914894,,84264,ART
Ligidium gracile,"(Dana, 1854)",,isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligidium,,,new 2017,observed,2019-05-04,M. Ankenman,RBCM,020-00041-002,,2017-05-27,Ayla Malcolm,https://www.inaturalist.org/observations/6613083,,339104,ART
Oniscus asellus,"Linnaeus, 1758",,common shiny woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Oniscidae,,,Oniscus,,,new 2016,observed,2019-05-04,M. Ankenman,RBCM,020-00038-001,,2016-06-23,William Terpenning,http://www.inaturalist.org/observations/3516082,,48284,ART
Porcellio scaber,"Latreille, 1804",,common rough woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Porcellionidae,,,Porcellio,,,new 2017,observed,2019-05-04,M. Ankenman,RBCM,020-00041-001,,2017-05-18,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/3562554,,122238,ART
