year,n_edges,n_nodes,frame_file
1800,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1800.png
1810,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1810.png
1820,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1820.png
1830,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1830.png
1840,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1840.png
1850,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1850.png
1860,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1860.png
1870,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1870.png
1880,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1880.png
1890,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1890.png
1900,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1900.png
1910,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1910.png
1920,0,0,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1920.png
1930,3,5,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1930.png
1940,4,6,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1940.png
1950,4,6,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1950.png
1960,5,8,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1960.png
1970,12,18,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1970.png
1980,135,153,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1980.png
1990,219,241,outputs/vascular_plants/network_animation/frames/vascular_plants_network_1990.png
2000,269,296,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2000.png
2010,583,603,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2010.png
2011,591,606,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2011.png
2012,606,617,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2012.png
2013,627,621,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2013.png
2014,647,634,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2014.png
2015,785,649,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2015.png
2016,964,709,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2016.png
2017,1057,753,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2017.png
2018,1114,781,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2018.png
2019,1145,810,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2019.png
2020,1181,830,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2020.png
2021,1200,843,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2021.png
2022,1264,878,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2022.png
2023,1282,899,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2023.png
2024,1284,902,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2024.png
2025,1290,913,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2025.png
2026,1290,913,outputs/vascular_plants/network_animation/frames/vascular_plants_network_2026.png
