name,node_class,taxon_status,taxon_year,color,size,label
Andy Lamb & Donna Gibbs,historical,NA,NA,#CC79A7,2.0026178010471205,Andy Lamb & Donna Gibbs
Angela Wood,historical,NA,NA,#CC79A7,2.115183246073298,Angela Wood
B. Schwartz,historical,NA,NA,#CC79A7,2,B. Schwartz
B. Stephens,historical,NA,NA,#CC79A7,2,B. Stephens
B. Turner,historical,NA,NA,#CC79A7,2,B. Turner
Bev Benedict,historical,NA,NA,#CC79A7,2,Bev Benedict
Bruce Bennett,historical,NA,NA,#CC79A7,2,Bruce Bennett
Christopher Clement,historical,NA,NA,#CC79A7,2.005235602094241,Christopher Clement
Frank Lomer,historical,NA,NA,#CC79A7,2.068062827225131,Frank Lomer
Gerald B. Straley,historical,NA,NA,#CC79A7,2.0575916230366493,Gerald B. Straley
Gerald Straley & K. Nichols,historical,NA,NA,#CC79A7,2,Gerald Straley & K. Nichols
Hans Roemer,historical,NA,NA,#CC79A7,2.1204188481675392,Hans Roemer
Harvey Janszen,historical,NA,NA,#CC79A7,3,Harvey Janszen
"Harvey Janszen, Jenifer Penny & Charlotte Norris",historical,NA,NA,#CC79A7,2.0026178010471205,"Harvey Janszen, Jenifer Penny & Charlotte Norris"
J. A. Calder,historical,NA,NA,#CC79A7,2.0104712041884816,J. A. Calder
J. Travis,historical,NA,NA,#CC79A7,2,J. Travis
"Jenifer Penny, Charlotte Norris, & Harvey Janszen",historical,NA,NA,#CC79A7,2,"Jenifer Penny, Charlotte Norris, & Harvey Janszen"
"Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen",historical,NA,NA,#CC79A7,2,"Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen"
Keith Erickson & S. Gates,historical,NA,NA,#CC79A7,2,Keith Erickson & S. Gates
Keith Erickson & Steven Gates,historical,NA,NA,#CC79A7,2,Keith Erickson & Steven Gates
Kent Brothers,historical,NA,NA,#CC79A7,2.0104712041884816,Kent Brothers
Leon Pavlick,historical,NA,NA,#CC79A7,2,Leon Pavlick
Matt Fairbarns,historical,NA,NA,#CC79A7,2.0104712041884816,Matt Fairbarns
P. F. Zika,historical,NA,NA,#CC79A7,2,P. F. Zika
R. Biggs,historical,NA,NA,#CC79A7,2,R. Biggs
S. Keene,historical,NA,NA,#CC79A7,2.005235602094241,S. Keene
T. C. Brayshaw,historical,NA,NA,#CC79A7,2,T. C. Brayshaw
T. M. Taylor,historical,NA,NA,#CC79A7,2,T. M. Taylor
Terry Taylor,historical,NA,NA,#CC79A7,2.0104712041884816,Terry Taylor
Trudy Chatwin,historical,NA,NA,#CC79A7,2,Trudy Chatwin
V. J. Krajina,historical,NA,NA,#CC79A7,2,V. J. Krajina
W. M. Bird,historical,NA,NA,#CC79A7,2,W. M. Bird
Wilfred B. Schofield,historical,NA,NA,#CC79A7,2.0157068062827226,Wilfred B. Schofield
William J. Crins,historical,NA,NA,#CC79A7,2.0418848167539267,William J. Crins
William Newcombe,historical,NA,NA,#CC79A7,2.005235602094241,William Newcombe
Adam Huggins,contemporary,NA,NA,#E69F00,2.099476439790576,Adam Huggins
Adam Huggins & Andrew Simon,contemporary,NA,NA,#E69F00,2,Adam Huggins & Andrew Simon
Aimee Pelletier,contemporary,NA,NA,#E69F00,2,Aimee Pelletier
Alejandro Huereca Delgado,contemporary,NA,NA,#E69F00,2,Alejandro Huereca Delgado
Alexander J. Wright,contemporary,NA,NA,#E69F00,2.0235602094240837,Alexander J. Wright
Alexander J. Wright & Andrew Simon,contemporary,NA,NA,#E69F00,2.005235602094241,Alexander J. Wright & Andrew Simon
