from,to,person_name,person_class,edge_class,weight,entry_year
Andy Lamb & Donna Gibbs,Salicornia depressa,Andy Lamb & Donna Gibbs,historical,reported,1,2006
Andy Lamb & Donna Gibbs,Zostera marina,Andy Lamb & Donna Gibbs,historical,confirmed,1,1985
Angela Wood,Acmispon americanus var. americanus,Angela Wood,historical,reported,1,1975
Angela Wood,Aira caryophyllea,Angela Wood,historical,confirmed,1,1975
Angela Wood,Alopecurus geniculatus,Angela Wood,historical,confirmed,1,1975
Angela Wood,Anthoxanthum odoratum,Angela Wood,historical,confirmed,1,1975
Angela Wood,Bromus carinatus var. carinatus,Angela Wood,historical,confirmed,1,1975
Angela Wood,Capsella bursa-pastoris,Angela Wood,historical,confirmed,1,1975
Angela Wood,Cardamine oligosperma,Angela Wood,historical,confirmed,1,1975
Angela Wood,Comarum palustre,Angela Wood,historical,confirmed,1,1975
Angela Wood,Echium vulgare,Angela Wood,historical,confirmed,1,1975
Angela Wood,Elymus glaucus ssp. glaucus,Angela Wood,historical,confirmed,1,1975
Angela Wood,Erythranthe cf guttata,Angela Wood,historical,confirmed,1,1975
Angela Wood,Erythranthe sookensis,Angela Wood,historical,confirmed,1,1975
Angela Wood,Festuca rubra ssp. pruinosa,Angela Wood,historical,confirmed,1,1975
Angela Wood,Gaultheria shallon,Angela Wood,historical,confirmed,1,1975
Angela Wood,Grindelia stricta,Angela Wood,historical,confirmed,1,1975
Angela Wood,Hesperis matronalis,Angela Wood,historical,confirmed,1,1975
Angela Wood,Hordeum murinum ssp. murinum,Angela Wood,historical,confirmed,1,1975
Angela Wood,Hyacinthoides × massartiana,Angela Wood,historical,confirmed,1,1975
Angela Wood,Juncus acuminatus,Angela Wood,historical,confirmed,1,1975
Angela Wood,Juncus bolanderi,Angela Wood,historical,confirmed,1,1975
Angela Wood,Juncus dudleyi,Angela Wood,historical,reported,1,1975
Angela Wood,Lapsana communis,Angela Wood,historical,confirmed,1,1975
Angela Wood,Leucanthemum vulgare,Angela Wood,historical,confirmed,1,1975
Angela Wood,Lupinus polyphyllus var. polyphyllus,Angela Wood,historical,reported,1,1975
Angela Wood,Luzula multiflora ssp. multiflora,Angela Wood,historical,confirmed,1,1975
Angela Wood,Moehringia macrophylla,Angela Wood,historical,confirmed,1,1975
Angela Wood,Myosotis arvensis,Angela Wood,historical,confirmed,1,1975
Angela Wood,Myosotis discolor,Angela Wood,historical,confirmed,1,1975
Angela Wood,Myosotis laxa,Angela Wood,historical,confirmed,1,1975
Angela Wood,Myosotis scorpioides,Angela Wood,historical,confirmed,1,1975
Angela Wood,Myosotis sylvatica,Angela Wood,historical,confirmed,1,1975
Angela Wood,Phragmites australis ssp. americanus,Angela Wood,historical,reported,1,1975
Angela Wood,Poa howellii,Angela Wood,historical,reported,1,1975
Angela Wood,Poa pratensis,Angela Wood,historical,confirmed,1,1975
Angela Wood,Polystichum munitum,Angela Wood,historical,confirmed,1,1975
Angela Wood,Quercus garryana var. garryana,Angela Wood,historical,confirmed,1,1975
Angela Wood,Ranunculus repens,Angela Wood,historical,confirmed,1,1975
Angela Wood,Raphanus raphanistrum,Angela Wood,historical,confirmed,1,1975
Angela Wood,Silene latifolia,Angela Wood,historical,reported,1,1975
Angela Wood,Sisymbrium officinale,Angela Wood,historical,confirmed,1,1975
Angela Wood,Spergularia rubra,Angela Wood,historical,confirmed,1,1975
Angela Wood,Stellaria crispa,Angela Wood,historical,confirmed,1,1975
Angela Wood,Stellaria sitchana,Angela Wood,historical,confirmed,1,1975
Angela Wood,Symphyotrichum chilense,Angela Wood,historical,confirmed,1,1975
Angela Wood,Ulex europaeus,Angela Wood,historical,confirmed,1,1975
B. Schwartz,Claytonia sibirica,B. Schwartz,historical,confirmed,1,1972
B. Stephens,Cerastium arvense ssp. strictum,B. Stephens,historical,confirmed,1,1972
B. Turner,Carex leporina,B. Turner,historical,confirmed,1,1966
Bev Benedict,Erythranthe nasuta,Bev Benedict,historical,confirmed,1,1993
Bruce Bennett,Symphyotrichum subspicatum,Bruce Bennett,historical,confirmed,1,1966
Christopher Clement,Eleocharis palustris,Christopher Clement,historical,confirmed,1,1978
Christopher Clement,Juncus effusus ssp. pacificus,Christopher Clement,historical,confirmed,1,1978
Christopher Clement,Salix prolixa,Christopher Clement,historical,reported,1,1978
Frank Lomer,Agrostis pallens,Frank Lomer,historical,confirmed,1,2022
Frank Lomer,Cardamine flexuosa,Frank Lomer,historical,confirmed,1,2003
Frank Lomer,Festuca microstachys var. pauciflora,Frank Lomer,historical,confirmed,1,2003
Frank Lomer,Glyceria elata,Frank Lomer,historical,confirmed,1,2022
Frank Lomer,Medicago arabica,Frank Lomer,historical,confirmed,1,2022
