catalogNumber,scientificName,QualifiedS,CommonName,family,genus,speciesEpithet,scientificNameAuthorship,subspecies,Subspeci_1,variety,VarietyAut,form,FormaAutho,identifiedBy,IDDate,identificationRemarks,CDC,MuseumColl,Collection,recordedBy,Collectors,eventDate,Collecto_1,stateProvince,District,locality,locationRemarks,decimalLatitude,decimalLongitude,Approximat,UTMZone,UTMNorthin,UTMEasting,verbatimElevation,Park_ER_IR,habitat,occurrenceRemarks,SpeciesAbu,georeferenceRemarks,LU
V097862,Glyceria borealis (Nash) Batch.,Glyceria borealis (Nash) Batch.,grass; northern mannagrass,Poaceae,Glyceria,borealis,(Nash) Batch.,,,,,,,Mary Barkworth,1990-01-01,IDD:  19900000; M.E.B. from Intermountain Herbarium -  Utah State University; loan no. 353,Not Listed,Janszen 1979,BE012134,Harvey Janszen,1358,1979-07-09,BS010459,British Columbia,,Galiano Island,lake shore sec-L-20,48.877209000000000,-123.366928000000000,FALSE,,,,,,lake shore,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097864,Agrostis scabra Willd.,Agrostis scabra Willd.,grass; hair bentgrass; winter bentgrass,Poaceae,Agrostis,scabra,Willd.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012095,Harvey Janszen,1366,1979-07-09,BS010424,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,Meadow; roadside.,,,locality information vague; coordinates generalized to mid Galiano Island,
V097865,Poa compressa L.,Poa compressa L.,Canada bluegrass; grass,Poaceae,Poa,compressa,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE012129,Harvey Janszen,1265,1979-06-28,BS010454,British Columbia,Gulf Islands,Galiano Island,Clam Bay Road; gravel pit sec-L-66,48.948117000000000,-123.500951000000000,FALSE,,,,,,waste ground; moist roadside,some lemmas moderately webbed,,corrected; coordinates generalized based on locality and habitat information,
V097867,Poa trivialis L.,Poa trivialis L.,grass; rough bluegrass,Poaceae,Poa,trivialis,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1979,BE012131,Harvey Janszen,1300,1979-06-28,BS010456,British Columbia,,Galiano Island,Galiano Island; sec-L-51,48.930541000000000,-123.450818000000000,FALSE,,,,,,farm fields,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097869,Alopecurus geniculatus L.,Alopecurus geniculatus L.,grass; water meadow-foxtail,Poaceae,Alopecurus,geniculatus,L.,,,,,,,William Crins,1989-01-01,,Not Listed,Janszen 1979,BE012072,Harvey Janszen,1294,1979-06-28,BS010411,British Columbia,Gulf Islands,Galiano Island,,48.931751000000000,-123.478665000000000,TRUE,,,,,,Wet farm field sec-L-57.,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097870,Trisetum canescens Buckl.,Trisetum canescens Buckl.,grass; tall trisetum,Poaceae,Trisetum,canescens,Buckl.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Hanszen 1979,BE012070,Harvey Janszen,1165,1979-06-08,BS010410,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,TRUE,,,,,,dry moss floored fir forest,,,locality information vague; coordinates generalized to mid Galiano Island,
V097871,Aira caryophyllea L.,Aira caryophyllea L.,grass; silver hairgrass,Poaceae,Aira,caryophyllea,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012144,Harvey Janszen,1168,1979-06-08,BS010469,British Columbia,Gulf Islands,Galiano Island,sec L 19,48.881908000000000,-123.375010000000000,FALSE,,,,,,Moss floor fir forest; sec-L-19.,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097875,Holcus lanatus L.,Holcus lanatus L.,common velvet-grass; grass,Poaceae,Holcus,lanatus,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE013684,Harvey Janszen,1136,1979-06-08,BS011763,British Columbia,,Gulf Islands; Galiano Island,Georgeson Bay Road,48.876177000000000,-123.350878000000000,FALSE,,,,,,waste ground and meadow,,,corrected; coordinates generalized based on locality information; uncertain,
V097879,Bromus vulgaris (Hook.) Shear,Bromus vulgaris (Hook.) Shear,Columbia brome; grass,Poaceae,Bromus,vulgaris,(Hook.) Shear,,,,,,,Jeffery Saarela,2009-01-01,"IDD:  20090000; Saarela from National Herbarium of Canada (CAN), Canadian Museum of Nature",Not Listed,Janszen 1979,BE012120,Harvey Janszen,1161,1979-06-08,BS010447,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,Cedar swordfern forest,,,locality information vague; coordinates generalized to mid Galiano Island,
V097880,Dactylis glomerata L.,Dactylis glomerata L.,grass; orchard-grass,Poaceae,Dactylis,glomerata,L.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,,BE012160,Harvey Janszen,1133,1979-06-08,BS010485,British Columbia,Gulf Islands,Galiano Island; Georgeson Bay,Georgeson Bay Road,48.880400000000000,-123.350000000000000,FALSE,,,,,,waste ground; meadow,,,corrected; coordinates generalized based on locality information,
V097881,Cotoneaster simonsii Bak.,Cotoneaster simonsii Bak.,cotoneaster; Himalayan cotoneaster,Rosaceae,Cotoneaster,simonsii,Bak.,,,,,,,Peter Zika,2000-01-01,"IDD:  20000000; Zika from University of Washington, Seattle (WTU)",Not Listed,Janszen 1979,BE063554,Harvey Janszen,1364,1979-07-09,BS052462,British Columbia,Gulf Islands,Sturdies Bay; Galiano Island,,48.879166666666700,-123.319444444444000,FALSE,,,,,,roadside waste land,"10+ stamens, 5 petals, 5 ovaries, winged seeds (4)",,coordinates generally accurate,
V097885,Myriophyllum,Myriophyllum,water-milfoil,Haloragaceae,Myriophyllum,,,,,,,,,Adolf Ceska,2007-01-01,,,Janszen 1979,BE012113,Harvey Janszen; Angela Wood,A251,1979-07-24,BS010440,British Columbia,Gulf Islands,Galiano Island,,48.983207000000000,-123.556147000000000,FALSE,,,,,,sphagnum bog,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V097888,Matricaria discoidea DC.,Matricaria discoidea DC.,pineapple weed,Asteraceae,Matricaria,discoidea,DC.,,,,,,,Kendrick Marr,2021-03-16,Taxonomic update SG 95,Not Listed,,BE012136,Harvey Janszen,1129,1979-06-08,BS010488,British Columbia,,Galiano Island; Montague Harbour,,48.892640000000000,-123.390000000000000,TRUE,,,,,,Waste ground,,,corrected; coordinates generalized based on locality and habitat information,
V097889,Luzula macrantha (S. Watson) Zika & B.L. Wilson,Luzula macrantha (S. Watson) Zika & B.L. Wilson,,Juncaceae,Luzula,macrantha,(S. Watson) Zika & B.L. Wilson,,,,,,,Peter Zika,2012-01-01,"P.F. Zika, 2012: Imm., poor coll., probably L. macrantha, need ripe fruit",,Janszen 1979,BE012176,Harvey Janszen,974,1979-03-31,BS010500,British Columbia,Gulf Islands,Galiano Island; Sutil Mountain,,48.870170000000000,-123.380000000000000,FALSE,,,,,,open grassy bluff,,,corrected; coordinates generalized based on locality and habitat information,
V097893,Eleocharis palustris (L.) Roem. & J.A. Schult.,Eleocharis palustris (L.) Roem. & J.A. Schult.,common spike-rush; spike-rush,Cyperaceae,Eleocharis,palustris,(L.) Roem. & J.A. Schult.,,,,,,,S. Smith,2000-01-01,"IDD:  20000000; S. Galen Smith was located at University of Wisconsin, Whitewater, working on a Flora of North America Project",Not Listed,Janszen 1979,BE012155,Harvey Janszen,1186,1979-06-08,BS010480,British Columbia,Gulf Islands,Galiano Island,Section L-20,48.877026000000000,-123.367045000000000,FALSE,,,,,,standing water in lake,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V097897,Juncus ensifolius Wikstr.,Juncus ensifolius Wikstr.,dagger-leaf rush; rush,Juncaceae,Juncus,ensifolius,Wikstr.,,,,,,,,,,Not Listed,,BE012164,Harvey Janszen,,1979-06-08,BS010489,British Columbia,Gulf Islands,Galiano Island; Montague Harbour,,48.890440000000000,-123.384000000000000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality and habitat information; uncertain,
V097930,Myosotis laxa Lehm.,Myosotis laxa Lehm.,forget-me-not; small-flowered forget-me-not,Boraginaceae,Myosotis,laxa,Lehm.,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,Janszen 1979,BE012163,Harvey Janszen,1142,1979-06-08,BS010488,British Columbia,,Galiano Island; Montague Harbour,,48.890440000000000,-123.384000000000000,TRUE,,,,,,wet ditches,,,corrected; coordiates generalized based on locality information; vague information; low confidence; place d alongside Montague Harbour Rd based on habitat information,
V097936,Juncus dudleyi Wieg.,Juncus dudleyi Wieg.,Dudley's rush; rush,Juncaceae,Juncus,dudleyi,Wieg.,,,,,,,Frank Lomer,2016-03-29,Auricles hardened,Not Listed,,BE012132,Harvey Janszen,,1975-06-17,BS010457,British Columbia,Gulf Islands,Galiano Island,Georgeson Bay Road,48.876177000000000,-123.350878000000000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality information; uncertain,
V098003,Carex lenticularis Michx. var. limnophila (Holm) Cronq.,Carex lenticularis Michx. var. limnophila (Holm) Cronq.,Hind's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,limnophila,(Holm) Cronq.,,,Adolf Ceska,2000-08-01,,Not Listed,Janszen 1979,BE012082,Harvey Janszen,1299,1979-06-28,BS010415,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,Farm fields.,,,locality information vague; coordinates generalized to mid Galiano Island,
V098006,Carex leptalea Wahlenb.,Carex leptalea Wahlenb.,bristle-stalked sedge; sedge,Cyperaceae,Carex,leptalea,Wahlenb.,,,,,,,Bruce Ford,2006-01-01,IDD:  20060000; Ford from Herbarium of the University of Manitoba (WIN),Not Listed,Janszen 1979,BE012105,Harvey Janszen,1318,1979-07-07,BS010432,British Columbia,Gulf Islands,Galiano Island,,48.983207000000000,-123.556147000000000,FALSE,,,,,,on sphagnum bog,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V098065,Cirsium vulgare (Savi) Tenore,Cirsium vulgare (Savi) Tenore,bull thistle; thistle,Asteraceae,Cirsium,vulgare,(Savi) Tenore,,,,,,,Harvey Janszen,1979-01-01,,Not Listed,,BE012134,Harvey Janszen,1368,1979-07-09,BS047948,British Columbia,Gulf Islands,Sturdies Bay; Galiano Island,,48.878299000000000,-123.317934000000000,TRUE,,,,,,Waste ground,,,corrected; coordinates based on locality information; vague; uncertain,
V098067,Cirsium arvense (L.) Scop. var. horridum Wimm. & Grab.,Cirsium arvense (L.) Scop. var. horridum Wimm. & Grab.,Canada thistle; thistle,Asteraceae,Cirsium,arvense,,,,horridum,Wimm. & Grab.,,,Harvey Janszen,1979-01-01,STET George W. Douglas 1986,Not Listed,,BE012095,Harvey Janszen,1357,1979-07-09,BS010424,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,Waste ground and roadside,,,locality information vague; coordinates generalized to mid Galiano Island,
V098383,Carex utriculata Boott,Carex utriculata Boott,beaked sedge; sedge,Cyperaceae,Carex,utriculata,Boott,,,,,,,Jenifer Penny,2000-08-02,,Not Listed,Janszen 1979,BE012151,Harvey Janszen,1278,1979-06-28,BS010476,British Columbia,Gulf Islands,Galiano Island,Sec-L-66,48.948469000000000,-123.502742000000000,FALSE,,,,,,lake,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V107081,Collomia heterophylla Hook.,Collomia heterophylla Hook.,vari-leaved collomia,Polemoniaceae,Collomia,heterophylla,Hook.,,,,,,,Kendrick Marr,2018-09-07,,Not Listed,Janszen 1976,BE012103,Harvey Janszen,928,1976-07-17,BS010430,British Columbia,Gulf Islands,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,"disturbed ground, gravel pit",,,locality information vague; coordinates generalized to mid Galiano Island,
V107363,Thysanocarpus curvipes Hook.,Thysanocarpus curvipes Hook.,lacepod; sand lacepod,Brassicaceae,Thysanocarpus,curvipes,Hook.,,,,,,,Harvey Janszen,1980-01-01,,Blue,Janszen 1980,BE041183,Harvey Janszen,1575,1980-04-11,BS035273,British Columbia,Gulf Islands,Galiano Island; Mount Sutil,,48.866666666666700,-123.366666666667000,FALSE,,,,,,open bluffs,,,corrected; coordinates generalized based on locality information,
V107364,"Pentagramma triangularis (Kaulf.) Yatskievych, Windham & Wollenweber","Pentagramma triangularis (Kaulf.) Yatskievych, Windham & Wollenweber",fern; goldenback fern,Pteridaceae,Pentagramma,triangularis,"(Kaulf.) Yatskievych, Windham & Wollenweber",,,,,,,Heidi Guest,2018-10-18,"New name pencilled in 1999
Taxonomic update",Not Listed,,BE041183,Harvey Janszen,1574,1980-04-11,BS035273,British Columbia,Gulf Islands,Galiano Island; Mount Sutil,,48.866666666666700,-123.366666666667000,FALSE,,,,,,open bluffs; in lea of boulders,,,corrected; coordinates generalized based on locality information,
V107372,Poa annua L.,Poa annua L.,annual bluegrass; grass,Poaceae,Poa,annua,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1980,BE041212,Harvey Janszen,1539,1980-04-02,BS035300,British Columbia,Gulf Islands,Galliano Island,Bellhose Provincial Park,48.872560000000000,-123.311000000000000,FALSE,,,,,,exposed rock shore,,,corrected; coordinates generalized based on locality information,
V107373,Erodium cicutarium (L.) L'Hér. ex Ait.,Erodium cicutarium (L.) L'Hér. ex Ait.,common stork's-bill,Geraniaceae,Erodium,cicutarium,(L.) L'Hér. ex Ait.,,,,,,,Ardath Francis,2011-11-01,,Not Listed,Janszen 1980,BE070530,Harvey Janszen,1538,1980-04-02,BS058410,British Columbia,Gulf Islands,"Galiano, Mount; Galiano Island",,48.863620000000000,-123.362000000000000,FALSE,,,,,,abundant on open grassy bluffs,,abundant,corrected; coordinates generalized based on locality and habitat information,
V107516,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,giant horsetail; horsetail,Equisetaceae,Equisetum,telmateia,Ehrh.,,,,,,,Harvey Janszen,1980-01-01,,Not Listed,,BE041143,Harvey Janszen,1577,1980-04-11,BS035235,British Columbia,,Galiano Island,,48.931721000000000,-123.452061000000000,FALSE,,,,,,wet areas,,,locality information vague; coordinates generalized to mid Galiano Island,
V107519,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,popcornflower; slender popcornflower,Boraginaceae,Plagiobothrys,tenellus,(Nutt. ex Hook.) A. Gray,,,,,,,Curtis Bjork,2013-02-01,,Red,Janszen 1980,BE042594,Harvey Janszen,1576,1980-04-11,BS036219,British Columbia,,Gulf Islands; Galiano Island; Mount Sutil,,48.870170000000000,-123.380000000000000,FALSE,,,,,,open bluffs,,,corrected; coordinates generalized based on locality and habitat information,
V112752,Ranunculus aquatilis L. var. hispidulus E.R. Drew,Ranunculus aquatilis L. var. hispidulus E.R. Drew,buttercup; white water-buttercup,Ranunculaceae,Ranunculus,aquatilis,,,,hispidulus,E.R. Drew,,,T. Brayshaw,1983-01-12,,Not Listed,Janszen 1979,BE012149,Harvey Janszen,1194,1979-06-08,BS010474,British Columbia,Gulf Islands,Galiano Island,sec.L.20,48.877026000000000,-123.367045000000000,FALSE,,,,,,floating in lake,,,corrected; coordinates generalized based on locality information and cadastral data for Galiano,
V113428,Juncus effusus L.,Juncus effusus L.,common rush; rush,Juncaceae,Juncus,effusus,L.,,,,,,,,,,Not Listed,,BE051559,Harvey Janszen,,1981-07-28,BS043095,British Columbia,Gulf Islands,Parker Island,,48.885008000000000,-123.412771000000000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality information,
V113439,Trifolium subterraneum L.,Trifolium subterraneum L.,clover; subterranean clover,Fabaceae,Trifolium,subterraneum,L.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041186,Harvey Janszen,1894,1981-05-11,BS035276,British Columbia,Gulf Islands,Galiano Island; Stockade Hill,,48.885290000000000,-123.361000000000000,FALSE,,,,,,waste ground of gravel pit,,,corrected; coordinates generalized based on locality and habitat information,
V113447,Lepidium virginicum L. var. menziesii (DC.) Hitchc.,Lepidium virginicum L. var. menziesii (DC.) Hitchc.,pepper-grass; tall pepper-grass,Brassicaceae,Lepidium,virginicum,,,,menziesii,(DC.) Hitchc.,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041182,Harvey Janszen,1903,1981-05-11,BS035272,British Columbia,Gulf Islands,Galiano Island; Mount Sutil,,48.866666666666700,-123.366666666667000,FALSE,,,,,,open bluffs,,,corrected; coordinates generalized based on locality information,
V113449,Arabis eschscholtziana Andrz.,Arabis eschscholtziana Andrz.,Eschscholtz's rockcress; rockcress,Brassicaceae,Arabis,eschscholtziana,Andrz.,,,,,,,,,,Not Listed,Janszen 1981,BE041184,Harvey Janszen,1905,1981-05-11,BS035274,British Columbia,Gulf Islands,Galiano Island; Mount Sutil,,48.866666666666700,-123.366666666667000,FALSE,,,,,,"shady, S slope",,,corrected; coordinates generalized based on locality information,
V113484,Lupinus arboreus Sims,Lupinus arboreus Sims,lupine; tree lupine,Fabaceae,Lupinus,arboreus,Sims,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,,BE070926,Harvey Janszen,,1981-05-21,BS058722,British Columbia,Gulf Island,Parker Island,,48.891860000000000,-123.419000000000000,TRUE,,,,,,cleared waste in Hydro cut,,,corrected; coordinates generalized based on locality and habitat information,
V113486,Sagina decumbens (Ell.) T. & G. ssp. occidentalis (S. Wats.) Crow,Sagina decumbens (Ell.) T. & G. ssp. occidentalis (S. Wats.) Crow,pearlwort; western pearlwort,Caryophyllaceae,Sagina,decumbens,,occidentalis,(S. Wats.) Crow,,,,,Kendrick Marr,2014-01-01,Reviewed for VFBC,Yellow,,BE070926,Harvey Janszen,1930,1981-05-21,BS059367,British Columbia,,Parker Island,,48.892770000000000,-123.414000000000000,TRUE,,,,,,peaty mud above Salicornia/Distichlis marsh,,,corrected; coordinates generalized based on locality and habitat information,
V113510,Symphytum officinale L.,Symphytum officinale L.,comfrey; common comfrey,Boraginaceae,Symphytum,officinale,L.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE042593,Harvey Janszen,2037,1981-07-16,BS036218,British Columbia,,Gulf Islands; Galiano Island; Montague Harbor,,48.890440000000000,-123.384000000000000,FALSE,,,,,,roadside,,,corrected; coordinates generalized based on locality information; vague locality information; coordinates moved based on habitat information,
V113511,Hemitomes congestum A. Gray,Hemitomes congestum A. Gray,gnome-plant,Monotropaceae,Hemitomes,congestum,A. Gray,,,,,,,Gary Wallace,1999-01-01,IDD:  19990000; Identified for Flora of North America; Wallace of RSA,Not Listed,Janszen 1981,BE057819,Harvey Janszen,2038,1981-07-16,BS047902,British Columbia,Gulf Islands,Stockade Hill; Galiano Island,,48.884920000000000,-123.366000000000000,FALSE,,,,,,"fir-salal-arbutus forest, S face",,,corrected; coordinates generalized based on locality information,
V113516,Hesperis matronalis L.,Hesperis matronalis L.,dame's violet; sweet rocket,Brassicaceae,Hesperis,matronalis,L.,,,,,,,Leon Pavlick,1984-03-01,,Not Listed,Janszen 1981,BE041179,Harvey Janszen,2043,1981-07-16,BS035269,British Columbia,Gulf Islands,Galiano Island; Georgeson Bay,,48.866924000000000,-123.349099000000000,FALSE,,,,,,creek mouth in Alder shade,,,corrected; coordinates based on locality and habitat information,
V113522,Spergularia salina J. & K. Presl,Spergularia salina J. & K. Presl,salt marsh sand-spurry,Caryophyllaceae,Spergularia,salina,J. & K. Presl,,,,,,,Kendrick Marr,2015-03-11,Reviewed for VFBC,Not Listed,,BE041156,Harvey Janszen,2006,1981-07-07,BS059640,British Columbia,,Galiano Island; Whalers Bay,,48.879315000000000,-123.323002000000000,TRUE,,,,,,salt flats,,,corrected; coordinates based on locality and habitat information,
V113531,Delphinium menziesii DC.,Delphinium menziesii DC.,larkspur; Menzies' larkspur,Ranunculaceae,Delphinium,menziesii,DC.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041171,Harvey Janszen,1887,1981-05-07,BS035262,British Columbia,,Galiano Island,Stockade Hill,48.883333333333300,-123.316666666667000,FALSE,,,,,,,,,corrected; coordinates generalized based on locality information,
V113537,Aira praecox L.,Aira praecox L.,early hairgrass; grass,Poaceae,Aira,praecox,L.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE048512,Harvey Janszen,1878,1981-04-27,BS040843,British Columbia,Gulf Islands,Mount Galiano; Galiano Island,,48.863310000000000,-123.362932000000000,FALSE,,,,,,Open bluffs conglomerate cliffs.,,,corrected; coordinates based on locality and habitat information,
V113543,Hordeum jubatum L. ssp. jubatum,Hordeum jubatum L. ssp. jubatum,foxtail barley; grass,Poaceae,Hordeum,jubatum,,jubatum,,,,,,Mary Barkworth,1990-01-01,IDD:  19900000; Intermountain Herbaraium - Utah State University,Not Listed,Janszen 1981,BE051557,Harvey Janszen,2068,1981-07-28,BS043093,British Columbia,,Parker Island,,48.892062000000000,-123.415421000000000,FALSE,,,,,,saltmarsh with Salicornia and Distichlis,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V113756,Brodiaea coronaria (Salisb.) Engl.,Brodiaea coronaria (Salisb.) Engl.,brodiaea; harvest brodiaea,Liliaceae,Brodiaea,coronaria,(Salisb.) Engl.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE057821,Harvey Janszen,1998,1981-07-07,BS047904,British Columbia,Gulf Islands,Stockade Hill; Galiano Island,,48.884920000000000,-123.366000000000000,FALSE,,,,,Bellhouse Provincial Park,abundant on rock outcrops,,,corrected; coordinates generalized based on locality information,
V113759,Anthoxanthum aristatum Boiss.,Anthoxanthum aristatum Boiss.,annual vernalgrass; grass,Poaceae,Anthoxanthum,aristatum,Boiss.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041148,Harvey Janszen,2001,1981-07-07,BS035240,British Columbia,Gulf Islands,Galiano Island,Bellhouse Park,48.872560000000000,-123.311000000000000,FALSE,,,,,,"Rocky, mossy slope.",,,corrected; coordinates generalized based on locality information,
V113761,Barbarea orthoceras Ledeb.,Barbarea orthoceras Ledeb.,American winter cress; winter cress,Brassicaceae,Barbarea,orthoceras,Ledeb.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041156,Harvey Janszen,1995,1981-07-07,BS035248,British Columbia,Gulf Islands,Galiano Island,Cain Peninsula,48.884941000000000,-123.322031000000000,FALSE,,,,,,salt marsh,,,corrected; coordinates generalized based on locality and habitat information; uncertain,
V113767,Trifolium procumbens L.,Trifolium procumbens L.,clover; low hop-clover,Fabaceae,Trifolium,procumbens,L.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE041187,Harvey Janszen,1989,1981-07-07,BS035277,British Columbia,Gulf Islands,Galiano Island; Sturdies Bay,Taylor Cove subdivision,48.879170000000000,-123.319000000000000,FALSE,,,,,,roadside and waste ground,,,corrected; coordinates generalized based on locality information; note that there is contradictory metadata in locality info however,
V113772,Piperia unalascensis (Spreng.) Rydb.,Piperia unalascensis (Spreng.) Rydb.,Alaska rein orchid; orchid,Orchidaceae,Piperia,unalascensis,(Spreng.) Rydb.,,,,,,,Bruce Bennett,1992-01-01,,Not Listed,Janszen 1981,BE057820,Harvey Janszen,2008,1981-07-07,BS047903,British Columbia,Gulf Islands,Stockade Hill; Galiano Island,,48.884920000000000,-123.366000000000000,FALSE,,,,,,dry ridge,,,corrected; coordinates generalized based on locality information,
V113777,Collomia heterophylla Hook.,Collomia heterophylla Hook.,vari-leaved collomia,Polemoniaceae,Collomia,heterophylla,Hook.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE042595,Harvey Janszen,2018,1981-07-07,BS036220,British Columbia,,Gulf Islands; Galiano Island; Stockade Hill,,48.884920000000000,-123.366000000000000,FALSE,,,,,,dry mossy floor of fir forest,,,corrected; coordinates generalized based on locality information,
V113779,Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.,Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.,grass; spike bentgrass,Poaceae,Agrostis,exarata,,minor,(Hook.) C.L. Hitchc.,,,,,Harvey Janszen,1981-01-01,,Not Listed,Janszen 1981,BE051560,Harvey Janszen,2065,1981-07-28,BS043096,British Columbia,Gulf Islands,Parker Island,,48.889930000000000,-123.419000000000000,FALSE,,,,,,"moist, low spots, logging road",,,corrected; coordinates generalized based on locality information,
V113790,Poa secunda J. Presl ssp. secunda,Poa secunda J. Presl ssp. secunda,grass; Sandberg's bluegrass,Poaceae,Poa,secunda,,secunda,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1981,BE041165,Harvey Janszen,1881,1981-04-27,BS035257,British Columbia,Gulf Islands,Galiano Island,Mt. Galiano,48.863393000000000,-123.362572000000000,FALSE,,,,,,open grassy bluffs,,,corrected; coordinates based on locality and habitat information,
V113791,Poa howellii Vasey & Scribn.,Poa howellii Vasey & Scribn.,grass; Howell's bluegrass,Poaceae,Poa,howellii,Vasey & Scribn.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1981,BE041172,Harvey Janszen,1885,1981-05-07,BS035263,British Columbia,Gulf Islands,Galiano Island,Stockade Hill,48.884920000000000,-123.366000000000000,FALSE,,,,,,"shady, mossy rock outcrops on ridge",,,corrected; coordinates generalized based on locality information,
V113795,Phragmites australis (Cav.) Trin. ex Steud. ssp. australis,Phragmites australis (Cav.) Trin. ex Steud. ssp. australis,,Poaceae,Phragmites,australis,,australis,,,,,,Kendrick Marr,2011-03-22,,,Janszen 1981,BE041164,Harvey Janszen,2055,1981-07-16,BS035256,British Columbia,Gulf Islands,Galiano Island,lot 84,48.983115000000000,-123.555886000000000,FALSE,,,,,,lake edge and Sphagnum bog,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V113796,Carex cusickii Mack. ex Piper & Beattie,Carex cusickii Mack. ex Piper & Beattie,Cusick's sedge; sedge,Cyperaceae,Carex,cusickii,Mack. ex Piper & Beattie,,,,,,,T. Cochrane,1990-08-01,,Not Listed,Janszen 1981,BE041159,Harvey Janszen,2056,1981-07-16,BS035251,British Columbia,Gulf Islands,Galiano Island,L 84,48.983115000000000,-123.555886000000000,FALSE,,,,,,lake edge and sphagnum bog,,,"corrected; coordinates generalized based on locality information, habitat information, and cadastral data for Galiano",
V113797,Arrhenatherum elatius (L.) Beauv. ex  J.& K. Presl ssp. elatius,Arrhenatherum elatius (L.) Beauv. ex  J.& K. Presl ssp. elatius,grass; tall oatgrass,Poaceae,Arrhenatherum,elatius,,elatius,,,,,,Kendrick Marr,2002-09-17,,Not Listed,Janszen 1981,BE053620,Harvey Janszen,2057,1981-07-16,BS044754,British Columbia,,Retreat Cove,Galiano Island,48.939310000000000,-123.499000000000000,FALSE,,,,,,Meadow.,,,corrected; coordinates generalized based on locality and habitat information,
V113798,Danthonia californica Boland.,Danthonia californica Boland.,California oatgrass; grass,Poaceae,Danthonia,californica,Boland.,,,,,,,Harvey Janszen,1981-01-01,,Not Listed,,BE041157,Harvey Janszen,2058,1981-07-16,BS035249,British Columbia,Gulf Islands,Galiano Island,Ganner Road,48.923149000000000,-123.454139000000000,FALSE,,,,,,rocky exposed bluffs above sea,,,corrected; coordinates generalized based on locality and habitat information,
