scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Adiantum aleuticum,,western maidenhair fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Vittarioideae,,Adiantum,aleuticum,,,,accepted,52667,Adiantum aleuticum,Adiantum pedatum,,NA,NA,NA,,,NA,FALSE
Anthoxanthum nitens,,bison grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Anthoxanthum,nitens,,,,accepted,75473,Anthoxanthum nitens,Anthoxanthum nitens,,NA,NA,NA,,,NA,FALSE
Aruncus sylvester,,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Aruncus,sylvester,,,,accepted,322372,Aruncus sylvester,Aruncus sylvester,,NA,NA,NA,,,NA,FALSE
Berberis darwinii,,Darwin's Barberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Berberidoideae,Berberideae,Berberis,darwinii,,,,accepted,75751,Berberis darwinii,Berberis darwinii,,NA,NA,NA,,,NA,FALSE
Carex aquatilis,,water sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aquatilis,,,,accepted,76013,Carex aquatilis,Carex aquatilis,,NA,NA,NA,,,NA,FALSE
Carex lenticularis,,lenticular sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,lenticularis,,,,accepted,76066,Carex lenticularis,Carex lenticularis,,NA,NA,NA,,,NA,FALSE
Carex magellanica ssp.,,Tall Bog-sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,magellanica,,,,accepted,143532,Carex magellanica,Carex magellanica,,NA,NA,NA,,,NA,FALSE
Eleocharis mamillata ssp.,,Soft-stem Spikerush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,mamillata,,,,accepted,162249,Eleocharis mamillata,Eleocharis mamillata,,NA,NA,NA,,,NA,FALSE
Euphrasia officinalis,,Eyebright,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Rhinantheae,Euphrasia,officinalis,,,,accepted,866675,Euphrasia officinalis,Euphrasia officinalis,,NA,NA,NA,,,NA,FALSE
Fargesia murielae,,Umbrella Bamboo,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Bambusoideae,Arundinarieae,Fargesia,murielae,,,,accepted,480755,Fargesia murielae,Fargesia murielae,,NA,NA,NA,,,NA,FALSE
