"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode","verbatimScientificName","assignedNameForReview","originalScientificName","taxonRank_review","firstReported_review","recordedBy_review","source_review","gbifID_review","Join_Count","TARGET_FID","taxonID","Latitude","Longitude","order_","Source","Join_Count_1","TARGET_FID_1","CPCAD_ID","TEIS_ID","Source_Ref","TA_LandCov","BEC_Label","BEC_SS1","BEC_MC1","SS1_Dec","SS1_StrSta","SS1_Elemen","SS1_Scient","SS1_Englis","SS1_CDC_Re","SS1_Provin","SS1_BCList","SS1_Global","BEC_SS2","BEC_MC2","SS2_Dec","SS2_StrSta","SS2_Elemen","SS2_Scient","SS2_Englis","SS2_CDC_Re","SS2_Provin","SS2_BCList","SS2_Global","BEC_SS3","BEC_MC3","SS3_Dec","SS3_StrSta","SS3_Elemen","SS3_Scient","SS3_Englis","SS3_CDC_Re","SS3_Provin","SS3_BCList","SS3_GLobal","SS1_ProvRa","SS2_ProvRa","SS3_ProvRa","IUCN_CAT","IPCA","IUCN_Categ","Shape_Leng","record_taxonID","assigned_name","verbatim_name","rank_for_review","eventDate_review","gbifID_sort","records_scientificName","match_taxonID"
"Botrychium lanceolatum","(Gmel.)","","triangle moonwort","Plantae","Tracheophyta","","","Polypodiopsida","Ophioglossidae","","Ophioglossales","","","Ophioglossaceae","Botrychioideae","","Botrychium","Botrychium lanceolatum","","","","","","","5/17/1963","","","","","","","","","","","confirmed","","UBC: Squamish","1002058","","Botrychium lanceolatum","Botrychium lanceolatum","Botrychium lanceolatum","","5/17/1963","Thomas M.C. Taylor, F. Lang","AndrewSimon_June_2025","","","","1002058","49.893044479408800","-122.982676465135000","Ophioglossales","AndrewSimon_June_2025","0","10001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002058","Botrychium lanceolatum","Botrychium lanceolatum","","5/17/1963","","Botrychium lanceolatum","1002058"
"Cerastium holosteoides","Fr.","","common mouse-ear chickweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","Caryophyllaceae","Alsinoideae","","Cerastium","Cerastium holosteoides","","","","","","","5/26/1913","","","","","","","","","","","confirmed","","","1005385","","Cerastium holosteoides","Cerastium holosteoides","Cerastium holosteoides","","5/26/1913","R. Mathews","AndrewSimon_June_2025","","","","1005385","49.399999999068100","-123.500000000000000","Caryophyllales","AndrewSimon_June_2025","0","12390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1005385","Cerastium holosteoides","Cerastium holosteoides","","5/26/1913","","Cerastium holosteoides","1005385"
"Kalmia microphylla var. occidentalis","(Hook.) A.Heller","(Small) Ebinger","western bog laurel","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","Ericaceae","Ericoideae","","Kalmia","Kalmia microphylla","","","occidentalis","","","","7/12/2014","","","","","","","","","","","confirmed","","","1035494","","Kalmia microphylla var. occidentalis","Kalmia microphylla var. occidentalis","Kalmia microphylla var. occidentalis","","7/12/2014","Steve Ansell","AndrewSimon_June_2025","","2","108524","1035494","49.484211000000002","-123.566944000000007","Ericales","AndrewSimon_June_2025","1","30093","0","23274068","https://catalogue.data.gov.bc.ca/dataset/4e71fd99-09a0-4573-aecd-b8030b48f0b7","","CWHvm2","CWHvm2/01","CWHvm2/AB","6","6","C1A9CAAVA1","Tsuga heterophylla - Abies amabilis - Vaccinium alaskense","HwBa - Blueberry","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1A9CAAVA1","S3S4 (Jun 2019)","Yellow","GNR","CWHvm2/05","CWHvm2/AF","2","6","C1A9CAATT1","Abies amabilis - Thuja plicata - Tiarella trifoliata","BaCw - Foamflower","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1A9CAATT1","S3? (Feb 2020)","Blue","G3G4","CWHvm2/07","CWHvm2/AS","2","6","C1A9CAARS1","Abies amabilis - Thuja plicata - Rubus spectabilis","BaCw - Salmonberry","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1A9CAARS1","S3 (Apr 2019)","Blue","GNR","4.000000000000000","5.000000000000000","5.000000000000000","9","0","OECMs (Natural Areas, Municipal Parks,Nature Reserve, Old Growth Management Area)","11440.583662900000490","1035494","Kalmia microphylla var. occidentalis","Kalmia microphylla var. occidentalis","","7/12/2014","","Kalmia microphylla var. occidentalis","1035494"
"Solanum emulans","Raf.","","eastern nightshade","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Solanales","","","Solanaceae","Solanoideae","","Solanum","Solanum emulans","","","","","","","9/16/1978","","","","","","","","","","","reported","","","1038940","","Solanum emulans","Solanum emulans","Solanum emulans","","9/16/1978","Martin Small","AndrewSimon_June_2025","","1","112156","1038940","49.366667000000000","-123.366667000000007","Solanales","AndrewSimon_June_2025","1","56547","0","0","https://islandstrust.bc.ca/programs/ecosystem-inventories/","","","CWHdm/04","CWHdm/DF","6","6","C1A9CPMPM1","Pseudotsuga menziesii / Polystichum munitum","Douglas-fir / sword fern","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CPMPM1","S2 (2019)","Red","G2G4","CWHdm/01","CWHdm/HM","4","6","C1A9CTHPU1","Tsuga heterophylla / Buckiella undulata","western hemlock / flat-moss","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTHPU1","S3 (2016)","Blue","G3G4","","","0","0","","","","","","","","8.000000000000000","5.000000000000000","0.000000000000000","1","0","Ia: Ecological Reserve","2253.214306339999894","1038940","Solanum emulans","Solanum emulans","","9/16/1978","","Solanum emulans","1038940"
"Poa paucispicula","Scribn. & Merr.","","marsh bluegrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Poa","Poa paucispicula","","","","","","","8/12/1938","","","","","","","","","","","reported","","RBCM: Garibaldi PP Mt. Garibaldi; species not in iNaturalist, however recognized by CDC and others","1046693","","Poa paucispicula","Poa paucispicula","Poa paucispicula","","8/12/1938","John Eastham","AndrewSimon_June_2025","","","","1046693","49.950000000000003","-123.066666999999995","Poales","AndrewSimon_June_2025","0","43930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1046693","Poa paucispicula","Poa paucispicula","","8/12/1938","","Poa paucispicula","1046693"
"Kalmia microphylla var. microphylla","(Hook.) A.Heller","","alpine bog laurel","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","Ericaceae","Ericoideae","","Kalmia","Kalmia microphylla","","","microphylla","","","","8/1/1914","","","","","","","","","","","reported","","","1046996","","Kalmia microphylla var. microphylla","Kalmia microphylla var. microphylla","Kalmia microphylla var. microphylla","","8/1/1914","W. Taylor","AndrewSimon_June_2025","","0","41405","1046996","49.966376886712901","-123.151015762854001","Ericales","AndrewSimon_June_2025","1","30088","0","23503547","https://catalogue.data.gov.bc.ca/dataset/4e71fd99-09a0-4573-aecd-b8030b48f0b7","","CWHds1","CWHds1/05","CWHds1/RS","8","6","C1A9CTPSR1","Thuja plicata - Pseudotsuga menziesii / Acer circinatum","western redcedar - Douglas-fir / vine maple","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTPSR1","S3? (2021)","Blue","G2G3","CWHds1/07","CWHds1/RD","2","6","C1A9CTPOH1","Thuja plicata / Oplopanax horridus","western redcedar / devil's club","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTPOH1","S2S3 (2016)","Blue","G2G4","","","0","6","","","","","","","","5.000000000000000","6.000000000000000","0.000000000000000","0","0","","5758.059879890000047","1046996","Kalmia microphylla var. microphylla","Kalmia microphylla var. microphylla","","8/1/1914","","Kalmia microphylla var. microphylla","1046996"
"Carex kelloggii var. kelloggii","W.Boott","","lagoon sedge","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Cyperaceae","Cyperoideae","","Carex","Carex kelloggii","","","kelloggii","","","","6/22/1916","","","","","","","","","","","confirmed","","Reported as Carex lenticularis var. lipocarpa by T. Christopher Brayshaw (RBCM: V055041)","1091404","","Carex kelloggii var. kelloggii","Carex kelloggii var. kelloggii","Carex kelloggii var. kelloggii","","6/22/1916","Macoun, James M.","AndrewSimon_June_2025","","0","101493","1091404","49.758093000000002","-123.156873000000004","Poales","AndrewSimon_June_2025","1","11327","473","0","","","","CWHdm/Fm50","CWHdm/Fm50","8","5","C1B2CPBCS1","Populus trichocarpa - Alnus rubra / Rubus spectabilis","black cottonwood - red alder / salmonberry","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1B2CPBCS1","S3 (Jul 2010)","Blue","GNR","CWHdm/Fm50","CWHdm/Fm50","2","4","C1B2CPBCS1","Populus trichocarpa - Alnus rubra / Rubus spectabilis","black cottonwood - red alder / salmonberry","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1B2CPBCS1","S3 (Jul 2010)","Blue","GNR","","","0","","","","","","","","","5.000000000000000","5.000000000000000","0.000000000000000","0","0","","6224.555922180000380","1091404","Carex kelloggii var. kelloggii","Carex kelloggii var. kelloggii","","6/22/1916","","Carex kelloggii var. kelloggii","1091404"
"Cornus unalaschkensis","Ledeb.","","western dwarf dogwood","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Cornales","","","Cornaceae","","","Cornus","Cornus unalaschkensis","","","","","","","7/16/1995","","","","","","","","","","","confirmed","","Reported as Cornus canadensis by Gerald B. Straley (USCH)","1096279","","Cornus unalaschkensis","Cornus unalaschkensis","Cornus unalaschkensis","","7/16/1995","Straley, Gerald","AndrewSimon_June_2025","","","","1096279","49.376244000000000","-123.185520999999994","Cornales","AndrewSimon_June_2025","0","15780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096279","Cornus unalaschkensis","Cornus unalaschkensis","","7/16/1995","","Cornus unalaschkensis","1096279"
"Ornithogalum umbellatum","L.","","star-of-Bethlehem","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Asparagaceae","Scilloideae","Ornithogaleae","Ornithogalum","Ornithogalum umbellatum","","","","","","","5/27/2020","","","","","","","","","","","new 2020","","","1125873","","Ornithogalum umbellatum","Ornithogalum umbellatum","Ornithogalum umbellatum","","5/27/2020","kwright","AndrewSimon_June_2025","","","","1125873","49.339916666699999","-123.233391666700001","Asparagales","AndrewSimon_June_2025","0","39646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1125873","Ornithogalum umbellatum","Ornithogalum umbellatum","","5/27/2020","","Ornithogalum umbellatum","1125873"
"Leersia oryzoides","(L.) Sw.","","rice cutgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Oryzoideae","Oryzeae","Leersia","Leersia oryzoides","","","","","","","7/30/2022","","","","","","","","","","","new 2022","","","1138095","","Leersia oryzoides","Leersia oryzoides","Leersia oryzoides","","7/30/2022","Chloe Shore","AndrewSimon_June_2025","","0","109527","1138095","49.358445000000003","-123.464171666699997","Poales","AndrewSimon_June_2025","1","30937","0","0","https://islandstrust.bc.ca/programs/ecosystem-inventories/","","","CWHxm1/01","CWHxm1/HK","10","5","C1A9CTHKO1","Tsuga heterophylla - Pseudotsuga menziesii / Kindbergia oregana","western hemlock - Douglas-fir / Oregon beaked-moss","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTHKO1","S2 (2013)","Red","G3G4","","","0","0","","","","","","","","","","0","0","","","","","","","","8.000000000000000","0.000000000000000","0.000000000000000","0","0","","472.709722949000025","1138095","Leersia oryzoides","Leersia oryzoides","","7/30/2022","","Leersia oryzoides","1138095"
