"scientificName","scientificNameAuthorship","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","hybrid","variety","linkName","linkTaxonID"
"Ambystoma gracile","Baird","Animalia","Chordata","Vertebrata","","Amphibia",NA,NA,"Caudata",NA,NA,"Ambystomatidae",NA,NA,NA,NA,NA,26747
"Ambystoma macrodactylum","Baird","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Caudata",NA,NA,"Ambystomatidae",NA,NA,NA,NA,NA,26754
"Anaxyrus boreas","Baird & Girard","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Bufonidae",NA,NA,NA,NA,NA,64970
"Aneides vagrans","Wake & Jackman","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Caudata",NA,NA,"Plethodontidae","Plethodontinae",NA,NA,NA,NA,248672
"Ascaphus truei","Stejneger","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Ascaphidae",NA,NA,NA,NA,NA,24543
"Dicamptodon tenebrosus","Baird & Girard","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Caudata",NA,NA,"Ambystomatidae",NA,NA,NA,NA,NA,26822
"Ensatina eschscholtzii","Gray","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Caudata",NA,NA,"Plethodontidae","Plethodontinae",NA,NA,NA,NA,27250
"Lithobates clamitans","Latreille","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Ranidae",NA,NA,NA,NA,NA,65982
"Plethodon vehiculum","Cooper","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Caudata",NA,NA,"Plethodontidae","Plethodontinae",NA,NA,NA,NA,27194
"Pseudacris maculata","Agassiz","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Hylidae","Acridinae",NA,NA,NA,NA,24255
"Pseudacris regilla","Baird & Girard","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Hylidae","Acridinae",NA,NA,NA,NA,24259
"Rana aurora","Baird & Girard","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Ranidae",NA,NA,NA,NA,NA,25545
"Rana luteiventris","Thompson","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Ranidae",NA,NA,NA,NA,NA,25588
"Rana pretiosa","Baird & Girard","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,"Ranidae",NA,NA,NA,NA,NA,25542
