"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode","verbatimScientificName","assignedNameForReview","originalScientificName","taxonRank_review","firstReported_review","recordedBy_review","source_review","gbifID_review","baseline_first_observed","genus_in_baseline","family_in_baseline","resolution_level","novelty_flag","date_flag","review_group","auto_exclusion_note","Curator.Decision","Curator.Notes","Join_Count","TARGET_FID","taxonID","Latitude","Longitude","order_","Source","Join_Count_1","TARGET_FID_1","CPCAD_ID","TEIS_ID","Source_Ref","TA_LandCov","BEC_Label","BEC_SS1","BEC_MC1","SS1_Dec","SS1_StrSta","SS1_Elemen","SS1_Scient","SS1_Englis","SS1_CDC_Re","SS1_Provin","SS1_BCList","SS1_Global","BEC_SS2","BEC_MC2","SS2_Dec","SS2_StrSta","SS2_Elemen","SS2_Scient","SS2_Englis","SS2_CDC_Re","SS2_Provin","SS2_BCList","SS2_Global","BEC_SS3","BEC_MC3","SS3_Dec","SS3_StrSta","SS3_Elemen","SS3_Scient","SS3_Englis","SS3_CDC_Re","SS3_Provin","SS3_BCList","SS3_GLobal","SS1_ProvRa","SS2_ProvRa","SS3_ProvRa","IUCN_CAT","IPCA","IUCN_Categ","Shape_Leng","record_taxonID","assigned_name","verbatim_name","rank_for_review","eventDate_review","gbifID_sort","records_scientificName","match_taxonID"
"Corydalis scouleri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153412","","Corydalis scouleri","Corydalis scouleri","Corydalis scouleri","","","","AndrewSimon_June_2025","","","FALSE","FALSE","higher_taxon","novel_higher_taxon","new_taxon","low_priority","higher","","","","","153412","49.833333000000003","-122.950000000000003","","AndrewSimon_June_2025","0","20004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153412","Corydalis scouleri","Corydalis scouleri","","","","Corydalis scouleri","153412"
"Epilobium hornemannii","Rchb.","","hornemann's willowherb","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Myrtales","","","Onagraceae","","","Epilobium","Epilobium hornemannii","","","","","","","8/15/1912","","","","","","","","","","","confirmed","","","76832","","Epilobium hornemannii","Epilobium hornemannii","Epilobium hornemannii","","8/15/1912","John Davidson","AndrewSimon_June_2025","",NA,"TRUE","TRUE","higher_taxon","known_higher_taxon_only","","low_priority","higher","","","0","41405","76832","49.966376886712901","-123.151015762854001","Myrtales","AndrewSimon_June_2025","1","20471","0","23503547","https://catalogue.data.gov.bc.ca/dataset/4e71fd99-09a0-4573-aecd-b8030b48f0b7","","CWHds1","CWHds1/05","CWHds1/RS","8","6","C1A9CTPSR1","Thuja plicata - Pseudotsuga menziesii / Acer circinatum","western redcedar - Douglas-fir / vine maple","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTPSR1","S3? (2021)","Blue","G2G3","CWHds1/07","CWHds1/RD","2","6","C1A9CTPOH1","Thuja plicata / Oplopanax horridus","western redcedar / devil's club","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTPOH1","S2S3 (2016)","Blue","G2G4","","","0","6","","","","","","","","5.000000000000000","6.000000000000000","0.000000000000000","0","0","","5758.059879890000047","76832","Epilobium hornemannii","Epilobium hornemannii","","8/15/1912","","Epilobium hornemannii","76832"
"Carex viridula ssp. viridula","Michx.","","little green sedge","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Cyperaceae","Cyperoideae","","Carex","Carex viridula","","viridula","","","","","6/24/2017","","","","","","","","","","","new 2017","","sole subp of C. viridula recorded in BC","79679","","Carex viridula ssp. viridula","Carex viridula ssp. viridula","Carex viridula ssp. viridula","","6/24/2017","judith holm","AndrewSimon_June_2025","",NA,"TRUE","TRUE","higher_taxon","known_higher_taxon_only","","low_priority","higher","","","","","79679","49.832663353900003","-123.190221711199996","Poales","AndrewSimon_June_2025","0","11808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79679","Carex viridula ssp. viridula","Carex viridula ssp. viridula","","6/24/2017","","Carex viridula ssp. viridula","79679"
"Platanthera dilatata var. leucostachys","(Pursh) Lindl. ex L.C.Beck","(Lindl.) Hultén","Sierra bog orchid","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Orchidaceae","Orchidoideae","","Platanthera","Platanthera dilatata","","","leucostachys","","","","8/1/1913","","","","","","","","","","","reported","","UBC: Hollyburn Ridge","81271","","Platanthera dilatata var. leucostachys","Platanthera dilatata var. leucostachys","Platanthera dilatata var. leucostachys","","8/1/1913","W. Taylor","AndrewSimon_June_2025","",NA,"TRUE","TRUE","higher_taxon","known_higher_taxon_only","","low_priority","higher","","","","","81271","49.949710708384899","-123.067680124608998","Asparagales","AndrewSimon_June_2025","0","43551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81271","Platanthera dilatata var. leucostachys","Platanthera dilatata var. leucostachys","","8/1/1913","","Platanthera dilatata var. leucostachys","81271"
