scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Cribraria tubulina,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Cribrariidia,Cribrariales,,,,Cribrariaceae,,,Cribraria,tubulina,,,,accepted,1648901,Cribraria tubulina,Cribraria tubulina,S4S5,s4s5,yellow,NA,unknown,unknown,NA,FALSE
Leocarpus fragilis,,insect-egg slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Leocarpus,fragilis,,,,accepted,56273,Leocarpus fragilis,Leocarpus fragilis,S3S5,s3s5,blue,NA,unknown,unknown,NA,FALSE
Arcyria cinerea,,White Carnival Candy Slime Mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Arcyriaceae,,,Arcyria,cinerea,,,,accepted,56258,Arcyria cinerea,Arcyria cinerea,S5,s5,yellow,NA,unknown,unknown,NA,FALSE
Arcyria denudata,,carnival candy slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Arcyriaceae,,,Arcyria,denudata,,,,accepted,56262,Arcyria denudata,Arcyria denudata,S3S5,s3s5,blue,NA,unknown,unknown,NA,FALSE
Arcyria stipata,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Arcyriaceae,,,Arcyria,stipata,,,,accepted,565889,Arcyria stipata,Arcyria stipata,SU,su,undetermined,NA,unknown,unknown,NA,FALSE
Comatricha nigra,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,,Amaurochaetaceae,,,Comatricha,nigra,,,,accepted,56565,Comatricha nigra,Comatricha nigra,S5,s5,yellow,NA,unknown,unknown,NA,FALSE
Diachea leucopodia,,White-footed Slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Didymiaceae,,,Diachea,leucopodia,,,,accepted,56270,Diachea leucopodia,Diachea leucopodia,S3,s3,blue,NA,unknown,unknown,NA,FALSE
Dictydiaethalium plumbeum,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Dianemataceae,,,Dictydiaethalium,plumbeum,,,,accepted,324282,Dictydiaethalium plumbeum,Dictydiaethalium plumbeum,S3S4,s3s4,blue,NA,unknown,unknown,NA,FALSE
Hemitrichia decipiens,,salmon-eggs,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Hemitrichiaceae,,,Hemitrichia,decipiens,,,,accepted,1441996,Hemitrichia decipiens,Hemitrichia decipiens,S3S4,s3s4,blue,NA,unknown,unknown,NA,FALSE
Physarum album,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Physarum,album,,,,accepted,179089,Physarum album,Physarum album,S4S5,s4s5,yellow,NA,unknown,unknown,NA,FALSE
Physarum viride,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Physarum,viride,,,,accepted,383670,Physarum viride,Physarum viride,S4S5,s4s5,yellow,NA,unknown,unknown,NA,FALSE
Reticularia lycoperdon,,False Puffball,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Reticulariales,,,,Reticulariaceae,,,Reticularia,lycoperdon,,,,accepted,145366,Reticularia lycoperdon,Reticularia lycoperdon,S3S4,s3s4,blue,NA,unknown,unknown,NA,FALSE
Stemonitis splendens,,chocolate tube slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,,Stemonitidaceae,,,Stemonitis,splendens,,,,accepted,53838,Stemonitis splendens,Stemonitis splendens,S4S5,s4s5,yellow,NA,unknown,unknown,NA,FALSE
Trichia varia,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Trichiaceae,,,Trichia,varia,,,,accepted,408301,Trichia varia,Trichia varia,S4S5,s4s5,yellow,NA,unknown,unknown,NA,FALSE
Badhamia utricularis,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Badhamia,utricularis,,,,accepted,56264,Badhamia utricularis,Badhamia utricularis,S3S5,s3s5,blue,NA,unknown,unknown,NA,FALSE
Brefeldia maxima,,Tapioca Slime Mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,,Amaurochaetaceae,,,Brefeldia,maxima,,,,accepted,244531,Brefeldia maxima,Brefeldia maxima,S3S4,s3s4,blue,NA,unknown,unknown,NA,FALSE
Ceratiomyxa fruticulosa,,Common Coral Slime,Protozoa,Mycetozoa,,,Ceratiomyxomycetes,,,Ceratiomyxales,,,,Ceratiomyxaceae,,,Ceratiomyxa,fruticulosa,,,,accepted,56252,Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa,S5,s5,yellow,NA,unknown,unknown,NA,FALSE
Fuligo septica,,Dog Vomit Slime Mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Fuligo,septica,,,,accepted,55483,Fuligo septica,Fuligo septica,S5,s5,yellow,NA,unknown,unknown,NA,FALSE
