"scientificName","scientificNameAuthorship","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","hybrid","variety","linkName","linkTaxonID"
"Microtus longicaudus","Merriam","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,44307
"Microtus oregoni","Bachman","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,44318
"Microtus richardsonii","De Kay","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,44323
"Microtus townsendii","Bachman","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,44298
"Myodes gapperi","Vigors","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,74677
"Myodes gapperi occidentalis","Merriam","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,237346
"Ondatra zibethicus","L.","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,45763
"Peromyscus keeni","Rhoads","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae",NA,NA,NA,NA,44387
"Peromyscus maniculatus","Wagner","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae",NA,NA,NA,NA,44396
"Phenacomys intermedius","Merriam","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,45714
"Synaptomys borealis","Richardson","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae",NA,NA,NA,NA,45760
"Zapus trinotatus","Rhoads","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Dipodoidea","Zapodidae","Zapodini",NA,NA,NA,NA,43844
"Corynorhinus townsendii","Cooper","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Vespertilioninae",NA,NA,NA,NA,74205
"Eptesicus fuscus","Beauvois","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Vespertilioninae",NA,NA,NA,NA,40509
"Lasionycteris noctivagans","LeConte","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Vespertilioninae",NA,NA,NA,NA,40629
"Lasiurus cinereus","Beauvois","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Vespertilioninae",NA,NA,NA,NA,40523
"Myotis californicus","Audubon & Bachman","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Myotinae",NA,NA,NA,NA,40342
"Myotis evotis","H. Allen","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Myotinae",NA,NA,NA,NA,40354
"Myotis lucifugus","LeConte","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Myotinae",NA,NA,NA,NA,40346
"Myotis volans","H. Allen","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Myotinae",NA,NA,NA,NA,40344
"Myotis yumanensis","H. Allen","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera","Vespertilionoidea","Vespertilionidae","Myotinae",NA,NA,NA,NA,40325
"Oreamnos americanus","de Blainville, 1816","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Bovidae","Antilopinae","Caprini",NA,NA,NA,42414
"Ovis canadensis","Shaw, 1804","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Bovidae","Antilopinae","Caprini",NA,NA,NA,42391
"Alces alces","Linnaeus, 1758","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Capreolinae","Alceini",NA,NA,NA,522193
"Cervus canadensis canadensis","(Erxleben, 1777)","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Cervinae","Cervini",NA,NA,NA,564777
"Cervus canadensis roosevelti","(Erxleben, 1777)","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Cervinae","Cervini",NA,NA,NA,566550
"Dama dama","Linnaeus, 1758","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Cervinae","Cervini",NA,NA,NA,42161
"Odocoileus hemionus columbianus","Rafinesque, 1817","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Capreolinae","Odocoileini",NA,NA,NA,42221
"Odocoileus virginianus","Zimmermann, 1780","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Capreolinae","Odocoileini",NA,NA,NA,42223
"Sus scrofa","Linnaeus, 1758","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Suina","","Suidae","Suinae","Suini",NA,NA,NA,42134
"Canis latrans","Say, 1823","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Canidae","","",NA,NA,NA,42051
"Canis lupus","Linnaeus, 1758","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Canidae","","",NA,NA,NA,42048
"Vulpes vulpes","Linnaeus, 1758","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Canidae","","",NA,NA,NA,42069
"Lynx canadensis","Kerr, 1792","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Felidae","Felinae","",NA,NA,NA,41974
"Lynx rufus","Schreber, 1777","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Felidae","Felinae","",NA,NA,NA,41976
"Puma concolor","Linnaeus, 1771","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Felidae","Felinae","",NA,NA,NA,42007
"Mephitis mephitis","Schreber, 1776","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Mephitidae","Mephitinae","",NA,NA,NA,41880
"Spilogale gracilis","Merriam, 1890","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Mephitidae","Mephitinae","",NA,NA,NA,58393
"Gulo gulo luscus","Linnaeus, 1758","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Mustelidae","Guloninae","",NA,NA,NA,41852
