scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Dendragapus obscurus,,Dusky Grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Dendragapus,obscurus,,,,accepted,1241,Dendragapus obscurus,Dendragapus obscurus,S4,s4,yellow,permanent,unknown,unknown,NA,FALSE
Poecile hudsonicus,,Boreal Chickadee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Paridae,,,Poecile,hudsonicus,,,,accepted,144821,Poecile hudsonicus,Poecile hudsonicus,S5,s5,yellow,NA,unknown,unknown,NA,FALSE
Accipiter gentilis,L.,Eurasian Goshawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Astur,gentilis,,,,unaccepted,1579015,Astur gentilis,Astur gentilis,"S4B,S4N (2015)","s4b,s4n",yellow,permanent,,,NA,FALSE
Melanitta fusca,L.,Velvet Scoter,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Melanitta,fusca,,,,accepted,850858,Melanitta fusca,Melanitta fusca,S4S5 (2015),s4s5,yellow,"passage migrant, winter",,,NA,FALSE
Bubo scandiacus,L.,Snowy Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,scandiacus,,,,accepted,144594,Bubo scandiacus,Bubo scandiacus,SUN (2015),sun,undetermined,winter,Not at Risk,not at risk,NA,FALSE
Corvus caurinus,Baird,Northwestern Crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Corvidae,,,Corvus,brachyrhynchos,,Corvus brachyrhynchos caurinus,,unaccepted,1290036,Corvus brachyrhynchos caurinus,Corvus brachyrhynchos caurinus,S5 (2015),s5,yellow,permanent,,,NA,FALSE
Falcipennis canadensis,L.,Spruce Grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Canachites,canadensis,,,,unaccepted,1289698,Canachites canadensis,Canachites canadensis,S5,s5,yellow,permanent,unknown,unknown,NA,FALSE
Haemorhous cassinii,Baird,Cassin's Finch,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Fringillidae,,,Haemorhous,cassinii,,,,accepted,199839,Haemorhous cassinii,Haemorhous cassinii,S5 (2015),s5,yellow,winter (rare),unknown,unknown,NA,FALSE
Setophaga coronata ssp. auduboni,Townsend,Audubon's Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,coronata,,Setophaga coronata auduboni,,accepted,126562,Setophaga coronata auduboni,Setophaga coronata auduboni,no subsp listed by CDC,NA,NA,"breeding, winter (rare)",,,NA,FALSE
Sialia mexicana,Swainson,Western Bluebird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Sialia,mexicana,,,,accepted,12937,Sialia mexicana,Sialia mexicana,S4B,s4b,yellow,accidental,unknown,unknown,NA,FALSE
Strix occidentalis,Xantus de Vasey,Spotted Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Strix,occidentalis,,,,accepted,19959,Strix occidentalis,Strix occidentalis,S1,s1,red,extirpated?,Endangered,endangered,endangered,FALSE
Accipiter cooperii,Bonaparte,Cooper's Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Astur,cooperii,,,,unaccepted,1579017,Astur cooperii,Astur cooperii,S5 (2015),s5,yellow,permanent,Not at Risk,not at risk,NA,FALSE
Accipiter striatus,Viellot,Sharp-shinned Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Accipiter,striatus,,,,accepted,5097,Accipiter striatus,Accipiter striatus,"S5B,S5N (2015)","s5b,s5n",yellow,permanent,Not at Risk,not at risk,NA,FALSE
Actitis macularius,L.,Spotted Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Actitis,macularius,,,,accepted,72458,Actitis macularius,Actitis macularius,S5B (2015),s5b,yellow,"breeding, winter (rare)",unknown,unknown,NA,FALSE
Aechmophorus occidentalis,Lawrence,Western Grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Aechmophorus,occidentalis,,,,accepted,4235,Aechmophorus occidentalis,Aechmophorus occidentalis,"S1B,S2N (2015)","s1b,s2n",red,winter,Special Concern,special concern,special concern,FALSE
Anthus rubescens,Turnstall,American Pipit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Motacillidae,,,Anthus,rubescens,,,,accepted,13732,Anthus rubescens,Anthus rubescens,"S5B, SNRN (2015)","s5b,snrn",yellow,"passage migrant, breeding",unknown,unknown,NA,FALSE
Ardea herodias,L.,Great Blue Heron,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Ardeinae,,Ardea,herodias,,,,accepted,4956,Ardea herodias,Ardea herodias,S3 (2015),s3,blue,permanent,unknown,unknown,NA,FALSE
Arenaria melanocephala,Vigors,Black Turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Arenaria,melanocephala,,,,accepted,3941,Arenaria melanocephala,Arenaria melanocephala,"S4N,S5M (2015)","s4n,s5m",yellow,winter,unknown,unknown,NA,FALSE
Bombycilla cedrorum,Viellot,Cedar Waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Bombycillidae,,,Bombycilla,cedrorum,,,,accepted,7428,Bombycilla cedrorum,Bombycilla cedrorum,S5 (2015),s5,yellow,"breeding, winter (rare)",unknown,unknown,NA,FALSE
Bonasa umbellus,Stephens,Ruffed Grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Bonasa,umbellus,,,,accepted,890,Bonasa umbellus,Bonasa umbellus,S5 (2015),s5,yellow,permanent,unknown,unknown,NA,FALSE
Brachyramphus marmoratus,Gmelin,Marbled Murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Alcidae,,,Brachyramphus,marmoratus,,,,accepted,4531,Brachyramphus marmoratus,Brachyramphus marmoratus,"S3B,S3N (2015)","s3b,s3n",blue,permanent,Threatened,threatened,threatened,FALSE
Branta canadensis ssp. occidentalis,L.; Baird,Dusky Canada Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,canadensis,,Branta canadensis occidentalis,,accepted,236949,Branta canadensis occidentalis,Branta canadensis occidentalis; Branta canadensis,S5 (2015); S2,"s5,s2",NA,NA,unknown,unknown,NA,FALSE
Bubo virginianus,Gmelin,Great Horned Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,virginianus,,,,accepted,20044,Bubo virginianus,Bubo virginianus,S5 (2015),s5,yellow,permanent,unknown,unknown,NA,FALSE
Bucephala albeola,L.,Bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Bucephala,albeola,,,,accepted,6993,Bucephala albeola,Bucephala albeola,"S5B, SNRN (2015)","s5b,snrn",yellow,winter,unknown,unknown,NA,FALSE
Bucephala clangula,L.,Common Goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Bucephala,clangula,,,,accepted,6990,Bucephala clangula,Bucephala clangula,S5 (2015),s5,yellow,permanent,unknown,unknown,NA,FALSE
Bucephala islandica,Gmelin,Barrow's Goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Bucephala,islandica,,,,accepted,6994,Bucephala islandica,Bucephala islandica,S4S5 (2015),s4s5,yellow,permanent,unknown,unknown,NA,FALSE
Buteo jamaicensis,Gmelin,Red-tailed Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Buteoninae,,Buteo,jamaicensis,,,,accepted,5212,Buteo jamaicensis,Buteo jamaicensis,S5 (2015),s5,yellow,permanent,Not at Risk,not at risk,NA,FALSE
Calidris mauri,Cabanis,Western Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,mauri,,,,accepted,3855,Calidris mauri,Calidris mauri,S4M (2015),s4m,yellow,passage migrant,unknown,unknown,NA,FALSE
Calidris minutilla,Vieillot,Least Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,minutilla,,,,accepted,3864,Calidris minutilla,Calidris minutilla,S4?B (2015),s4?b,yellow,passage migrant,unknown,unknown,NA,FALSE
Calidris virgata,Gmelin,Surfbird,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,virgata,,,,accepted,339592,Calidris virgata,Calidris virgata,S4M (2015),s4m,yellow,winter,unknown,unknown,NA,FALSE
Cardellina pusilla,Wilson,Wilson's Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Cardellina,pusilla,,,,accepted,145276,Cardellina pusilla,Cardellina pusilla,S5B (2015),s5b,yellow,breeding,unknown,unknown,NA,FALSE
Catharus ustulatus,Nuttall,Swainson's Thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Catharus,ustulatus,,,,accepted,12878,Catharus ustulatus,Catharus ustulatus,S5B (2015),s5b,yellow,breeding,unknown,unknown,NA,FALSE
Cepphus columba,Pallas,Pigeon Guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Alcidae,,,Cepphus,columba,,,,accepted,4415,Cepphus columba,Cepphus columba,S4 (2015),s4,yellow,permanent,unknown,unknown,NA,FALSE
Certhia americana,Bonaparte,Brown Creeper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Certhiidae,,,Certhia,americana,,,,accepted,7458,Certhia americana,Certhia americana,S5 (2015),s5,yellow,permanent,unknown,unknown,NA,FALSE
Chaetura vauxi,Townsend,Vaux's Swift,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,,Apodidae,,,Chaetura,vauxi,,,,accepted,6557,Chaetura vauxi,Chaetura vauxi,S4S5B (2015),s4s5b,yellow,breeding,unknown,unknown,NA,FALSE
Chordeiles minor,J..R. Forster,Common Nighthawk,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,,Caprimulgidae,,,Chordeiles,minor,,,,accepted,19577,Chordeiles minor,Chordeiles minor,S4B (2015),s4b,yellow,breeding,Special Concern,special concern,special concern,FALSE
Cinclus mexicanus,Swainson,American Dipper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Cinclidae,,,Cinclus,mexicanus,,,,accepted,7643,Cinclus mexicanus,Cinclus mexicanus,S4 (2015),s4,yellow,permanent,unknown,unknown,NA,FALSE
Clangula hyemalis,L.,Long-tailed Duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Clangula,hyemalis,,,,accepted,7170,Clangula hyemalis,Clangula hyemalis,"S2S3B,S4N (2015)","s2s3b,s4n",blue,winter,unknown,unknown,NA,FALSE
Coccothraustes vespertinus,W. Cooper,Evening Grosbeak,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Fringillidae,,,Hesperiphona,vespertina,,,,unaccepted,1650411,Hesperiphona vespertina,Hesperiphona vespertina,S5 (2015),s5,yellow,permanent,Special Concern,special concern,special concern,FALSE
Colaptes auratus,L.,Northern Flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,Picinae,Picini,Colaptes,auratus,,,,accepted,18236,Colaptes auratus,Colaptes auratus,S5 (2015),s5,yellow,permanent,unknown,unknown,NA,FALSE
Columba livia,Gmelin,Rock Pigeon,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,,Columbidae,,,Columba,livia,,,,accepted,3017,Columba livia,Columba livia,SNA (2015),sna,not-listed,introduced,unknown,unknown,NA,FALSE
Contopus cooperi,Swainson,Olive-sided Flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Contopus,cooperi,,,,accepted,16110,Contopus cooperi,Contopus cooperi,S3S4B (2015),s3s4b,blue,breeding,Special Concern,special concern,special concern,FALSE
