scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Acteocina cerealis,,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,,Bulloidea,Tornatinidae,,,Acteocina,cerealis,,,,accepted,49787,Acteocina cerealis,Acteocina cerealis,,NA,NA,NA,,,NA,FALSE
Acteocina culcitella,,Western Barrel-Bubble,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,,Bulloidea,Tornatinidae,,,Acteocina,culcitella,,,,accepted,49788,Acteocina culcitella,Acteocina culcitella,,NA,NA,NA,,,NA,FALSE
Akiodoris salacia,,Salacia's Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Akiodorididae,,,Akiodoris,salacia,,,,accepted,50784,Akiodoris salacia,Akiodoris salacia,,NA,NA,NA,,,NA,FALSE
Angustassiminea californica,,California Assiminea,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Truncatelloidea,Assimineidae,Assimineinae,,Angustassiminea,californica,,,,accepted,1241327,Angustassiminea californica,Angustassiminea californica,,NA,NA,NA,,,NA,FALSE
Astarte esquimalti,,Wavy-Line Astarte,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Carditida,,,Crassatelloidea,Astartidae,Astartinae,,Astarte,esquimalti,,,,accepted,1209944,Astarte esquimalti,Astarte esquimalti,,NA,NA,NA,,,NA,FALSE
Beringius crebricostatus,,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Buccinidae,Beringiinae,,Beringius,crebricostatus,,,,accepted,1293973,Beringius crebricostatus,Beringius crebricostatus,,NA,NA,NA,,,NA,FALSE
Buccinum plectrum,,sinuous whelk,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Buccinidae,Buccininae,,Buccinum,plectrum,,,,accepted,574592,Buccinum plectrum,Buccinum plectrum,,NA,NA,NA,,,NA,FALSE
Cardiomya californica,,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,,Cuspidarioidea,Cuspidariidae,,,Cardiomya,californica,,,,accepted,196183,Cardiomya californica,Cardiomya californica,,NA,NA,NA,,,NA,FALSE
Cardiomya pectinata,,Pectinate Cardiomya,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,,Cuspidarioidea,Cuspidariidae,,,Cardiomya,pectinata,,,,accepted,1207113,Cardiomya pectinata,Cardiomya pectinata,,NA,NA,NA,,,NA,FALSE
Compsomyax subdiaphana,,Milky Venus,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Veneroidea,Veneridae,Clementiinae,,Compsomyax,subdiaphana,,,,accepted,957357,Compsomyax subdiaphana,Compsomyax subdiaphana,,NA,NA,NA,,,NA,FALSE
Crepipatella lingulata,,Pacific Half-slipper Snail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Calyptraeoidea,Calyptraeidae,,,Crepipatella,lingulata,,,,accepted,143903,Crepipatella lingulata,Crepipatella lingulata,,NA,NA,NA,,,NA,FALSE
Cryptonatica affinis,,Arctic moonsnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Naticoidea,Naticidae,Naticinae,,Cryptonatica,affinis,,,,accepted,448169,Cryptonatica affinis,Cryptonatica affinis,,NA,NA,NA,,,NA,FALSE
Cyanoplax dentiens,,Gould's baby chiton,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Tonicellidae,Tonicellinae,,Cyanoplax,dentiens,,,,accepted,71241,Cyanoplax dentiens,Cyanoplax dentiens,,NA,NA,NA,,,NA,FALSE
Delectopecten vancouverensis,,Vancouver Scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,,Pectinoidea,Pectinidae,Camptonectinae,,Delectopecten,vancouverensis,,,,accepted,882077,Delectopecten vancouverensis,Delectopecten vancouverensis,,NA,NA,NA,,,NA,FALSE
Dendronotus frondosus,,Bushy-backed Nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Dendronotina,,Dendronotoidea,Dendronotidae,,,Dendronotus,frondosus,,,,accepted,423919,Dendronotus frondosus,Dendronotus frondosus,,NA,NA,NA,,,NA,FALSE
Deshayesiella spicata,,,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Lepidopleurida,Lepidopleurina,,,Protochitonidae,,,Deshayesiella,spicata,,,,accepted,932407,Deshayesiella spicata,Deshayesiella spicata,,NA,NA,NA,,,NA,FALSE
