scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Cladonia arbuscula,,Green Reindeer Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,arbuscula,,,,accepted,320843,Cladonia arbuscula,Cladonia arbuscula,,NA,NA,NA,,,NA,FALSE
Cladonia crispata,,Organ-pipe Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,crispata,,,,accepted,217086,Cladonia crispata,Cladonia crispata,,NA,NA,NA,,,NA,FALSE
Cladonia macilenta var. bacillaris,,Brown Pin Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,macilenta,Cladonia macilenta bacillaris,,,accepted,240034,Cladonia macilenta bacillaris,Cladonia macilenta bacillaris,,NA,NA,NA,,,NA,FALSE
Cladonia polydactyla,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,polydactyla,,,,accepted,60542,Cladonia polydactyla,Cladonia polydactyla,,NA,NA,NA,,,NA,FALSE
Halokirschsteiniothelia maritima,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Mytilinidiales,,,,Mytilinidiaceae,,,Halokirschsteiniothelia,maritima,,,,accepted,1362443,Halokirschsteiniothelia maritima,Halokirschsteiniothelia maritima,,NA,NA,NA,,,NA,FALSE
Lepraria caesioalba,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Stereocaulaceae,,,Lepraria,caesioalba,,,,accepted,1404130,Lepraria caesioalba,Lepraria caesioalba,,NA,NA,NA,,,NA,FALSE
Lepraria lobificans,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Stereocaulaceae,,,Lepraria,lobificans,,,,accepted,534751,Lepraria lobificans,Lepraria lobificans,,NA,NA,NA,,,NA,FALSE
Microthyrium macrosporum,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Microthyriales,,,,Microthyriaceae,,,Microthyrium,macrosporum,,,,accepted,1421860,Microthyrium macrosporum,Microthyrium macrosporum,,NA,NA,NA,,,NA,FALSE
Notoparmelia kerguelensis,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Notoparmelia,kerguelensis,,,,accepted,993235,Notoparmelia kerguelensis,Notoparmelia kerguelensis,,NA,NA,NA,,,NA,FALSE
Peltigera hydrothyria,,Eastern Waterfan Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,hydrothyria,,,,accepted,117300,Peltigera hydrothyria,Peltigera hydrothyria,,NA,NA,NA,,,NA,FALSE
