scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Dicranum condensatum,,Condensed Dicranum Moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Dicranaceae,,,Dicranum,condensatum,,,,accepted,161854,Dicranum condensatum,Dicranum condensatum,,NA,NA,NA,,,NA,FALSE
Ditrichum zonatum,,Alpine Ditrichum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Ditrichaceae,,,Ditrichum,zonatum,,,,accepted,161974,Ditrichum zonatum,Ditrichum zonatum,,NA,NA,NA,,,NA,FALSE
Eurhynchiastrum diversifolium,,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Eurhynchiastrum,diversifolium,,,,accepted,1544827,Eurhynchiastrum diversifolium,Eurhynchiastrum diversifolium,,NA,NA,NA,,,NA,FALSE
Fissidens viridulus,,Green Pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Fissidentaceae,,,Fissidens,viridulus,,,,accepted,401904,Fissidens viridulus,Fissidens viridulus,,NA,NA,NA,,,NA,FALSE
Frullania chilcootiensis,,,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Porellales,,,,Frullaniaceae,,,Frullania,chilcootiensis,,,,accepted,163094,Frullania chilcootiensis,Frullania chilcootiensis,,NA,NA,NA,,,NA,FALSE
Grimmia nivalis,,,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Grimmiaceae,,,Grimmia,nivalis,,,,accepted,1152922,Grimmia nivalis,Grimmia nivalis,,NA,NA,NA,,,NA,FALSE
Homalothecium lutescens,,Yellow Feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Homalothecium,lutescens,,,,accepted,461299,Homalothecium lutescens,Homalothecium lutescens,,NA,NA,NA,,,NA,FALSE
Hymenostylium recurvirostrum,,Hook-beak Tufa-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Hymenostylium,recurvirostrum,,,,accepted,281954,Hymenostylium recurvirostrum,Hymenostylium recurvirostrum,,NA,NA,NA,,,NA,FALSE
Jungermannia exsertifolia,,,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,,Jungermanniaceae,,,Jungermannia,exsertifolia,,,,accepted,164299,Jungermannia exsertifolia,Jungermannia exsertifolia,,NA,NA,NA,,,NA,FALSE
Jungermannia schusteriana,,,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,,Jungermanniaceae,,,Jungermannia,schusteriana,,,,accepted,1559089,Jungermannia schusteriana,Jungermannia schusteriana,,NA,NA,NA,,,NA,FALSE
