"id","time_observed_at","observed_on","user_name","quality_grade","coordinates_obscured","image_url","positional_accuracy","positioning_method","positioning_device","scientific_name","common_name","captive","taxon_id","taxon_rank","latitude","longitude","phylum","kingdom","class","order","infraorder","superfamily","family","subfamily","genus","nameStatus","Taxon.name","Kingdom","Phylum","Class","Order","Infraorder","Superfamily","Subfamily","Family","Genus","Common.name","Taxon.rank"
15845274,"2018-08-14","2018-08-14","Andrew Simon","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/23690822/square.png",87,NA,NA,"Eptesicus fuscus","Big Brown Bat","false",40509,"species",48.893525,-123.346638,"Chordata","Animalia","Mammalia","Chiroptera",NA,"Vespertilionoidea","Vespertilionidae","Vespertilioninae","Eptesicus","accepted","Eptesicus fuscus","Animalia","Chordata","Mammalia","Chiroptera",NA,"Vespertilionoidea","Vespertilioninae","Vespertilionidae","Eptesicus","Big Brown Bat","species"
78308044,"2021-05-11T02:40:20+00:00","2021-05-11","Dave Zeuss Cochrane","research","true","https://static.inaturalist.org/photos/128139024/square.jpeg",NA,NA,NA,"Lasionycteris noctivagans","Silver-haired Bat","false",40629,"species",48.889215,-123.383459,"Chordata","Animalia","Mammalia","Chiroptera",NA,"Vespertilionoidea","Vespertilionidae","Vespertilioninae","Lasionycteris","accepted","Lasionycteris noctivagans","Animalia","Chordata","Mammalia","Chiroptera",NA,"Vespertilionoidea","Vespertilioninae","Vespertilionidae","Lasionycteris","Silver-haired Bat","species"
164585551,"2023-05-27T09:58:00-07:00","2023-05-27","Dave Zeuss Cochrane","needs_id","true","https://static.inaturalist.org/photos/284782215/square.jpeg",4,NA,NA,"Hydroidolina",NA,"false",551473,"subclass",48.9234897701,-123.4942114909,"Cnidaria","Animalia","Hydrozoa",NA,NA,NA,NA,NA,NA,"accepted","Hydroidolina","Animalia","Cnidaria","Hydrozoa",NA,NA,NA,NA,NA,NA,"","subclass"
164585552,"2023-05-27T09:59:00-07:00","2023-05-27","Dave Zeuss Cochrane","research","true","https://static.inaturalist.org/photos/284782397/square.jpeg",4,NA,NA,"Embiotoca lateralis","Striped Surfperch","false",117555,"species",48.9234897701,-123.4942114909,"Chordata","Animalia","Actinopterygii","Blenniiformes",NA,NA,"Embiotocidae",NA,"Embiotoca","accepted","Embiotoca lateralis","Animalia","Chordata","Actinopterygii","Blenniiformes",NA,NA,NA,"Embiotocidae","Embiotoca","Striped Surfperch","species"
164585557,"2023-05-27T10:01:00-07:00","2023-05-27","Dave Zeuss Cochrane","research","true","https://static.inaturalist.org/photos/284782427/square.jpeg",4,NA,NA,"Hexagrammos decagrammus","Kelp Greenling","false",68596,"species",48.9234897701,-123.4942114909,"Chordata","Animalia","Actinopterygii","Perciformes",NA,NA,"Hexagrammidae","Hexagramminae","Hexagrammos","accepted","Hexagrammos decagrammus","Animalia","Chordata","Actinopterygii","Perciformes",NA,NA,"Hexagramminae","Hexagrammidae","Hexagrammos","Kelp Greenling","species"
164585558,"2023-05-27T10:01:00-07:00","2023-05-27","Dave Zeuss Cochrane","research","true","https://static.inaturalist.org/photos/284782440/square.jpeg",4,NA,NA,"Mesocentrotus franciscanus","Red Sea Urchin","false",992313,"species",48.9234897701,-123.4942114909,"Echinodermata","Animalia","Echinoidea","Camarodonta","Echinidea","Odontophora","Strongylocentrotidae",NA,"Mesocentrotus","accepted","Mesocentrotus franciscanus","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinidea","Odontophora",NA,"Strongylocentrotidae","Mesocentrotus","Red Sea Urchin","species"
164585559,"2023-05-27T10:01:00-07:00","2023-05-27","Dave Zeuss Cochrane","needs_id","true","https://static.inaturalist.org/photos/284782460/square.jpeg",4,NA,NA,"Terebellidae","Spaghetti Worms","false",47492,"family",48.9234897701,-123.4942114909,"Annelida","Animalia","Polychaeta","Terebellida",NA,NA,"Terebellidae",NA,NA,"accepted","Terebellidae","Animalia","Annelida","Polychaeta","Terebellida",NA,NA,NA,"Terebellidae",NA,"Spaghetti Worms","family"
164585564,"2023-05-27T10:01:00-07:00","2023-05-27","Dave Zeuss Cochrane","research","true","https://static.inaturalist.org/photos/284782500/square.jpeg",4,NA,NA,"Aequorea victoria","Victoria's Crystal Jelly","false",325995,"species",48.9234897701,-123.4942114909,"Cnidaria","Animalia","Hydrozoa","Leptothecata",NA,NA,"Aequoreidae",NA,"Aequorea","accepted","Aequorea victoria","Animalia","Cnidaria","Hydrozoa","Leptothecata",NA,NA,NA,"Aequoreidae","Aequorea","Victoria's Crystal Jelly","species"
164585566,"2023-05-27T10:01:00-07:00","2023-05-27","Dave Zeuss Cochrane","needs_id","true","https://static.inaturalist.org/photos/284782510/square.jpeg",4,NA,NA,"Henricia","Blood Stars","false",47665,"genus",48.9234897701,-123.4942114909,"Echinodermata","Animalia","Asteroidea","Spinulosida",NA,NA,"Echinasteridae",NA,"Henricia","accepted","Henricia","Animalia","Echinodermata","Asteroidea","Spinulosida",NA,NA,NA,"Echinasteridae","Henricia","Blood Stars","genus"
164585567,"2023-05-27T10:02:00-07:00","2023-05-27","Dave Zeuss Cochrane","research","true","https://static.inaturalist.org/photos/284782526/square.jpeg",4,NA,NA,"Apostichopus californicus","giant California sea cucumber","false",202640,"species",48.9234897701,-123.4942114909,"Echinodermata","Animalia","Holothuroidea","Synallactida",NA,NA,"Stichopodidae",NA,"Apostichopus","accepted","Apostichopus californicus","Animalia","Echinodermata","Holothuroidea","Synallactida",NA,NA,NA,"Stichopodidae","Apostichopus","giant California sea cucumber","species"
