Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Ancotrema sportella sportella,"(Gould, 1846)",,beaded lancetooth,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,Haplotrematinae,,Ancotrema,sportella,,sportella,,native,S4S5 (2015),,new 2021,observed,,,,,,2021-05-01,Andrew Simon,iNat:79112167,,1039200,MOL
Ariolimax columbianus,"Gould, 1851",,Pacific banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Ariolimacidae,Ariolimacinae,,Ariolimax,columbianus,,,,native,S5 (2015),,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2013-04-06,Felix Erhard,iNat:2583353,,47776,MOL
Arion sp.,,,chocolate slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,,,Arion,,,,,exotic,unlisted,,confirmed,observed,2019-05-03,M. Ankenman,RBCM,020-00039-001,,2015-08-28,Lauren Magner & Andrew Simon,iNat:3735272,"""Arion ater and Arion rufus (the two species in the subgenus known from the Pacific Northwest) can only by differentiated by dissection comparing genitalia or with D sequence data (Burke and Leonard 2013, Forsyth 2005). These authors also report that the black morph of Arion rufus is not uncommon in the Pacific Northwest. Further, Arion ater can be brownish with a reddish foot fringe (Rowson et al. 2014). Zemanova et al. 2018 used genetic sequence data to confirm Arion ater in Washington State. Thus, unless accompanied by an image of dissected genitalia or D sequence data, Subgenus Arion (Ater-group Arion Slugs) is the safest bet for these slugs."" (Casey H. Richart, pers. comm. 2021)",84755,MOL
Cepaea hortensis,"(O. F. Müller, 1774)",,white-lipped snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,hortensis,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-07-22,Kevin Toomer,iNat:88285505,,51039,MOL
Cepaea nemoralis,"(Linnaeus, 1758)",,brown-lipped snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,nemoralis,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-05-06,Kevin Toomer,iNat:12201718,,48586,MOL
Deroceras laeve,"(O. F. Müller, 1774)",,meadow slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidea,Agriolimacidae,Agriolimacinae,,Deroceras,laeve,,,,native,S5 (2015),,new 2022,observed,,,,,,2022-03-28,Liam Ragan,iNat:109769517,,209624,MOL
Deroceras reticulatum,"(O. F. Müller, 1774)",,gray fieldslug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidea,Agriolimacidae,Agriolimacinae,,Deroceras,reticulatum,,,,exotic,unlisted,,new 2022,observed,,,,,,2022-02-19,Kevin Toomer,iNat:107062382,,124432,MOL
Haplotrema vancouverense,"(I. Lea, 1839)",,robust lancetooth,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,vancouverense,,,,native,S5 (2015),,new 2018,observed,,,,,,2018-02-15,Kevin Toomer,iNat:9886289,,220933,MOL
Limax maximus,"Linnaeus, 1758",,leopard slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidea,Limacidae,Limacinae,,Limax,maximus,,,,exotic,unlisted,,new 2016,observed,,,,,,2013-02-05,"Alison, Laura & Malcolm Colwell",iNat:4053791,,62470,MOL
Monadenia fidelis,"(J. E. Gray, 1834)",,Pacific sideband,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,fidelis,,,,native,S4 (2015),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2015-03-26,Andrew Simon,iNat:2588053,,62803,MOL
