"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Charina bottae","(Blainville, 1835)","Rubber Boa","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Serpentes",NA,NA,"Boidae","Charinainae",NA,"Charina","bottae",NA,NA,NA,"S4","Mar 2025","Yellow","Special Concern","Apr 2016","1","Special Concern","Jan 2005"
"Coluber constrictor","Linnaeus, 1758","North American Racer","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Serpentes",NA,NA,"Colubridae","Colubrinae",NA,"Coluber","constrictor",NA,NA,NA,"S2S3","Mar 2018","Blue","Threatened","Nov 2015","1","Threatened","Feb 2023"
"Contia tenuis","(Baird & Girard,1852)","Common Sharp-tailed Snake","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Serpentes",NA,NA,"Colubridae","Dipsadinae",NA,"Contia","tenuis",NA,NA,NA,"S1S2","Mar 2018","Red","Endangered / Threatened","Dec 2021","1","Endangered","Jun 2003"
"Crotalus oreganus","Holbrook, 1840","Western Rattlesnake","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Serpentes",NA,NA,"Viperidae","Crotalinae",NA,"Crotalus","oreganus",NA,NA,NA,"S2S3","Mar 2018","Blue","Threatened","May 2015","1","Threatened","Jul 2005"
"Elgaria coerulea","(Wiegmann, 1828)","Northern Alligator Lizard","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Sauria","Anguimorpha",NA,"Anguidae","Gerrhonotinae",NA,"Elgaria","coerulea",NA,NA,NA,"S5","Mar 2025","Yellow","Not at Risk","May 2002",NA,NA,NA
"Nerodia sipedon","(Linnaeus, 1758)","Common Watersnake","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Serpentes",NA,NA,"Colubridae","Natricinae",NA,"Nerodia","sipedon",NA,NA,NA,NA,NA,"Exotic",NA,NA,NA,NA,NA
"Plestiodon skiltonianus","Baird & Girard, 1852","Western Skink","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Sauria","Scincomorpha",NA,"Scincidae","Scincinae",NA,"Plestiodon","skiltonianus",NA,NA,NA,"S3S4","Mar 2025","Blue","Special Concern","Nov 2014","1","Special Concern","Jan 2005"
"Podarcis muralis","(Laurenti, 1768)","Common Wall Lizard","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Sauria","Lacertoidea",NA,"Lacertidae","Lacertinae",NA,"Podarcis","muralis",NA,NA,NA,"SNA","Mar 2025","Exotic",NA,NA,NA,NA,NA
"Sceloporus occidentalis","Baird and Girard, 1852","Western Fence Lizard","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Sauria","Iguania",NA,"Phrynosomatidae","Sceloporinae",NA,"Sceloporus","occidentalis",NA,NA,NA,NA,NA,"Exotic",NA,NA,NA,NA,NA
"Thamnophis elegans vagrans","Baird & Girard","Terrestrial Gartersnake","Animalia","Chordata","Vertebrata",NA,"Reptilia",NA,NA,"Squamata","Serpentes",NA,NA,"Colubridae","Natricinae",NA,"Thamnophis","elegans",NA,"Thamnophis elegans vagrans",NA,"S5","Mar 2025","Yellow",NA,NA,NA,NA,NA
