"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Acarospora fuscata","(Schrader) Arnold","brown cobblestone lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Acarosporomycetidae",NA,"Acarosporales",NA,NA,NA,"Acarosporaceae",NA,NA,"Acarospora","fuscata",NA,NA,NA,"S5","Feb 2020","Yellow",NA,NA,NA,NA,NA
"Alectoria imshaugii","Brodo & D. Hawksw.","Spiny Witch's Hair","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae",NA,"Alectoria","imshaugii",NA,NA,NA,"S3?","Apr 2019","Blue",NA,NA,NA,NA,NA
"Alectoria sarmentosa ssp. sarmentosa","(Ach.) Ach.","Common Witch's Hair Lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae",NA,"Alectoria","sarmentosa",NA,"sarmentosa",NA,"S5","Mar 2018","Yellow",NA,NA,NA,NA,NA
"Alectoria vancouverensis","(Gyelnik) Gyelnik ex Brodo & D. Hawksw","Vancouver Witch's Hair Lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae",NA,"Alectoria","vancouverensis",NA,NA,NA,"S4","Mar 2018","Yellow",NA,NA,NA,NA,NA
"Amandinea punctata","(Hoffm.) Coppins & Scheid.","Tiny Button Lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Caliciales",NA,NA,NA,"Caliciaceae",NA,NA,"Amandinea","punctata",NA,NA,NA,"S5","Feb 2020","Yellow",NA,NA,NA,NA,NA
"Arctoparmelia centrifuga","(L.) Hale","Concentric Ring Lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Lecanoromycetidae",NA,"Lecanorales",NA,NA,NA,"Parmeliaceae","Parmelioideae",NA,"Arctoparmelia","centrifuga",NA,NA,NA,"S5","Mar 2018","Yellow",NA,NA,NA,NA,NA
"Arthonia phaeobaea","(Nyl.) Zahlbr.",NA,"Fungi","Ascomycota","Pezizomycotina",NA,"Arthoniomycetes",NA,NA,"Arthoniales",NA,NA,NA,"Arthoniaceae",NA,NA,"Arthonia","phaeobaea",NA,NA,NA,"SU","Feb 2020","Unknown",NA,NA,NA,NA,NA
"Arthonia radiata","(Pers.) Ach.","Asterisk Lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Arthoniomycetes",NA,NA,"Arthoniales",NA,NA,NA,"Arthoniaceae",NA,NA,"Arthonia","radiata",NA,NA,NA,"S5","Feb 2020","Yellow",NA,NA,NA,NA,NA
"Arthrorhaphis citrinella","(Ach.) Poelt","Golden Dot-Lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,NA,NA,NA,NA,"Arthrorhaphidaceae",NA,NA,"Arthrorhaphis","citrinella",NA,NA,NA,"S5","Feb 2020","Yellow",NA,NA,NA,NA,NA
"Aspicilia cinerea","(L.) Körb.","cinder lichen","Fungi","Ascomycota","Pezizomycotina",NA,"Lecanoromycetes","Ostropomycetidae",NA,"Pertusariales",NA,NA,NA,"Megasporaceae",NA,NA,"Aspicilia","cinerea",NA,NA,NA,"S5","Feb 2020","Yellow",NA,NA,NA,NA,NA
