"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Abies amabilis","Douglas ex J. Forbes","Pacific silver fir","Plantae","Tracheophyta",NA,NA,"Pinopsida",NA,NA,"Pinales",NA,NA,NA,"Pinaceae","Abietoideae",NA,"Abies","amabilis",NA,NA,NA,"S5","Apr 2019","Yellow",NA,NA,NA,NA,NA
"Abies grandis","(Douglas ex D. Don) Lindl.","grand fir","Plantae","Tracheophyta",NA,NA,"Pinopsida",NA,NA,"Pinales",NA,NA,NA,"Pinaceae","Abietoideae",NA,"Abies","grandis",NA,NA,NA,"S5","Apr 2019","Yellow",NA,NA,NA,NA,NA
"Abies lasiocarpa","(Hooker) Nuttall","subalpine fir","Plantae","Tracheophyta",NA,NA,"Pinopsida",NA,NA,"Pinales",NA,NA,NA,"Pinaceae","Abietoideae",NA,"Abies","lasiocarpa",NA,NA,NA,"S5","Apr 2019","Yellow",NA,NA,NA,NA,NA
"Acer campestre","L.","field maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","campestre",NA,NA,NA,"SNA","Apr 2022","Exotic",NA,NA,NA,NA,NA
"Acer circinatum","Pursh","Vine Maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","circinatum",NA,NA,NA,"S5","Apr 2019","Yellow",NA,NA,NA,NA,NA
"Acer glabrum var. douglasii","Torr.","Douglas maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","glabrum","douglasii",NA,NA,"S5","Apr 2019","Yellow",NA,NA,NA,NA,NA
"Acer macrophyllum","Pursh","bigleaf maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","macrophyllum",NA,NA,NA,"S5","Apr 2019","Yellow",NA,NA,NA,NA,NA
"Acer platanoides","L.","Norway maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","platanoides",NA,NA,NA,"SNA","Apr 2019","Exotic",NA,NA,NA,NA,NA
"Acer pseudoplatanus","L.","sycamore maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","pseudoplatanus",NA,NA,NA,"SNA","Apr 2019","Exotic",NA,NA,NA,NA,NA
"Achillea filipendulina","Lam.","Fern-leaf Yarrow","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Asterales",NA,NA,NA,"Asteraceae","Asteroideae","Anthemideae","Achillea","filipendulina",NA,NA,NA,"SNA","Apr 2019","Exotic",NA,NA,NA,NA,NA
