"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Amblystegium serpens","(Hedw.) Schimp.","creeping feather-moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Hypnales",NA,NA,NA,"Amblystegiaceae",NA,NA,"Amblystegium","serpens",NA,NA,NA,"S4S5","Apr 2024","Yellow",NA,NA,NA,NA,NA
"Amphidium californicum","(Hampe ex Müll. Hal.) Broth.",NA,"Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Dicranales",NA,NA,NA,"Amphidiaceae",NA,NA,"Amphidium","californicum",NA,NA,NA,"S4","Apr 2024","Yellow",NA,NA,NA,NA,NA
"Amphidium lapponicum","(Hedw.) Schimp.","Lapland Amphidium Moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Dicranales",NA,NA,NA,"Amphidiaceae",NA,NA,"Amphidium","lapponicum",NA,NA,NA,"S5","Apr 2024","Yellow",NA,NA,NA,NA,NA
"Anacolia menziesii","(Turn.) Par.","Menzies' anacolia moss","Plantae","Bryophyta",NA,NA,"Bryopsida",NA,NA,"Bartramiales",NA,NA,NA,"Bartramiaceae",NA,NA,"Anacolia","menziesii",NA,NA,NA,"S4S5","Apr 2024","Yellow",NA,NA,NA,NA,NA
"Anastrophyllum assimile","(Mitt.) Steph.","Similar Notchwort","Plantae","Marchantiophyta",NA,NA,"Jungermanniopsida","Jungermanniidae",NA,"Jungermanniales","Cephaloziineae",NA,NA,"Anastrophyllaceae",NA,NA,"Anastrophyllum","assimile",NA,NA,NA,"S4","Apr 2021","Yellow",NA,NA,NA,NA,NA
"Andreaea alpestris","Hedw.",NA,"Plantae","Bryophyta",NA,NA,"Andreaeopsida",NA,NA,"Andreaeales",NA,NA,NA,"Andreaeaceae",NA,NA,"Andreaea","alpestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andreaea blyttii","Schimp.","Blytt's Rock Moss","Plantae","Bryophyta",NA,NA,"Andreaeopsida",NA,NA,"Andreaeales",NA,NA,NA,"Andreaeaceae",NA,NA,"Andreaea","blyttii",NA,NA,NA,"S4","Apr 2024","Yellow",NA,NA,NA,NA,NA
"Andreaea heinemannii","Hampe & Müll.Hal.","Heinemann's Andreaea Moss","Plantae","Bryophyta",NA,NA,"Andreaeopsida",NA,NA,"Andreaeales",NA,NA,NA,"Andreaeaceae",NA,NA,"Andreaea","heinemannii",NA,NA,NA,"S3","Apr 2024","Blue",NA,NA,NA,NA,NA
"Andreaea megistospora","B.M. Murr.",NA,"Plantae","Bryophyta",NA,NA,"Andreaeopsida",NA,NA,"Andreaeales",NA,NA,NA,"Andreaeaceae",NA,NA,"Andreaea","megistospora",NA,NA,NA,"S4","Apr 2024","Yellow",NA,NA,NA,NA,NA
"Andreaea nivalis","Hook.","Snow Rock Moss","Plantae","Bryophyta",NA,NA,"Andreaeopsida",NA,NA,"Andreaeales",NA,NA,NA,"Andreaeaceae",NA,NA,"Andreaea","nivalis",NA,NA,NA,"S4","Apr 2024","Yellow",NA,NA,NA,NA,NA
