"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Anaxyrus boreas","(Baird and Girard, 1852)","Western Toad","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Bufonidae",NA,NA,"Anaxyrus","boreas",NA,NA,NA,"S4","Apr 2022","Yellow","Special Concern","Nov 2012","1","Special Concern","Jun 2018"
"Ascaphus truei","(Stejneger, 1899)","Coastal Tailed Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ascaphidae",NA,NA,"Ascaphus","truei",NA,NA,NA,"S4","Jan 2022","Yellow","Special Concern","Nov 2011","1","Special Concern","Jun 2003"
"Lithobates catesbeianus","(Shaw, 1802)","American Bullfrog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Lithobates","catesbeianus",NA,NA,NA,"SNA","Dec 2021","Exotic",NA,NA,NA,NA,NA
"Lithobates clamitans","(Latreille, 1801)","Green Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Lithobates","clamitans",NA,NA,NA,"SNA","Dec 2021","Exotic",NA,NA,NA,NA,NA
"Lithobates pipiens","(Schreber, 1782)","Northern Leopard Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Lithobates","pipiens",NA,NA,NA,"S1","Dec 2021","Red","Endangered","Dec 2021","1","Endangered","Jun 2003"
"Lithobates sylvaticus","(LeConte, 1825)","Wood Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Lithobates","sylvaticus",NA,NA,NA,"S5","Sep 2023","Yellow",NA,NA,NA,NA,NA
"Pseudacris maculata","Agassiz, 1850","Boreal Chorus Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Hylidae",NA,NA,"Pseudacris","maculata",NA,NA,NA,"S5?","Sep 2023","Yellow",NA,NA,NA,NA,NA
"Pseudacris regilla","(Baird & Girard, 1852)","Pacific Treefrog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Hylidae",NA,NA,"Pseudacris","regilla",NA,NA,NA,"S5","Mar 2023","Yellow",NA,NA,NA,NA,NA
"Rana aurora","Baird and Girard, 1852","Northern Red-legged Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Rana","aurora",NA,NA,NA,"S3","Mar 2022","Blue","Special Concern","May 2015","1","Special Concern","Jan 2005"
"Rana luteiventris","Thompson, 1913","Columbia Spotted Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Rana","luteiventris",NA,NA,NA,"S4S5","Mar 2022","Yellow","Not at Risk","May 2000",NA,NA,NA
"Rana pretiosa","Baird & Girard, 1853","Oregon Spotted Frog","Animalia","Chordata","Vertebrata",NA,"Amphibia",NA,NA,"Anura",NA,NA,NA,"Ranidae",NA,NA,"Rana","pretiosa",NA,NA,NA,"S1","Jan 2022","Red","Endangered","May 2011","1","Endangered","Jun 2003"
