"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date","residencyStatus"
"Acanthis flammea","L.","Redpoll","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Fringillidae",NA,NA,"Acanthis","flammea",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Accipiter striatus","Viellot","Sharp-shinned Hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Accipitrinae",NA,"Accipiter","striatus",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow","Not at Risk","May 1997",NA,NA,NA,"permanent"
"Actitis macularius","L.","Spotted Sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Actitis","macularius",NA,NA,NA,"S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding, winter (rare)"
"Aechmophorus occidentalis","Lawrence","Western Grebe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Podicipediformes",NA,NA,NA,"Podicipedidae",NA,NA,"Aechmophorus","occidentalis",NA,NA,NA,"S1S2B,S2N","Apr 2023","Red","Special Concern","May 2014","1","Special Concern","Nov 2017","winter"
"Aegolius acadicus","Gmelin","Northern Saw-whet Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Aegolius","acadicus",NA,NA,NA,"S2S3","Feb 2017","Blue","Threatened","Dec 2017","1","Threatened","Dec 2007","permanent"
"Aeronautes saxatalis","Woodhouise","White-throated Swift","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Apodiformes",NA,NA,NA,"Apodidae",NA,NA,"Aeronautes","saxatalis",NA,NA,NA,"S3S4B","Mar 2022","Blue",NA,NA,NA,NA,NA,"accidental"
"Agelaius phoeniceus","L.","Red-winged Blackbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Icteridae",NA,NA,"Agelaius","phoeniceus",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Aix sponsa","L.","Wood Duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Aix","sponsa",NA,NA,NA,"S4B,S4N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Alectoris chukar",NA,"Chukar","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Alectoris","chukar",NA,NA,NA,"SNA","Mar 2015","Exotic",NA,NA,NA,NA,NA,"introduced"
"Ammospiza nelsoni","Allen","Nelson's Sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Passerellidae",NA,NA,"Ammospiza","nelsoni",NA,NA,NA,"S2B","Apr 2018","Red","Not at Risk","May 1998",NA,NA,NA,"accidental"
"Amphispiza bilineata","Cassin","Black-throated Sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Passerellidae",NA,NA,"Amphispiza","bilineata",NA,NA,NA,"SNA","Apr 2024","Accidental",NA,NA,NA,NA,NA,"accidental"
"Anas acuta","L.","Northern Pintail","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anas","acuta",NA,NA,NA,"S4B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Anas crecca","L.","Green-winged Teal","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anas","crecca",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Anas platyrhynchos","L.","Mallard","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anas","platyrhynchos",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Anas rubripes","Brewster","American Black Duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anas","rubripes",NA,NA,NA,"SNA","Mar 2015","Exotic",NA,NA,NA,NA,NA,"accidental"
"Anser albifrons","Scopoli","Greater White-fronted Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anser","albifrons",NA,NA,NA,"S4M","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Anser caerulescens","L.","Snow Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anser","caerulescens",NA,NA,NA,"S4M","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Anser canagicus","Sevastianov","Emperor Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anser","canagicus",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
"Anser rossii","Cassin","Ross's Goose","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Anser","rossii",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
"Anthus rubescens","Turnstall","American Pipit","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Motacillidae",NA,NA,"Anthus","rubescens",NA,NA,NA,"S5B,SNRN","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant, breeding"
"Antigone canadensis","L.","Sandhill Crane","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gruiformes",NA,NA,NA,"Gruidae",NA,NA,"Antigone","canadensis",NA,NA,NA,"S4B","Mar 2018","Yellow","Not at Risk","May 1979",NA,NA,NA,"passage migrant"
"Aphelocoma californica","Vigors","California Scrub-Jay","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Corvidae",NA,NA,"Aphelocoma","californica",NA,NA,NA,"SUB","Mar 2015","Unknown",NA,NA,NA,NA,NA,"accidental"
"Aquila chrysaetos","L.","Golden Eagle","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Aquilinae",NA,"Aquila","chrysaetos",NA,NA,NA,"S4S5","Mar 2015","Yellow","Not at Risk","May 1996",NA,NA,NA,"permanent"
"Ardea alba","L.","Great Egret","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Pelecaniformes",NA,NA,NA,"Ardeidae","Ardeinae",NA,"Ardea","alba",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
