"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Crocosmia × crocosmiiflora","(Lemoine) N.E. Br.","Garden Montbretia","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Asparagales",NA,NA,NA,"Iridaceae","Crocoideae","Ixieae","Crocosmia",NA,NA,NA,"Crocosmia × crocosmiiflora",NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthelium sp.","(Hitchc. & Chase) Gould","rosette grasses","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Panicoideae","Paniceae","Dichanthelium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diphasiastrum alpinum × sitchense","(L.) Holub","Alpine × Sitka Clubmoss","Plantae","Tracheophyta",NA,NA,"Lycopodiopsida",NA,NA,"Lycopodiales",NA,NA,NA,"Lycopodiaceae","Lycopodioideae",NA,"Diphasiastrum",NA,NA,NA,"Diphasiastrum alpinum × sitchense",NA,NA,NA,NA,NA,NA,NA,NA
"Elymus trachycaulus","(Link) Gould ex Shinners","slender wheatgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia characias","L.","Mediterranean spurge","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Malpighiales",NA,NA,NA,"Euphorbiaceae","Euphorbioideae","Euphorbieae","Euphorbia","characias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphrasia officinalis","L.","Eyebright","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Lamiales",NA,NA,NA,"Orobanchaceae",NA,"Rhinantheae","Euphrasia","officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagus sylvatica","L.","European beech","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Fagales",NA,NA,NA,"Fagaceae",NA,NA,"Fagus","sylvatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fargesia murielae","(Gamble) T.P.Yi","Umbrella Bamboo","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Bambusoideae","Arundinarieae","Fargesia","murielae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca bromoides","L.","barren fescue","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae","Poeae","Festuca","bromoides",NA,NA,NA,"SNA","Apr 2019","Exotic",NA,NA,NA,NA,NA
"Festuca rubra s. lat.","L.","red fescue","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae","Poeae","Festuca","rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca saximontana var. purpusiana","(St.-Yves) Fred. & Pavlick","Rocky Mountain Fescue","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae","Poeae","Festuca","saximontana","purpusiana",NA,NA,"S5","Mar 2020","Yellow",NA,NA,NA,NA,NA
"Forsythia × intermedia","Zabel","Border Forsythia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Lamiales",NA,NA,NA,"Oleaceae",NA,NA,"Forsythia",NA,NA,NA,"Forsythia × intermedia",NA,NA,NA,NA,NA,NA,NA,NA
"Fragaria × ananassa ssp. cuneifolia","(Nutt. ex Howell) Staudt","Hybrid Pacific Northwest Strawberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Potentilleae","Fragaria",NA,NA,"ananassa","Fragaria × ananassa",NA,NA,NA,NA,NA,NA,NA,NA
"Gentiana septemfida","Pall.","crested gentian","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Gentianales",NA,NA,NA,"Gentianaceae",NA,"Gentianeae","Gentiana","septemfida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium macrorrhizum","L.","Rock Crane's-bill","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Geraniales",NA,NA,NA,"Geraniaceae",NA,NA,"Geranium","macrorrhizum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium phaeum","L.","Dusky Crane's-bill","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Geraniales",NA,NA,NA,"Geraniaceae",NA,NA,"Geranium","phaeum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium pratense","L.","Meadow Crane's-bill","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Geraniales",NA,NA,NA,"Geraniaceae",NA,NA,"Geranium","pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium rotundifolium","L.","Roundleaf geranium","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Geraniales",NA,NA,NA,"Geraniaceae",NA,NA,"Geranium","rotundifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedera canariensis","Willd.","Canary Islands Ivy","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Apiales",NA,NA,NA,"Araliaceae","Aralioideae",NA,"Hedera","canariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium atratum","Fr.","Polar hawkweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Asterales",NA,NA,NA,"Asteraceae","Cichorioideae","Cichorieae","Hieracium","atratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasminum nudiflorum","Lindl.","Winter jasmine","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Lamiales",NA,NA,NA,"Oleaceae",NA,NA,"Jasminum","nudiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kerria japonica","(L.) DC.","Japanese Kerria","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Amygdaloideae","Kerrieae","Kerria","japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucanthemum × superbum","(Bergmans ex J.W.Ingram) Bergmans ex Kent","Shasta daisy","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Asterales",NA,NA,NA,"Asteraceae","Asteroideae",NA,NA,NA,NA,NA,"Leucanthemum × superbum",NA,NA,NA,NA,NA,NA,NA,NA
"Limnanthes douglasii","R. Br.","Douglas' meadowfoam","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Brassicales",NA,NA,NA,"Limnanthaceae",NA,NA,"Limnanthes","douglasii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liriodendron tulipifera","L.","American tuliptree","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Magnoliales",NA,NA,NA,"Magnoliaceae","Liriodendroideae",NA,"Liriodendron","tulipifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
