"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Alces alces","Linnaeus, 1758","Moose","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia",NA,NA,"Cervidae","Capreolinae","Alceini","Alces","alces",NA,NA,NA,"S5","Feb 2024","Yellow",NA,NA,NA,NA,NA
"Aplodontia rufa","Rafinesque, 1817","Mountain Beaver","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Sciuromorpha",NA,NA,"Aplodontiidae",NA,NA,"Aplodontia","rufa",NA,NA,NA,"S3","Mar 2024","Blue","Special Concern","Dec 2022","1","Special Concern","Jun 2003"
"Callospermophilus lateralis","(Say, 1823)","Golden-mantled Ground Squirrel","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Sciuromorpha",NA,NA,"Sciuridae","Xerinae","Marmotini","Callospermophilus","lateralis",NA,NA,NA,"S5","Mar 2024","Yellow",NA,NA,NA,NA,NA
"Canis latrans","Say, 1823","Coyote","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora",NA,NA,NA,"Canidae",NA,NA,"Canis","latrans",NA,NA,NA,"S5","Jul 2024","Yellow",NA,NA,NA,NA,NA
"Canis lupus","Linnaeus, 1758","Grey Wolf","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Carnivora",NA,NA,NA,"Canidae",NA,NA,"Canis","lupus",NA,NA,NA,"S4S5","Mar 2025","Yellow","Not at Risk","May 1999",NA,NA,NA
"Castor canadensis","Kuhl, 1820","American Beaver","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Castorimorpha",NA,NA,"Castoridae",NA,NA,"Castor","canadensis",NA,NA,NA,"S5","Jan 2024","Yellow",NA,NA,NA,NA,NA
"Cervus canadensis canadensis","(Erxleben, 1777)","Elk","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia",NA,NA,"Cervidae","Cervinae","Cervini","Cervus","canadensis",NA,"canadensis",NA,"S5","2024","Yellow",NA,NA,NA,NA,NA
"Cervus canadensis roosevelti","(Erxleben, 1777)","Roosevelt Elk","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia",NA,NA,"Cervidae","Cervinae","Cervini","Cervus","canadensis",NA,"roosevelti",NA,"S3S4","Mar 2017","Blue",NA,NA,NA,NA,NA
"Clethrionomys gapperi","(Vigors, 1830)","Southern Red-backed Vole","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha",NA,"Muroidea","Cricetidae","Arvicolinae","Clethrionomyini","Clethrionomys","gapperi",NA,NA,NA,"S5","Mar 2024","Yellow",NA,NA,NA,NA,NA
"Corynorhinus townsendii","Cooper","Townsend's Big-eared Bat","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera",NA,"Vespertilionoidea","Vespertilionidae","Vespertilioninae","Plecotini","Corynorhinus","townsendii",NA,NA,NA,"S3","Feb 2022","Blue",NA,NA,NA,NA,NA
"Dama dama","Linnaeus, 1758","Fallow Deer","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia",NA,NA,"Cervidae","Cervinae","Cervini","Dama","dama",NA,NA,NA,"SNA","Mar 2024","Exotic",NA,NA,NA,NA,NA
"Didelphis virginiana","Kerr, 1792","Virginia Opossum","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria",NA,"Didelphimorphia",NA,NA,NA,"Didelphidae","Didelphinae","Didelphini","Didelphis","virginiana",NA,NA,NA,"SNA","Mar 2024","Exotic",NA,NA,NA,NA,NA
"Eptesicus fuscus","Beauvois","Big Brown Bat","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Laurasiatheria","Chiroptera","Yangochiroptera",NA,"Vespertilionoidea","Vespertilionidae","Vespertilioninae","Eptesicini","Eptesicus","fuscus",NA,NA,NA,"S5","Sep 2021","Yellow",NA,NA,NA,NA,NA
"Erethizon dorsatum","(Linnaeus, 1758)","North American Porcupine","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Hystricomorpha","Hystricognathi","Erethizontoidea","Erethizontidae","Erethizontinae",NA,"Erethizon","dorsatum",NA,NA,NA,"S4S5","Mar 2023","Yellow",NA,NA,NA,NA,NA
