"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Abortiporus biennis","(Bull.) Singer","Blushing Rosette","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales",NA,NA,NA,"Podoscyphaceae",NA,NA,"Abortiporus","biennis",NA,NA,NA,"SU","Mar 2021","Unknown",NA,NA,NA,NA,NA
"Agaricus augustus","Fr.","The Prince","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Agaricineae",NA,NA,"Agaricaceae",NA,"Agariceae","Agaricus","augustus",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Agaricus hondensis","Murrill","Felt-ringed Agaricus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Agaricineae",NA,NA,"Agaricaceae",NA,"Agariceae","Agaricus","hondensis",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Agrocybe acericola","(Peck) Singer",NA,"Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Agaricineae",NA,NA,"Hymenogastraceae",NA,NA,"Agrocybe","acericola",NA,NA,NA,"SU","Mar 2021","Unknown",NA,NA,NA,NA,NA
"Agrocybe pediades","(Fr.)","Common Fieldcap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Agaricineae",NA,NA,"Hymenogastraceae",NA,NA,"Agrocybe","pediades",NA,NA,NA,"SU","Mar 2021","Unknown",NA,NA,NA,NA,NA
"Agrocybe praecox","(Pers.) Fayod","Spring Fieldcap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Agaricineae",NA,NA,"Hymenogastraceae",NA,NA,"Agrocybe","praecox",NA,NA,NA,"S4","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Aleuria aurantia","(Pers.) Fuckel","orange peel fungus","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales",NA,NA,NA,"Pyronemataceae",NA,NA,"Aleuria","aurantia",NA,NA,NA,"S3S4","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Aleurodiscus penicillatus","Burt",NA,"Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales",NA,NA,NA,"Stereaceae",NA,NA,"Aleurodiscus","penicillatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloclavaria purpurea","(O.F. Müll.) Dentinger & D.J. McLaughlin","Purple Spindles","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Hymenochaetales",NA,NA,NA,"Rickenellaceae",NA,NA,"Alloclavaria","purpurea",NA,NA,NA,"S3S4","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Alpova diplophloeus","(Zeller & C.W. Dodge) Trappe & A.H. Sm.",NA,"Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Boletales","Boletineae",NA,NA,"Paxillaceae",NA,NA,"Alpova","diplophloeus",NA,NA,NA,"S3S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita aprica","J. Lindgr. & Tulloss","Sunshine Amanita","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","aprica",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita augusta","Bojantchev & R.M. Davis","Western Yellow-veiled Amanita","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","augusta",NA,NA,NA,"S2S3","Mar 2021","Blue",NA,NA,NA,NA,NA
"Amanita constricta","Thiers & Ammirati","Constricted Grisette","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","constricta",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita junquillea","Quél.","jewelled amanita","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","junquillea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amanita muscaria","(L.) Pers.","Fly Agaric","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","muscaria",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita muscaria flavivolvata","Singer","American Fly Agaric","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","muscaria",NA,"Amanita muscaria flavivolvata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amanita pachycolea","D.E. Stuntz","Western Grisette","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","pachycolea",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita pantherina","(DC.) Krombholz","Panthercap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","pantherina",NA,NA,NA,"S5","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita pantherinoides","(Murrill) Murrill","Western Panther","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","pantherinoides",NA,NA,NA,"SU","Mar 2021","Unknown",NA,NA,NA,NA,NA
"Amanita phalloides","(Vaill ex Fr.) Link","Deathcap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","phalloides",NA,NA,NA,"SNA","Mar 2021","Exotic",NA,NA,NA,NA,NA
"Amanita porphyria","Alb. & Schwein : Fr.","Grey-veiled Amanita","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","porphyria",NA,NA,NA,"S3S4","Mar 2021","Yellow",NA,NA,NA,NA,NA
"Amanita silvicola","A.H. Sm.","Western Woodland Lepidella","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes","Agaricomycetidae",NA,"Agaricales","Pluteineae",NA,NA,"Amanitaceae",NA,"Amaniteae","Amanita","silvicola",NA,NA,NA,"S3S4","Mar 2021","Yellow",NA,NA,NA,NA,NA
