Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Amaurochaete tubulina,(Alb. & Schwein.) T. Macbr.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,Amaurochaetaceae,,,Amaurochaete,tubulina,NA,NA,NA,cosmopolitan,unlisted,NA,new 2019,observed,2019-07-01,Kevin Toomer,PJ private collection,Galaino #10,NA,2019-07-05,Kevin Toomer,iNat:iNat:28243758,NA,906605,PRO
Arcyria cinerea,(Bull.) Pers.,NA,white slime,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,cinerea,NA,NA,NA,cosmopolitan,unlisted,NA,reported,unobserved,2016-02-01,Rene Zich,,,NA,,,iNat:,NA,56258,PRO
Arcyria ferruginea,Saut.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,ferruginea,NA,NA,NA,,,NA,new 2020,observed,,,,,NA,2020-01-24,Pam Janszen,iNat:iNat:70175131,NA,332465,PRO
Arcyria incarnata,(Pers. ex J.F. Gmel.) Pers.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,incarnata,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-01,Pam Janzen,PJ private collection,Galiano #1,NA,2017-05-27,Pam Janszen,iNat:iNat:7150085,NA,381271,PRO
Arcyria obvelata,(Oeder) Onsberg.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Arcyriaceae,,,Arcyria,obvelata,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-07-01,Ed Androusiak,PJ private collection,Galiano #9,NA,2017-07-07,Ed Andrusiak,iNat:iNat:7626272,NA,146745,PRO
Badhamia foliicola,Lister,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Badhamia,foliicola,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-01,Pam Janszen,PJ private collection,Galiano #4,NA,2017-05-27,Pam Janszen,iNat:iNat:33635443,NA,381369,PRO
Badhamia utricularis,(Bull.) Berk,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,Physaraceae,,,Badhamia,utricularis,NA,NA,NA,cosmopolitan,unlisted,NA,new 2018,observed,,,,,NA,2018-01-14,Kevin Toomer,iNat:iNat:9475067,NA,56264,PRO
Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,NA,coral slime,Protozoa,Mycetozoa,,,Ceratiomyxomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,Ceratiomyxa,fruticulosa,NA,NA,NA,cosmopolitan,unlisted,NA,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #2,NA,2017-05-23,Andrew Simon,iNat:iNat:6413749,NA,56252,PRO
Cribraria vulgaris,Schrad.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Cribrariidia,Cribrariales,,,Cribrariaceae,,,Cribraria,vulgaris,NA,NA,NA,,,NA,new 2021,observed,,,,,NA,2021-10-23,Pam Janszen,iNat:iNat:101241795,NA,382043,PRO
Dictydiaethalium plumbeum,(Schumach.) Rostaf.,NA,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,Dianemataceae,,,Dictydiaethalium,plumbeum,NA,NA,NA,cosmopolitan,unlisted,NA,new 2019,observed,2019-05-01,Pam Janszen,PJ private collection,Galiano #8,NA,2019-05-04,Pam Janszen,iNat:iNat:24652691,NA,324282,PRO
