Taxon,Matched.Taxon
Acer glabrum,Acer glabrum var. douglasii
Achillea millefolium borealis,Achillea millefolium
Achillea millefolium californica,Achillea millefolium
Adiantum aleuticum,Adiantum aleuticum var. aleuticum
Agoseris grandiflora,Agoseris grandiflora var. leptophylla
Agoseris heterophylla,Agoseris heterophylla ssp. heterophylla
Amelanchier alnifolia semiintegrifolia,Amelanchier alnifolia
Anthoxanthum aristatum,Anthoxanthum aristatum spp. aristatum
Aquilegia formosa,Aquilegia formosa var. formosa
Argentina pacifica,Argentina anserina
Artemisia campestris,Artemisia campestris ssp. pacifica
Asplenium trichomanes,Asplenium trichomanes ssp. trichomanes
Athyrium filix-femina,Athyrium filix-femina ssp. cyclosorum
Brodiaea coronaria coronaria,Brodiaea coronaria
Bromus carinatus,Bromus carinatus var. carinatus
Bromus rigidus,Bromus diandrus
Cakile edentula,Cakile edentula var. edentula
Cakile maritima,Cakile maritima ssp. maritima
Calandrinia menziesii,Calandrinia ciliata
Callitriche heterophylla,Callitriche heterophylla var. bolanderi
Calypso bulbosa,Calypso bulbosa var. occidentalis
Camassia leichtlinii,Camassia leichtlinii ssp. suksdorfii
Camassia quamash,Camassia quamash ssp. quamash
Carex aquatilis,Carex aquatilis var. dives
Carex canescens,Carex canescens ssp. canescens
Carex echinata,Carex echinata ssp. echinata
Carex echinata echinata,Carex echinata ssp. echinata
Carex inops,Carex inops ssp. inops
Carex inops inops,Carex inops ssp. inops
Carex viridula,Carex viridula ssp. viridula
Castilleja hispida hispida,Castilleja hispida
Cerastium arvense,Cerastium arvense ssp. strictum
Cerastium fontanum,Cerastium fontanum ssp. vulgare
Chimaphila umbellata,Chimaphila umbellata ssp. umbellata
Clarkia amoena,Clarkia amoena var. caurina
Clarkia amoena caurina,Clarkia amoena var. caurina
Clarkia amoena lindleyi,Clarkia amoena var. lindleyi
Claytonia exigua,Claytonia exigua ssp. exigua
Claytonia rubra,Claytonia rubra ssp. depressa
Corallorhiza maculata,Corallorhiza maculata var. occidentalis
Corallorhiza striata,Corallorhiza striata var. striata
Cornus sericea,Cornus sericea ssp. occidentalis
Corylus cornuta,Corylus cornuta ssp. californica
Crataegus monogyna,Crataegus monogyna var. monogyna
Cuscuta pacifica,Cuscuta pacifica var. pacifica
Elymus glaucus,Elymus glaucus ssp. glaucus
Equisetum hyemale,Equisetum hyemale ssp. affine
Equisetum telmateia,Equisetum telmateia ssp. braunii
Eriophyllum lanatum,Eriophyllum lanatum var. leucophyllum
Eriophyllum lanatum integrifolium,Eriophyllum lanatum var. leucophyllum
Erodium cicutarium,Erodium cicutarium ssp. cicutarium
Erythranthe guttata,Erythranthe cf guttata
Festuca microstachys,Festuca microstachys var. pauciflora
Festuca roemeri,Festuca roemeri var. roemeri
Festuca roemeri roemeri,Festuca roemeri var. roemeri
Festuca rubra,Festuca rubra ssp. pruinosa
Fragaria vesca,Fragaria vesca ssp. bracteata
Fritillaria affinis affinis,Fritillaria affinis
Geum macrophyllum macrophyllum,Geum macrophyllum
Grindelia hirsutula,Grindelia hirsutula var. hirsutula
Grindelia integrifolia,Grindelia stricta
Heuchera micrantha,Heuchera micrantha var. diversifolia
Holodiscus discolor,Holodiscus discolor var. discolor
Hordeum brachyantherum,Hordeum brachyantherum ssp. brachyantherum
Hordeum murinum,Hordeum murinum ssp. murinum
Juncus arcticus,Juncus arcticus ssp. alaskanus
Juncus bufonius,Juncus bufonius var. bufonius
Juncus effusus effusus,Juncus effusus ssp. effusus
Kalmia microphylla,Kalmia microphylla var. occidentalis
Lamium hybridum,Lamium purpureum var. hybridum
Lamium purpureum purpureum,Lamium purpureum
Lathyrus nevadensis,Lathyrus nevadensis var. pilosellus
Leontodon saxatilis,Leontodon saxatilis ssp. saxatilis
Leontodon saxatilis saxatilis,Leontodon saxatilis ssp. saxatilis
Leymus mollis,Leymus mollis ssp. mollis
Linnaea borealis,Linnaea borealis ssp. longiflora
Linnaea borealis longiflora,Linnaea borealis ssp. longiflora
Luzula multiflora multiflora,Luzula multiflora ssp. multiflora
Lysimachia europaea,Lysimachia europaea ssp. arctica
Malus domestica,Malus pumila
Pentagramma triangularis,Pentagramma triangularis ssp. triangularis
Perideridia gairdneri,Perideridia montana
Pinus contorta,Pinus contorta ssp. contorta
Pinus contorta contorta,Pinus contorta ssp. contorta
Pinus ponderosa,Pinus ponderosa var. ponderosa
Plantago maritima juncoides,Plantago maritima
Plectritis congesta,Plectritis congesta ssp. congesta
Plectritis congesta congesta,Plectritis congesta ssp. congesta
Poa bulbosa vivipara,Poa bulbosa
Prunella vulgaris,Prunella vulgaris var. vulgaris
Prunella vulgaris vulgaris,Prunella vulgaris var. vulgaris
Prunus emarginata,Prunus emarginata var. emarginata
Prunus emarginata emarginata,Prunus emarginata var. emarginata
Pseudotsuga menziesii,Pseudotsuga menziesii var. menziesii
Pseudotsuga menziesii menziesii,Pseudotsuga menziesii var. menziesii
Pteridium aquilinum,Pteridium aquilinum ssp. pubescens
Pteridium aquilinum pubescens,Pteridium aquilinum ssp. pubescens
Quercus garryana,Quercus garryana var. garryana
Quercus garryana garryana,Quercus garryana var. garryana
Ranunculus flammula,Ranunculus flammula var. reptans
Ranunculus occidentalis,Ranunculus occidentalis var. occidentalis
Ribes divaricatum,Ribes divaricatum var. divaricatum
Rosa gymnocarpa gymnocarpa,Rosa gymnocarpa
Rosa nutkana,Rosa nutkana ssp. nutkana
Rosa nutkana nutkana,Rosa nutkana ssp. nutkana
Rubus armeniacus,Rubus bifrons
Rubus spectabilis spectabilis,Rubus spectabilis
Rumex salicifolius,Rumex transitorius
Salicornia pacifica,Sarcocornia perennis
Salicornia perennis,Sarcocornia perennis
Salix lasiandra,Salix lasiandra var. lasiandra
Salix lasiandra lasiandra,Salix lasiandra var. lasiandra
Sambucus racemosa,Sambucus racemosa var. arborescens
Sambucus racemosa racemosa,Sambucus racemosa var. arborescens
Sanicula crassicaulis,Sanicula crassicaulis var. crassicaulis
Sanicula crassicaulis crassicaulis,Sanicula crassicaulis var. crassicaulis
Sedum lanceolatum,Sedum lanceolatum var. nesioticum
Sedum lanceolatum nesioticum,Sedum lanceolatum var. nesioticum
Sisyrinchium idahoense,Sisyrinchium idahoense var. idahoense
Sonchus arvensis arvensis,Sonchus arvensis ssp. arvensis
Spergularia macrotheca,Spergularia macrotheca var. macrotheca
Spiraea douglasii,Spiraea douglasii var. douglasii
Stachys chamissonis,Stachys cooleyae
Stachys chamissonis cooleyae,Stachys cooleyae
Stellaria borealis sitchana,Stellaria borealis ssp. sitchana
Symphoricarpos albus,Symphoricarpos albus var. laevigatus
Symphoricarpos albus albus,Symphoricarpos albus var. laevigatus
Symphoricarpos mollis hesperius,Symphoricarpos mollis
Taraxacum officinale,Taraxacum officinale agg.
Tiarella trifoliata,Tiarella trifoliata var. trifoliata
Tiarella trifoliata trifoliata,Tiarella trifoliata var. trifoliata
Torreyochloa pallida pauciflora,Torreyochloa pauciflora
Veronica peregrina peregrina,Veronica peregrina var. peregrina
Veronica serpyllifolia serpyllifolia,Veronica serpyllifolia
Vicia gigantea,Vicia nigricans var. gigantea
Vicia villosa,Vicia villosa var. villosa
