Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Chrysothrix xanthina,(Vain.) Kalb,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,xanthina,,,,native,unlisted,,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,iNat:26655010,This sp confirmed by Troy via TLC; Noble reconized C. candelaris + C. chlorina; could it be that our flora includes only C. granulosa + C. xanthina ?,345245,LIC
Circinaria caesiocinerea,(Nyl. ex Malbr.) Arnold,,crust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Megasporaceae,,,Circinaria,caesiocinerea,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L36906,,,,,reported as Rinodina caesiocinerea,462704,LIC
Circinaria leprosescens,"(Sandst.) A.Nordin, S.Savić & Tibell",,sunken disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Megasporaceae,,,Circinaria,leprosescens,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35912,,2020-06-10,Andrew Simon,iNat:49195439,reported as Aspicilia leprosescens,462710,LIC
Cladonia albonigra,Brodo & Ahti,,blackfoot pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,albonigra,,,,native,S4 (2010),,new 2015,observed,,,,,,2015-08-28,Andrew Simon,iNat:5288435,,194699,LIC
Cladonia bacilliformis,(Nyl.) Sarnth.,,yellowhorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,bacilliformis,,,,native,S3S4 (2019),,new 2017,observed,,,,,,2017-12-31,Andrew Simon,iNat:9329152,,217074,LIC
Cladonia carneola,(Fr.) Fr.,,crowned pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,carneola,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-10-29,Kevin Toomer,iNat:8604599,,194513,LIC
Cladonia cenotea,(Ach.) Schaer.,,powdered funnel lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,cenotea,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-12-22,Andrew Simon,iNat:4834210,,180456,LIC
Cladonia cf asahinae,J.W. Thomson,,Asahina's pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,asahinae,,,,native,S4 (2010),,new 2017,observed,,,,,,2017-02-25,Andrew Simon,iNat:5197373,,210582,LIC
Cladonia chlorophaea,(Flörke ex Sommerf.) Sprengel,,mealy pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,chlorophaea,,,,native,S5 (2018),,new 2015,observed,,,,,,2015-08-28,Andrew Simon,iNat:5288560,,1080564,LIC
Cladonia coniocraea,(Flörke) Sprengel,,common powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,Cladonia,coniocraea,,,,native,S5 (2010),,new 2015,observed,,,,,,2015-10-08,Lauren Magner & Andrew Simon,iNat:2647302,,155093,LIC
