Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Arthonia polygramma,Nyl.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthonia,polygramma,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,214289,LIC,accepted,214289,Arthonia polygramma,Arthonia polygramma
Arthonia stellaris,Krempelh.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthonia,stellaris,,,,native,SU (2020),,new 2021,observed,,,,,,2021-11-03,Randal Mindell,iNat:100262222,,214305,LIC,accepted,214305,Arthonia stellaris,Arthonia stellaris
Arthothelium spectabile,A. Massal.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthothelium,spectabile,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35930,,,,,reported as Arthonia spectabilis,214359,LIC,accepted,214359,Arthothelium spectabile,Arthothelium spectabile
Chrysothrix candelaris,(L.) J.R. Laundon,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,candelaris,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36178,,,,,see notes below,117938,LIC,accepted,117938,Chrysothrix candelaris,Chrysothrix candelaris
Chrysothrix granulosa,G. Thor,,cushioned gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,granulosa,,,,native,unlisted,,new 2016,observed,,,,,,2016-06-19,Andrew Simon,iNat:3498983,not reognized by Noble,203089,LIC,accepted,203089,Chrysothrix granulosa,Chrysothrix granulosa
Chrysothrix xanthina,(Vain.) Kalb,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,xanthina,,,,native,unlisted,,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,iNat:26655010,This sp confirmed by Troy via TLC; Noble reconized C. candelaris + C. chlorina; could it be that our flora includes only C. granulosa + C. xanthina ?,345245,LIC,accepted,345245,Chrysothrix xanthina,Chrysothrix xanthina
Alyxoria ochrocheila,(Nyl.) Ertz & Tehler ,,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Lecanographaceae,,,Alyxoria,ochrocheila,,,,native,unlisted,,new 2023,observed,,,,,,2023-05-29,Andrew Simon,iNat:164519266,,462267,LIC,accepted,462267,Alyxoria ochrocheila,Alyxoria ochrocheila
Alyxoria varia,(Pers.) Ertz & Tehler,,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Lecanographaceae,,,Alyxoria,varia,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35904,,2016-10-23,Andrew Simon,iNat:4425709,reported as Opegrapha varia,462268,LIC,accepted,462268,Alyxoria varia,Alyxoria varia
Cresponea chloroconia,(Tuck.) Egea & Torrente,,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Opegraphaceae,,,Cresponea,chloroconia,,,,native,S5 (2020),,new 2020,observed,,,,,,2020-11-10,Randal Mindell,iNat:64809961,,217756,LIC,accepted,217756,Cresponea chloroconia,Cresponea chloroconia
Chaenotheca ferruginea,(Turner ex Sm.) Mig.,,pin lichen,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Coniocybales,,,Coniocybaceae,,,Chaenotheca,ferruginea,,,,native,unlisted,,confirmed,observed,1977-07-24,Willa J. Noble,UBC,L14867,,2022-04-08,Andrew Simon,iNat:110820818,,210527,LIC,accepted,210527,Chaenotheca ferruginea,Chaenotheca ferruginea
