"","period","cell_id","record_count"
"121","1890-1940",1376,1
"122","1890-1940",1599,2
"123","1890-1940",1602,1
"124","1890-1940",1712,4
"125","1890-1940",1768,1
"126","1890-1940",1826,2
"127","1890-1940",1880,1
"128","1890-1940",2215,4
"129","1890-1940",2216,1
"130","1890-1940",3158,5
"131","1890-1940",3270,2
"132","1890-1940",3273,1
"133","1890-1940",3310,1
"134","1890-1940",3324,1
"135","1890-1940",3432,4
"136","1890-1940",3440,1
"137","1890-1940",3445,7
"138","1890-1940",3553,1
"139","1890-1940",3662,1
"140","1890-1940",3765,1
"141","1890-1940",3880,1
"142","1890-1940",3882,1
"143","1890-1940",3983,3
"144","1890-1940",3990,1
"145","1890-1940",3996,1
"146","1890-1940",4049,1
"147","1890-1940",4051,1
"148","1890-1940",4060,5
"149","1890-1940",4161,6
"150","1890-1940",4163,1
"151","1890-1940",4168,2
"152","1890-1940",4279,1
"153","1890-1940",4280,1
"154","1890-1940",4281,26
"155","1890-1940",4387,1
"156","1890-1940",4392,1
"157","1890-1950",368,1
"158","1890-1950",369,1
"159","1890-1950",479,1
"160","1890-1950",480,52
"161","1890-1950",482,1
"162","1890-1950",488,17
"163","1890-1950",489,17
"164","1890-1950",542,26
"165","1890-1950",545,2
"166","1890-1950",546,101
"167","1890-1950",547,1
"168","1890-1950",654,2
"169","1890-1950",657,55
"170","1890-1950",658,1
"171","1890-1950",661,11
"172","1890-1950",774,7
"173","1890-1950",871,1
"174","1890-1950",882,1
"175","1890-1950",941,1
"176","1890-1950",1214,1
"177","1890-1950",1219,11
"178","1890-1950",1264,3
"179","1890-1950",1366,1
"180","1890-1950",1376,2
"181","1890-1950",1599,2
"182","1890-1950",1602,1
"183","1890-1950",1712,4
"184","1890-1950",1768,1
"185","1890-1950",1826,3
"186","1890-1950",1880,1
"187","1890-1950",1998,1
"188","1890-1950",2215,4
"189","1890-1950",2216,1
"190","1890-1950",2549,1
"191","1890-1950",2605,1
"192","1890-1950",3158,5
"193","1890-1950",3270,2
"194","1890-1950",3273,1
"195","1890-1950",3310,1
"196","1890-1950",3311,1
"197","1890-1950",3324,1
"198","1890-1950",3432,4
"199","1890-1950",3440,1
"200","1890-1950",3445,7
"201","1890-1950",3553,1
"202","1890-1950",3662,1
"203","1890-1950",3765,1
"204","1890-1950",3880,1
"205","1890-1950",3882,1
"206","1890-1950",3889,1
"207","1890-1950",3983,3
"208","1890-1950",3990,1
"209","1890-1950",3992,1
"210","1890-1950",3996,1
"211","1890-1950",4049,1
"212","1890-1950",4051,1
"213","1890-1950",4055,1
"214","1890-1950",4056,3
"215","1890-1950",4060,6
"216","1890-1950",4111,1
"217","1890-1950",4161,6
"218","1890-1950",4163,1
"219","1890-1950",4168,17
"220","1890-1950",4279,1
"221","1890-1950",4280,1
"222","1890-1950",4281,28
"223","1890-1950",4387,3
"224","1890-1950",4392,3
"225","1890-1960",368,1
"226","1890-1960",369,1
"227","1890-1960",479,1
