"","protectedAreaType","record_count"
"1","A - Park",18038
"2","Conservancy",31
"3","Ecological Reserve",192
"4","Migratory Bird Sanctuary",1
"5","Old Growth Management Areas (Mapped Legal)",614
"6","Other Effective Area-Based Conservation Measure",15
"7","Privately Owned Conservation Area",317
"8","Protected Area",16
"9","Sea To Sky Wildland Zones",134
"10","Wildlife Habitat Areas",15
"11","Wildlife Management Area",1751
