"scientificName","initialAssessment","rationale","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","conservationPriority","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastCollected","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode","earliestYear","YearsSinceLastSeen","conservationRank"
"Antennaria alpina","yes","","(L.) Gaertn.","","alpine pussytoes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Antennaria","Antennaria alpina",NA,"","","native","S5 (2015)",0,NA,"1964-09-20","Vladimir J. Krajina, R.C. Brooke","UBC","V108846",NA,"1966-08-01","1966","B. Fraser","UBC","V158269",NA,2,"reported","unobserved","UBC:  Antennaria pallida",154163,"VAS",1964,59,0
"Ceanothus velutinus var. velutinus","yes","may be marginal","Douglas ex Hook.","","snowbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Rosales",NA,NA,"Rhamnaceae","",NA,"Ceanothus","Ceanothus velutinus",NA,"","velutinus","native","S5 (2020)",0,NA,"1978-06-07","Brenda Storey","RBCM","V110936",NA,"1978-06-07","1978","Brenda Storey","RBCM","V110936",NA,1,"reported","unobserved","RBCM:  Pilchuk Creek, C. velutinus var. laevigatus",64043,"VAS",1978,47,0
"Draba lonchocarpa","yes","","Rydb.","","spear-fruited draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Draba","Draba lonchocarpa",NA,"","","native","S5 (2019)",0,NA,"1965-07-01","Bruce Fraser","UBC","V158275",NA,"1965-07-01","1965","Bruce Fraser","UBC","V158275",NA,1,"reported","unobserved","UBC:  Garibaldi PP (location withheld)",76701,"VAS",1965,60,0
"Viola howellii","yes","","A.Gray","","Howell's violet","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Malpighiales",NA,NA,"Violaceae","",NA,"Viola","Viola howellii",NA,"","","native","S1S2 (2019)",1,NA,"1974-05-29","Charles E. Beil","UBC","V176114",NA,"1974-05-29","1974","Charles E. Beil","UBC","V176114",NA,1,"reported","unobserved","",79510,"VAS",1974,51,10
"Micranthes porsildiana","yes","","(D. Don) Small","","heartleaf saxifrage","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Saxifragales",NA,NA,"Saxifragaceae","",NA,"Micranthes","Micranthes porsildiana",NA,"","","native","S4S5 (2005",0,NA,"1960-08-03","E.B. Peterson","UBC","V97788",NA,"1960-08-03","1960","E.B. Peterson","UBC","V97788",NA,1,"reported","unobserved","UBC: M. nelsoniana var. porsildiana",772262,"VAS",1960,65,0
"Potentilla uniflora","yes","","Ledeb.","","one-flower cinquefoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Rosales",NA,NA,"Rosaceae","Rosoideae",NA,"Potentilla","Potentilla uniflora",NA,"","","native","",0,NA,"1916-08-09","F. Perry","UBC","V33112",NA,"1916-08-09","1916","F. Perry","UBC","V33112",NA,1,"reported","unobserved","recognized by I.T.I.S. and NatureServe Explorer",167387,"VAS",1916,109,0
"Cherleria obtusiloba","yes","","(Rydb.) A. J. Moore & Dillenb.","","alpine sandwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","",NA,"Cherleria","Cherleria obtusiloba",NA,"","","native","S5? (2015)",0,NA,"1912-08-01","F. Perry","UBC","V7623",NA,"1912-08-01","1912","F. Perry","UBC","V7623",NA,1,"reported","unobserved","UBC:  Garibaldi high ridges",836821,"VAS",1912,113,0
"Rorippa curvipes","yes","","Greene","","blunt-leaved yellowcress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Rorippa","Rorippa curvipes",NA,"","","native","S5 (2019)",0,NA,"1944-08-25","Hardy, G.A.","DAO","14699",NA,"1944-08-25","1944","Hardy, G.A.","DAO","14699",NA,1,"reported","unobserved","",78876,"VAS",1944,81,0
"Bistorta vivipara","yes","","(L.) Delarbre","","alpine bistort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Polygonaceae","",NA,"Bistorta","Bistorta vivipara",NA,"","","native","S5 (2015)",0,NA,"1913-08-03","W. Taylor","UBC","V47384",NA,"1917-08-10","1917","John Davidson","UBC","V35634",NA,2,"reported","unobserved","",130545,"VAS",1913,108,0
"Draba albertina","yes","","Greene","","slender draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Draba","Draba albertina",NA,"","","native","S5 (2019)",0,NA,"1912-08-15","John Davidson","UBC","V64031",NA,"1912-08-15","1912","John Davidson","UBC","V64031",NA,1,"reported","unobserved","UBC: Helm Lake, Garibaldi  PP",76687,"VAS",1912,113,0
