"scientificName","initialAssessment","rationale","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","conservationPriority","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastCollected","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode","earliestYear","YearsSinceLastSeen","conservationRank"
"Microsteris gracilis","yes","","(hook.) greene","","slender phlox","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales",NA,NA,"Polemoniaceae","",NA,"Microsteris","Microsteris gracilis",NA,"","","native","S5",0,NA,"1990-04-29","Robert Ogilvie","RBCM","V161198",NA,"2020-07-01","1990","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:346",NA,2,"reported","unobserved","",61210,"VAS",1990,35,0
"Antennaria neglecta","yes","","Greene","","field pussytoes","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Antennaria","Antennaria neglecta",NA,"","","native","S4 (2018)",0,NA,"1986-05-29","William Merilees","RBCM","V155110",NA,"2020-07-01","1986","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:32",NA,2,"reported","unobserved","RBCM:  Squamish Evans Lake",127005,"VAS",1986,39,0
"Ranunculus aquatilis","yes","","L.","","lesser wintergreen","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ranunculales",NA,NA,"Ranunculaceae","Ranunculoideae",NA,"Ranunculus","Ranunculus aquatilis",NA,"","","native","S5 (2000)",0,NA,"1982-08-02","A.A. Rose","UBC","V176402",NA,"2020-07-01","1982","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:453",NA,2,"reported","unobserved","UBC:  NW side Squamish River Road at mile 15; re status, do not know which variety this is",78817,"VAS",1982,43,0
"Trifolium microdon","yes","","H. & A.","","thimble clover","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Fabales",NA,NA,"Fabaceae","Faboideae",NA,"Trifolium","Trifolium microdon",NA,"","","native","S3S4",0,NA,"1977-06-05","Adolf Ceska; Oldriska Ceska","RBCM","V155732",NA,"2020-07-01","1977","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:551",NA,2,"reported","unobserved","",57079,"VAS",1977,48,0
"Erigeron acris","yes","","L.","","bitter fleabane","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Erigeron","Erigeron acris",NA,"","","native","S5 (2019)",0,NA,"1975-08-04","Vladimir J. Krajina","UBC","V14781",NA,"2020-07-01","1975","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:218",NA,2,"reported","unobserved","",143666,"VAS",1975,50,0
"Claytonia exigua ssp. exigua","yes","","Torr. & A.Gray","","serpentine springbeauty","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Montiaceae","",NA,"Claytonia","Claytonia exigua",NA,"exigua","","native","S4 (2020)",0,NA,"1971-04-08","Adolf Ceska; Oldriska Ceska","RBCM","V157602",NA,"2020-07-01","1971","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:151",NA,2,"reported","unobserved","",57234,"VAS",1971,54,0
"Pyrola asarifolia ssp. asarifolia","yes","","Michx.","","liverleaf wintergreen","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales",NA,NA,"Ericaceae","Monotropoideae",NA,"Pyrola","Pyrola asarifolia",NA,"asarifolia","","native","S5 (2000)",0,NA,"1968-06-15","V. Bednar","UBC","V134555",NA,"2020-07-01","1968","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:448",NA,2,"reported","unobserved","UBC:  road to Garibaldi Black Tusk trailhead",60370,"VAS",1968,57,0
"Cerastium nutans","yes","","Raf.","","common chickweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae",NA,"Cerastium","Cerastium nutans",NA,"","","native","S4 (2015)",0,NA,"1967-06-04","P. Warrington","University of Lethbridge","",NA,"2020-07-01","1967","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:142",NA,2,"reported","unobserved","",1818436,"VAS",1967,58,0
"Woodsia oregana ssp. oregana","yes","","D.C. Eaton","","western cliff fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Polypodiidae",NA,"Polypodiales",NA,NA,"Woodsiaceae","",NA,"Woodsia","Woodsia oregana",NA,"oregana","","native","S5 (2019)",0,NA,"1967-08-21","V. Bednar, B. Fraser, Satoru Kojima, Vladimir J. Krajina","UBC","V161030",NA,"2020-07-01","1967","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:585",NA,2,"reported","unobserved","",79532,"VAS",1967,58,0
"Draba praealta","yes","","Greene","","tall draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Draba","Draba praealta",NA,"","","native","S5? (2019)",0,NA,"1967-06-24","Pat Warrington","University of Lethbridge","",NA,"2020-07-01","1967","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:186",NA,2,"reported","unobserved","U Lethbridge: The Barrier, Garibaldi PP",76707,"VAS",1967,58,0
"Osmorhiza depauperata","yes","","Phil.","","blunt-fruited sweet-cicely","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Apiales",NA,NA,"Apiaceae","Apioideae",NA,"Osmorhiza","Osmorhiza depauperata",NA,"","","native","S5 (2015)",0,NA,"1966-07-29","B. Fraser","UBC","V161002",NA,"2020-07-01","1966","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:370",NA,2,"reported","unobserved","UBC:  Garibaldi PP Sphinx Gl foreland",78294,"VAS",1966,59,0
"Lepidium virginicum ssp. menziesii","yes","","L.","(DC.) Thell.","tall pepper-grass","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Lepidium","Lepidium virginicum",NA,"menziesii","","native","S5 (2019)",0,NA,"1966-07-29","A. S. Harrison","CPNWH","2509132",NA,"2020-07-01","1966","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:299",NA,5,"reported","unobserved","",79971,"VAS",1966,59,0
"Stellaria borealis ssp. borealis","yes","","Bigelow","","boreal starwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae",NA,"Stellaria","Stellaria borealis",NA,"borealis","","native","S5 (2000)",0,NA,"1965-07-06","B. Fraser","UBC","V158305",NA,"2020-07-01","1965","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:525",NA,2,"reported","unobserved","UBC:  Garibaldi PP Sentinel Gl foreland",238712,"VAS",1965,60,0
"Agoseris glauca","yes","","(Pursh) Raf.","","short-beaked agoseris","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Cichorioideae",NA,"Agoseris","Agoseris glauca",NA,"","","native","S5",0,NA,"1964-09-20","Vladimir J. Krajina, R.C. Brooke","UBC","V108844",NA,"2020-07-01","1964","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:13",NA,3,"reported","unobserved","",75303,"VAS",1964,61,0
"Castilleja elmeri","yes","","Fernald","","elmer indian-paintbrush","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales",NA,NA,"Orobanchaceae","",NA,"Castilleja","Castilleja elmeri",NA,"","","native","S4 (2015)",0,NA,"1961-08-19","E.B. Petersen","UBC","V97862",NA,"2020-07-01","1961","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:132",NA,2,"reported","unobserved","UBC:  Garibaldi PP Little Diamond Head. see https://www.inaturalist.org/observations/29204903 Mark Egger wrote  """"This looks like the North Cascades form of C. elmeri, which does extend into BC. Did you consider that species?""",147018,"VAS",1961,64,0
"Arnica gracilis","yes","","Rydb.","","slender leopardbane","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Arnica","Arnica gracilis",NA,"","","native","S5 (2000)",0,NA,"1961-08-19","E.B. Peterson","UBC","V97820",NA,"2020-07-01","1961","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:45",NA,2,"reported","unobserved","",158686,"VAS",1961,64,0
"Turritis glabra","yes","","L.","","tower mustard","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Turritis","Turritis glabra",NA,"","","native","S5 (2015)",0,NA,"1961-05-25","Beamish, K.I. & Vrugtman, F.","DAO","16857",NA,"2020-07-01","1961","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:564",NA,2,"reported","unobserved","UBC:  1 mile S of Deeks Cr. Overlooking #99",79460,"VAS",1961,64,0
"Botrypus virginianus","yes","","(L.) Michx.","","rattlesnake fern","Plantae","Tracheophyta","",NA,"Polypodiopsida","Ophioglossidae",NA,"Ophioglossales",NA,NA,"Ophioglossaceae","",NA,"Botrypus","Botrypus virginianus",NA,"","","native","S4S5 (2015",0,NA,"1960-08-15","L. Orloci","UBC","V90717",NA,"2020-07-01","1960","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:70",NA,3,"reported","unobserved","",75855,"VAS",1960,65,0
"Erigeron glabellus var. pubescens","yes","","Nutt.","Hook.","smooth daisy","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Asteroideae",NA,"Erigeron","Erigeron glabellus",NA,"","pubescens","native","S5 (2019)",0,NA,"1956-08-01","Vernon C. Brink","UBC","V55448",NA,"2020-07-01","1956","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:221",NA,2,"reported","unobserved","",240548,"VAS",1956,69,0
"Gentiana glauca","yes","","Pallas","","glaucous gentian","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Gentianales",NA,NA,"Gentianaceae","",NA,"Gentiana","Gentiana glauca",NA,"","","native","S5 (2019",0,NA,"1951-08-22","W. Cottle","UBC","V27332",NA,"2020-07-01","1951","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:251",NA,2,"reported","unobserved","",144087,"VAS",1951,74,0
"Pilosella tristis","yes","","(Willd. ex Spreng.) F.W.Schultz & Sch.Bip.","","alpine hawkweed","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Cichorioideae",NA,"Pilosella","Pilosella tristis",NA,"","","native","S5 (2019)",0,NA,"1951-07-30","M.R. Jackson","UBC","V47529",NA,"2020-07-01","1951","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:396",NA,2,"reported","unobserved","Reported as: Hieracium triste",780652,"VAS",1951,74,0
"Micranthes rufidula","yes","","Small","","rustyhair saxifrage","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Saxifragales",NA,NA,"Saxifragaceae","",NA,"Micranthes","Micranthes rufidula",NA,"","","native","S4S5 (2015)",0,NA,"1942-07-12","Vernon C. Brink","UBC","V55338",NA,"2020-07-01","1942","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:344",NA,2,"reported","unobserved","UBC:  Sky Pilot Mt.",357949,"VAS",1942,83,0
"Melampyrum lineare","yes","","Lam.","","American cow-wheat","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Lamiales",NA,NA,"Orobanchaceae","",NA,"Melampyrum","Melampyrum lineare",NA,"","","native","S5 (2015)",0,NA,"1942-08-18","John W. Eastham","UBC","V29830",NA,"2020-07-01","1942","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:334",NA,3,"reported","unobserved","UBC:  Garibaldi Alpine Lodge",62367,"VAS",1942,83,0
"Cassiope tetragona","yes","","(L.) D. Don","","Arctic bell-heather","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales",NA,NA,"Ericaceae","Cassiopoideae",NA,"Cassiope","Cassiope tetragona",NA,"","","native","S4",0,NA,"1927-07-01","William Newcombe","RBCM","V038611B",NA,"2020-07-01","1927","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:131",NA,2,"reported","unobserved","RBCM:  Garibaldi PP",153373,"VAS",1927,98,0
"Stellaria crassifolia","yes","","Ehrh.","","fleshy stitchwort","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Caryophyllales",NA,NA,"Caryophyllaceae","Alsinoideae",NA,"Stellaria","Stellaria crassifolia",NA,"","","native","S4S5 (2015)",0,NA,"1926-08-01","George Hardy","RBCM","V008088A",NA,"2020-07-01","1926","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:527",NA,3,"reported","unobserved","UBC:  Garibaldi PP Garibaldi Lake",169334,"VAS",1926,99,0
"Boechera calderi","yes","","(G. A. Mulligan) Windham & Al-Shehbaz","","Calder's suncress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Boechera","Boechera calderi",NA,"","","native","S5 (2019)",0,NA,"1926-10-08","George Hardy","RBCM","V008032",NA,"2020-07-01","1926","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:63",NA,5,"reported","unobserved","",75780,"VAS",1926,99,0
"Arabis eschscholtziana","yes","","Andrz.","","Eschscholtz's rockcress","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Arabis","Arabis eschscholtziana",NA,"","","native","S5 (2019)",0,NA,"1925-05-03","George Hardy","RBCM","V007549",NA,"2020-07-01","1925","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:37",NA,2,"reported","unobserved","",75494,"VAS",1925,100,0
"Lappula occidentalis","yes","","(Hooker) Abrams","","bog bird's-foot lotus","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Boraginales",NA,NA,"Boraginaceae","Cynoglossoideae",NA,"Lappula","Lappula occidentalis",NA,"","","native","S5 (2000)",0,NA,"1916-07-26","W. Taylor","UBC","V6794",NA,"2020-07-01","1916","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:296",NA,2,"reported","unobserved","Likely misreported as Lappula diploloma by W. Taylor (UBC: V6794)",148438,"VAS",1916,109,0
"Isoetes occidentalis","yes","","Henderson","","western quillwort","Plantae","Tracheophyta","",NA,"Lycopodiopsida","",NA,"Isoetales",NA,NA,"","",NA,"Isoetes","Isoetes occidentalis",NA,"","","native","S5 (2019)",0,NA,"1916-08-30","Macoun, James M.","CMN","CAN 5531",NA,"2020-07-01","1916","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:279",NA,4,"reported","unobserved","",77514,"VAS",1916,109,0
"Saxifraga cespitosa","yes","","L.","","tufted saxifrage","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Saxifragales",NA,NA,"Saxifragaceae","",NA,"Saxifraga","Saxifraga cespitosa",NA,"","","native","S4 (2015)",0,NA,"1916-08-06","F. Perry","UBC","V138424",NA,"2020-07-01","1916","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:494",NA,5,"reported","unobserved","UBC:  Garibaldi PP Sentinel Gl foreland",78985,"VAS",1916,109,0
"Epilobium clavatum","yes","","Trelease","","club-fruited willowherb","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Myrtales",NA,NA,"Onagraceae","",NA,"Epilobium","Epilobium clavatum",NA,"","","native","S5 (2019)",0,NA,"1914-08-01","F. Perry","UBC","V26238",NA,"2020-07-01","1914","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:205",NA,2,"reported","unobserved","",76828,"VAS",1914,111,0
"Taraxacum alaskanum","yes","","Rydb.","","Alaska dandelion","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Asterales",NA,NA,"Asteraceae","Cichorioideae",NA,"Taraxacum","Taraxacum alaskanum",NA,"","","native","S5 (2012)",0,NA,"1913-08-01","John Davidson","UBC","V44985",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:537",NA,2,"reported","unobserved","UBC:  Mt. Garibaldi",556104,"VAS",1913,112,0
"Potentilla villosa","yes","","Pall. ex Pursh","","northern cinquefoil","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Rosales",NA,NA,"Rosaceae","Rosoideae",NA,"Potentilla","Potentilla villosa",NA,"","","native","S5 (2000)",0,NA,"1913-07-29","John Davidson","CPNWH","2543911",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:438",NA,3,"reported","unobserved","UBC:  Garibaldi PP Polemonium Ridge",167389,"VAS",1913,112,0
"Draba incerta","yes","","Pays.","","yellowstone draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Draba","Draba incerta",NA,"","","native","S5 (2019)",0,NA,"1913-07-30","W. Taylor","UBC","V12841",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:185",NA,3,"reported","unobserved","",162030,"VAS",1913,112,0
"Anemone parviflora","yes","","Michx.","","small-flower anemone","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ranunculales",NA,NA,"Ranunculaceae","Ranunculoideae",NA,"Anemone","Anemone parviflora",NA,"","","native","S5",0,NA,"1913-07-01","F. Perry","UBC","V34011",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:28",NA,4,"reported","unobserved","",158365,"VAS",1913,112,0
"Draba stenoloba","yes","","Ledeb.","","Alaska draba","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Brassicales",NA,NA,"Brassicaceae","",NA,"Draba","Draba stenoloba",NA,"","","native","S5 (2019)",0,NA,"1913-07-30","John Davidson","UBC","V12795",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:187",NA,4,"reported","unobserved","UBC:  Sphinx Gl. Forelands, Garibaldi PP",162069,"VAS",1913,112,0
"Polemonium viscosum","yes","","Nutt.","","sky pilot","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida","",NA,"Ericales",NA,NA,"Polemoniaceae","",NA,"Polemonium","Polemonium viscosum",NA,"","","native","S3S4 (2001)",0,NA,"1913-08-03","W. Taylor","UBC","V194698",NA,"2020-07-01","1913","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","LGL2020:418",NA,6,"reported","unobserved","UBC:  Garibaldi PP Polemonium Ridge",126220,"VAS",1913,112,0
