"","protectedAreaType","record_count"
"1","A - Park",4933
"2","Conservancy",7
"3","Ecological Reserve",90
"4","Migratory Bird Sanctuary",1
"5","Old Growth Management Areas (Mapped Legal)",159
"6","Other Effective Area-Based Conservation Measure",6
"7","Privately Owned Conservation Area",91
"8","Protected Area",2
"9","Sea To Sky Wildland Zones",15
"10","Wildlife Habitat Areas",1
"11","Wildlife Management Area",324
