Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Agrobacterium radiobacter,,,gram-negative bacillus,Bacteria,Proteobacteria,,,Alphaproteobacteria,,,Rhizobiales,,,Rhizobiaceae,,,Agrobacterium,radiobacter,,,,,,,new 2023,observed,,,,,,2023-04-24,Kevin Toomer,iNat:156494713,,975247,BAC,accepted,975247,Agrobacterium radiobacter,Agrobacterium radiobacter,Agrobacterium radiobacter
Frankia sp.,,,actinobacterium,Bacteria,Actinobacteria,,,,,,Actinomycetales,,,Frankiaceae,,,Frankia,,,,,,,,new 2017,observed,,,,,,2017-10-04,Marty Moser,iNat:8352492,,334078,BAC,accepted,334078,Frankia,Frankia,Frankia
Nostoc commune,"Vaucher ex Bornet & Flahault, 1888",,star jelly,Bacteria,Cyanobacteria,,,Cyanophyceae,,,Nostocales,,,Nostocaceae,,,Nostoc,commune,,,,,,,new 2017,observed,,,,,,2017-04-01,Andrew Simon,iNat:5537495,,319815,BAC,accepted,319815,Nostoc commune,Nostoc commune,Nostoc commune
Oscillatoria sp.,,,cyanobacterium,Bacteria,Cyanobacteria,,,Cyanophyceae,,,Oscillatoriales,,,Oscillatoriaceae,,,Oscillatoria,,,,,,,,new 2016,observed,,,,,,2006-01-13,Mark Webber,iNat:4873153,,324242,BAC,accepted,324242,Oscillatoria,Oscillatoria,Oscillatoria
Spirulina sp.,,,cyanobacterium,Bacteria,Cyanobacteria,,,Cyanophyceae,,,Spirulinales,,,Spirulinaceae,,,Spirulina,,,,,,,,new 2016,observed,,,,,,2003-07-20,Mark Webber,iNat:4849008,,311339,BAC,accepted,311339,Spirulina,Spirulina,Spirulina
