"Taxon","Curator.Decision","Curator.Notes"
"Harpaphe haydeniana haydeniana","SYNONYM","Syn. Harpaphe haydeniana"
"Harmonia axyridis succinea","SYNONYM","Syn. Harmonia axyridis"
"Callibaetis ferrugineus","DELETE","unresolved infrataxon"
"Lygaeus kalmii kalmii","SYNONYM","Syn. Lygaeus kalmii"
"Bombus flavidus flavidus","SYNONYM","Syn. Bombus flavidus"
"Bombus vancouverensis","SYNONYM","Syn. Bombus vancouverensis vancouverensis"
"Callophrys gryneus","SYNONYM","Syn. Callophrys gryneus plicataria"
"Anthocharis julia","SYNONYM","Syn. Anthocharis julia flora"
