"Taxon","ID","Curator.Decision","Curator.Notes"
"Acalyptratae","48088","DELETE","higher"
"Acari","52788","DELETE","higher"
"Acariformes","129763","DELETE","higher"
"Aciliini","520326","DELETE","higher"
"Acleris","124620","DELETE","genus"
"Acrobasis","63754","DELETE","genus"
"Aedes","62989","DELETE","genus"
"Aeshna","52520","DELETE","genus"
"Aeshnidae","51469","DELETE","higher"
"Agapostemon","606634","DELETE","higher"
"Agelenidae","47345","DELETE","higher"
"Ageleninae","1251448","DELETE","higher"
"Ageniellini","465899","DELETE","higher"
"Agonopterix","126363","DELETE","genus"
"Agriphila","142781","DELETE","genus"
"Agromyza","336012","DELETE","genus"
"Agromyzidae","48086","DELETE","higher"
"Agrotis","61739","DELETE","genus"
"Agulla","60053","DELETE","genus"
"Aleocharinae","203242","DELETE","higher"
"Aleyrodidae","154784","DELETE","higher"
"Alopecosa","143471","DELETE","genus"
"Altica","173228","DELETE","genus"
"Amara","130434","DELETE","genus"
"Ammophila","83951","DELETE","genus"
"Ampedus","86405","DELETE","genus"
"Anaspidinae","788765","DELETE","higher"
"Anaspis","173182","DELETE","genus"
"Anax","51468","DELETE","genus"
"Ancistrocerus","127788","DELETE","genus"
"Andrena","571358","DELETE","higher"
"Anisodactylus","121337","DELETE","genus"
"Anisolabis","127195","DELETE","genus"
"Anisoptera","47927","DELETE","higher"
"Anthaxia","173113","DELETE","genus"
"Anthomyiidae","49996","DELETE","higher"
"Anthophora","57682","DELETE","genus"
"Anthophorini","203135","DELETE","higher"
"Anyphaena","153567","DELETE","genus"
"Anystidae","245050","DELETE","higher"
"Apamea","81987","DELETE","genus"
"Aphididae","52381","DELETE","higher"
"Aphidinae","194066","DELETE","higher"
"Aphis","55215","DELETE","genus"
"Aphodiinae","51977","DELETE","higher"
"Aphrophoridae","56195","DELETE","higher"
"Aporus","250736","DELETE","genus"
"Arachnida","47119","DELETE","higher"
"Aradus","322578","DELETE","genus"
"Araneae","47118","DELETE","higher"
"Araneidae","47535","DELETE","higher"
"Araneinae","417879","DELETE","higher"
"Araneoidea","319384","DELETE","higher"
"Araneomorphae","120474","DELETE","higher"
"Araneus","52629","DELETE","genus"
"Araniella","81985","DELETE","genus"
"Archaeognatha","461443","DELETE","higher"
"Asemini","361872","DELETE","higher"
"Asilidae","47982","DELETE","higher"
"Asilinae","326683","DELETE","higher"
"Astatinae","363933","DELETE","higher"
"Auchenorrhyncha","125816","DELETE","higher"
"Aulacidae","145378","DELETE","higher"
"Autographa","55652","DELETE","genus"
"Baetidae","48009","DELETE","higher"
"Banasa","119736","DELETE","genus"
"Bassaniana","250040","DELETE","genus"
"Bdellidae","120955","DELETE","higher"
"Belytinae","373338","DELETE","higher"
"Berytidae","57804","DELETE","higher"
"Bibio","56098","DELETE","genus"
"Blapylis","326234","DELETE","higher"
"Blastobasidae","173093","DELETE","higher"
"Blastobasinae","336937","DELETE","higher"
"Bombus","52775","DELETE","genus"
"Bombycoidea","47214","DELETE","higher"
"Bombylius","51559","DELETE","genus"
"Brachycera","48091","DELETE","higher"
"Brachypalpus","344684","DELETE","genus"
"Braconidae","63187","DELETE","higher"
"Brochymena","127347","DELETE","genus"
"Bruchinae","336037","DELETE","higher"
"Buprestidae","54964","DELETE","higher"
"Caliroa","372177","DELETE","genus"
"Callibaetis","174572","DELETE","genus"
"Calliphora","70152","DELETE","genus"
"Calliphoridae","61860","DELETE","higher"
"Calliphorinae","130397","DELETE","higher"
"Callobius","49551","DELETE","genus"
"Calyptratae","342767","DELETE","higher"
"Campodeidae","56214","DELETE","higher"
"Camponotus","62781","DELETE","genus"
"Campyloneura","320773","DELETE","genus"
"Carabidae","49567","DELETE","higher"
"Carpocorini","194651","DELETE","higher"
"Cecidomyiidae","55699","DELETE","higher"
"Celastrina","52485","DELETE","genus"
"Centrodera","82052","DELETE","genus"
"Cerambycidae","47961","DELETE","higher"
"Ceratopogonidae","69803","DELETE","higher"
"Cercopoidea","56194","DELETE","higher"
"Chalcophora","146918","DELETE","genus"
"Cheliferidae","245019","DELETE","higher"
"Cheliferoidea","172435","DELETE","higher"
"Chernetidae","172612","DELETE","higher"
