family,X
Acoraceae,NA
Adoxaceae,NA
Aizoaceae,NA
Alismataceae,NA
Amaranthaceae,NA
Amaryllidaceae,NA
Anacardiaceae,NA
Apiaceae,NA
Apocynaceae,NA
Aquifoliaceae,NA
Araceae,NA
Araliaceae,NA
Aristolochiaceae,NA
Asparagaceae,NA
Asphodelaceae,NA
Aspleniaceae,NA
Asteraceae,NA
Athyriaceae,NA
Balsaminaceae,NA
Berberidaceae,NA
Betulaceae,NA
Bignoniaceae,NA
Blechnaceae,NA
Boraginaceae,NA
Brassicaceae,NA
Butomaceae,NA
Cabombaceae,NA
Cactaceae,NA
Campanulaceae,NA
Cannabaceae,NA
Caprifoliaceae,NA
Caryophyllaceae,NA
Celastraceae,NA
Ceratophyllaceae,NA
Cleomaceae,NA
Commelinaceae,NA
Convolvulaceae,NA
Cornaceae,NA
Crassulaceae,NA
Crossosomataceae,NA
Cucurbitaceae,NA
Cupressaceae,NA
Cyperaceae,NA
Cystopteridaceae,NA
Dennstaedtiaceae,NA
Dipsacaceae,NA
Droseraceae,NA
Dryopteridaceae,NA
Ehretiaceae,NA
Elaeagnaceae,NA
Elatinaceae,NA
Equisetaceae,NA
Ericaceae,NA
Escalloniaceae,NA
Euphorbiaceae,NA
Fabaceae,NA
Fagaceae,NA
Frankeniaceae,NA
Garryaceae,NA
Gentianaceae,NA
Geraniaceae,NA
Grossulariaceae,NA
Haloragaceae,NA
Heliotropiaceae,NA
Hydrangeaceae,NA
Hydrocharitaceae,NA
Hydrophyllaceae,NA
Hymenophyllaceae,NA
Hypericaceae,NA
Iridaceae,NA
Isoetaceae,NA
Juglandaceae,NA
Juncaceae,NA
Juncaginaceae,NA
Lamiaceae,NA
Lauraceae,NA
Lentibulariaceae,NA
Liliaceae,NA
Limnanthaceae,NA
Linaceae,NA
Linderniaceae,NA
Linnaeaceae,NA
Loasaceae,NA
Lycopodiaceae,NA
Lythraceae,NA
Malvaceae,NA
Marsileaceae,NA
Mazaceae,NA
Melanthiaceae,NA
Menyanthaceae,NA
Molluginaceae,NA
Montiaceae,NA
Moraceae,NA
Myricaceae,NA
Namaceae,NA
Nitrariaceae,NA
Nyctaginaceae,NA
Nymphaeaceae,NA
Oleaceae,NA
Onagraceae,NA
Onocleaceae,NA
Ophioglossaceae,NA
Orchidaceae,NA
Orobanchaceae,NA
Osmundaceae,NA
Oxalidaceae,NA
Paeoniaceae,NA
Papaveraceae,NA
Paulowniaceae,NA
Penthoraceae,NA
Phrymaceae,NA
Phytolaccaceae,NA
Pinaceae,NA
Plantaginaceae,NA
Plumbaginaceae,NA
Poaceae,NA
Polemoniaceae,NA
Polygalaceae,NA
Polygonaceae,NA
Polypodiaceae,NA
Pontederiaceae,NA
Portulacaceae,NA
Potamogetonaceae,NA
Primulaceae,NA
Pteridaceae,NA
Ranunculaceae,NA
Resedaceae,NA
Rhamnaceae,NA
Rosaceae,NA
Rubiaceae,NA
Ruppiaceae,NA
Salicaceae,NA
Salviniaceae,NA
Santalaceae,NA
Sapindaceae,NA
Sarcobataceae,NA
Sarraceniaceae,NA
Saururaceae,NA
Saxifragaceae,NA
Scheuchzeriaceae,NA
Scrophulariaceae,NA
Selaginellaceae,NA
Simaroubaceae,NA
Smilacaceae,NA
Solanaceae,NA
Tamaricaceae,NA
Taxaceae,NA
Thelypteridaceae,NA
Thymelaeaceae,NA
Tofieldiaceae,NA
Typhaceae,NA
Ulmaceae,NA
Urticaceae,NA
Valerianaceae,NA
Verbenaceae,NA
Violaceae,NA
Vitaceae,NA
Woodsiaceae,NA
Zosteraceae,NA
Zygophyllaceae,NA
