"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","taxonName","infraTaxonName","Name.Status","Referred.iNaturalist.Id","Referred.iNaturalist.Name","selectedName"
"11",1849171885,"a92de2e1-647c-43f2-a8b7-ab1c1a6453dd","59824f60-ff6d-11e2-9beb-001c23ce290f","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis alba","","SPECIES","Agrostis alba Kunze, 1846","Agrostis alba","auct. non L.","CA","Garibaldi Park","British Columbia","PRESENT",NA,"3124bdd8-b38c-46f0-b354-5e1d2c2cd9d2",49.766667,-123.05,NA,NA,1152,NA,NA,NA,"1960-08-08T00:00:00",8,8,1960,8376843,8376843,"PRESERVED_SPECIMEN","USCH","MAIN","USCH0065388","","P., E.","","CC0_1_0","","P., E.","","","2022-12-08T07:50:59.509Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis alba","","unaccepted",75314,"Agrostis gigantea","Agrostis gigantea"
"12",1846545492,"3c59bd42-7bfd-421b-8da4-275780390e4c","09444826-1058-4627-aa8c-1ba930d05abf","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis canina","","SPECIES","Agrostis tenuis T.Bastard ex Roem. & Schult.","Agrostis tenuis","Bast. ex Roem. & Schult.","CA","8 mi north of Horseshoe Bay on the northeast side of Hwy 99.","British Columbia","PRESENT",NA,"e1f6195c-b21b-4601-809e-bdf0488ee9a4",49.502624,-123.244381,1000,NA,NA,NA,NA,NA,"1972-07-19T00:00:00",19,7,1972,7533610,2706465,"PRESERVED_SPECIMEN","DES","","DES00025811","516","","","CC_BY_4_0","","M. Barkworth","","","2022-12-01T07:52:05.260Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis canina","","accepted",158132,"Agrostis canina","Agrostis canina"
"13",3079206912,"9aba7c73-533c-4366-a984-061fec0ebed7","ce0b4cf0-723f-4a39-9f3d-b701089b06f1","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis capillaris","","SPECIES","Agrostis capillaris L.","Agrostis capillaris","L.","CA","8 miles north of Horseshoe Bay on Northeast side of Highway 99","Bc","PRESENT",NA,"bd19f918-65b0-419f-a9f8-d67aa2c8d5bf",49.477109,-123.241291,327,NA,NA,NA,NA,NA,"1972-07-19T00:00:00",19,7,1972,2706490,2706490,"PRESERVED_SPECIMEN","CSUSB","","CSUSB91926","516","","","CC_BY_NC_4_0","","M.E. Barkworth","","Uncertain","2022-12-08T14:50:48.314Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis capillaris","","accepted",75312,"Agrostis capillaris","Agrostis capillaris"
"14",3348624955,"d8cd16ba-bb74-4420-821e-083f2bac17c2","MF596516","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis capillaris","","SPECIES","Agrostis capillaris L.","Agrostis capillaris","","CA","British Columbia, Lower Mainland, Vancouver, just below Cypress Ski Resort in Cypress Provincial Park, N of Vancouver","","PRESENT",NA,"ada9d123-ddb4-467d-8891-806ea8d94230",49.389999,-123.199997,NA,NA,NA,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706490,2706490,"PRESERVED_SPECIMEN","","","Peterson_18753","","Jeffery M. Saarela","","CC_BY_4_0","","P.M. Peterson, J.M. Saarela & S.F. Smith","","","2022-12-07T12:46:35.255Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","Agrostis capillaris","","accepted",75312,"Agrostis capillaris","Agrostis capillaris"
"15",1320339123,"821cc27a-e3bb-4bc5-ac34-89ada245069d","http://n2t.net/ark:/65665/38ac25e62-9265-4005-bcb7-3f4b3d6c27bd","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis capillaris","","SPECIES","Agrostis capillaris L.","Agrostis capillaris","L.","CA","Just below Cypress Ski Resort in Cypress Provincial Park, N of Vancouver. Along roadside and edge of forest with","British Columbia","PRESENT",1,"bc092ff0-02e4-11dc-991f-b8a03c50a862",49.3937,-123.196,NA,NA,896,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706490,2706490,"PRESERVED_SPECIMEN","US","US","US 3503833","18753","","","CC0_1_0","","P. M. Peterson, J. Saarela & S. F. Smith","","","2022-12-02T12:40:03.367Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84","Agrostis capillaris","","accepted",75312,"Agrostis capillaris","Agrostis capillaris"
"16",1804429079,"1e61b812-b2ec-43d0-bdbb-8534a761f74c","42f8c08f-b64d-64d4-8cb0-2dc7d47894fe","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis capillaris","","SPECIES","Agrostis capillaris L.","Agrostis capillaris L.","L.","CA","Just below Cypress Ski Resort in Cypress Provincial Park, north of Vancouver.","British Columbia (Prov.)","PRESENT",NA,"a41250f0-7c3e-11d8-a19c-b8a03c50a862",49.394,-123.196,NA,NA,NA,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706490,2706490,"PRESERVED_SPECIMEN","CMN","CAN","CAN 591056","18753","Saarela, Jeffery M. - Canadian Museum of Nature","","CC_BY_4_0","Canadian Museum of Nature","Peterson, Paul M. ; Saarela, Jeffery M.","","","2022-12-11T18:06:57.368Z","","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY","Agrostis capillaris","","accepted",75312,"Agrostis capillaris","Agrostis capillaris"
"17",2250561291,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GRASS1362-10","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis capillaris","","SPECIES","Agrostis capillaris L.","Agrostis capillaris","","CA","Lower Mainland, Vancouver, just below Cypress Ski Resort in Cypress Provincia","British Columbia","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",49.394,-123.196,NA,NA,896,0,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706490,2706490,"MATERIAL_SAMPLE","","","CAN591056","","Jeffery M. Saarela","","CC_BY_4_0","Barcode of Life Datasystems","P.M. Peterson, J.M. Saarela & S.F. Smith","","","2022-12-01T20:31:01.492Z","","GEODETIC_DATUM_ASSUMED_WGS84","Agrostis capillaris","","accepted",75312,"Agrostis capillaris","Agrostis capillaris"
"18",1260847748,"7bd65a7a-f762-11e1-a439-00145eb45e9a","urn:catalog:MO:Tropicos:3431056","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis exarata","","SPECIES","Agrostis exarata Trin.","Agrostis exarata Trin.","Trin.","CA","Just below Cypress Ski Resort in Cypress Provincial Park, N of Vancouver.","British Columbia","PRESENT",1,"90fd6680-349f-11d8-aa2d-b8a03c50a862",49.393611,-123.195555,NA,NA,896,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706526,2706526,"PRESERVED_SPECIMEN","MO","MO","3431056","Peterson 18751","","","CC_BY_4_0","Missouri Botanical Garden","Paul M. Peterson;Jeffrey M. Saarela;Stephen F. Smith","","","2022-11-25T06:55:12.281Z","","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;AMBIGUOUS_COLLECTION","Agrostis exarata","","accepted",59088,"Agrostis exarata","Agrostis exarata"
"19",1319538698,"821cc27a-e3bb-4bc5-ac34-89ada245069d","http://n2t.net/ark:/65665/3675774d9-31b3-4ba2-87e6-b06a54bd2f8a","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis exarata","","SPECIES","Agrostis exarata Trin.","Agrostis exarata","Trin.","CA","Just below Cypress Ski Resort in Cypress Provincial Park, N of Vancouver. Along roadside and edge of forest with","British Columbia","PRESENT",1,"bc092ff0-02e4-11dc-991f-b8a03c50a862",49.3937,-123.196,NA,NA,896,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706526,2706526,"PRESERVED_SPECIMEN","US","US","US 3503834","18751","","","CC0_1_0","","P. M. Peterson, J. Saarela & S. F. Smith","","","2022-12-02T12:40:38.075Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84","Agrostis exarata","","accepted",59088,"Agrostis exarata","Agrostis exarata"
"20",1804546216,"1e61b812-b2ec-43d0-bdbb-8534a761f74c","ba369bce-0af0-af04-a580-c22ae9fcc840","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis exarata","","SPECIES","Agrostis exarata Trin.","Agrostis exarata Trin.","Trin.","CA","Just below Cypress Ski Resort in Cypress Provincial Park, north of Vancouver.","British Columbia (Prov.)","PRESENT",NA,"a41250f0-7c3e-11d8-a19c-b8a03c50a862",49.394,-123.196,NA,NA,NA,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706526,2706526,"PRESERVED_SPECIMEN","CMN","CAN","CAN 591061","18751","Saarela, Jeffery M. - Canadian Museum of Nature","","CC_BY_4_0","Canadian Museum of Nature","Peterson, Paul M. ; Saarela, Jeffery M.","","","2022-12-11T18:06:59.788Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY","Agrostis exarata","","accepted",59088,"Agrostis exarata","Agrostis exarata"
"21",883378395,"2429287b-ef65-4cfd-afcc-11cc3ba95cca","urn:catalog:ALTA-VP:116741","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis exarata","","SPECIES","Agrostis exarata Trin.","Agrostis exarata Trin.","","CA","","British Columbia","PRESENT",1,"03cb9700-6cee-11d8-922d-b8a03c50a862",49.393694,-123.195528,190,NA,NA,NA,NA,NA,"2004-07-29T00:00:00",29,7,2004,2706526,2706526,"PRESERVED_SPECIMEN","University of Alberta Museums","ALTA-VP","116741","18751","","","CC0_1_0","University of Alberta Museums","Peterson, P. M.;Saarela, J. M.;Smith, S. F.","","","2022-11-24T20:08:27.266Z","","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis exarata","","accepted",59088,"Agrostis exarata","Agrostis exarata"
"22",1846545382,"3c59bd42-7bfd-421b-8da4-275780390e4c","46823685-abe5-4f77-8902-549733d4c597","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis scabra","","SPECIES","Agrostis scabra Willd.","Agrostis scabra","Willd.","CA","8 mi north of Horseshoe Bay on the northeast side of Hwy 99.","British Columbia","PRESENT",NA,"e1f6195c-b21b-4601-809e-bdf0488ee9a4",49.476111,-123.241944,NA,NA,NA,NA,NA,NA,"1972-07-19T00:00:00",19,7,1972,2706444,2706444,"PRESERVED_SPECIMEN","DES","","DES00025812","515","","","CC_BY_4_0","","M. Barkworth","","","2022-12-01T07:52:05.263Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis scabra","","accepted",75319,"Agrostis scabra","Agrostis scabra"
"23",3079206694,"9aba7c73-533c-4366-a984-061fec0ebed7","af96b682-79d2-4cdf-8fd1-f67848c8ad91","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis scabra","","SPECIES","Agrostis scabra Willd.","Agrostis scabra","Willd.","CA","8 miles north of Horseshoe Bay on Northeast side of Highway 99","Bc","PRESENT",NA,"bd19f918-65b0-419f-a9f8-d67aa2c8d5bf",49.477109,-123.241291,327,NA,NA,NA,NA,NA,"1972-07-19T00:00:00",19,7,1972,2706444,2706444,"PRESERVED_SPECIMEN","CSUSB","","CSUSB90714","515","","","CC_BY_NC_4_0","","M.E. Barkworth","","Uncertain","2022-12-08T14:50:48.202Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis scabra","","accepted",75319,"Agrostis scabra","Agrostis scabra"
"24",1849108661,"a92de2e1-647c-43f2-a8b7-ab1c1a6453dd","59837fe8-ff6d-11e2-9beb-001c23ce290f","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis thurberiana","","SPECIES","Agrostis thurberiana Hitchc.","Agrostis thurberiana","Hitchc.","CA","Garibaldi Park","British Columbia","PRESENT",NA,"3124bdd8-b38c-46f0-b354-5e1d2c2cd9d2",49.766667,-123.033333,NA,NA,1402,NA,NA,NA,"1960-08-25T00:00:00",25,8,1960,2706497,2706497,"PRESERVED_SPECIMEN","USCH","MAIN","USCH0065383","","P., E.","","CC0_1_0","","P., E.","","","2022-12-08T07:50:32.445Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Agrostis thurberiana","","unaccepted",75316,"Agrostis humilis","Agrostis humilis"
"25",1988196354,"07fd0d79-4883-435f-bba1-58fef110cd13","444A55EA-0659-BA4A-8A28-71A3B3695C25","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis variabilis","","SPECIES","Agrostis variabilis Rydb.","Agrostis variabilis Rydb.","Rydb.","CA","Garibaldi Park, Sentinel Glacier foreland","British Columbia","PRESENT",NA,"b542788f-0dc2-4a2b-b652-fceced449591",49.8930444794088,-122.982676465135,NA,NA,NA,NA,NA,NA,"1966-01-01T00:00:00",NA,NA,1966,2706456,2706456,"PRESERVED_SPECIMEN","ca.ubc","UBCVascular","V159216","s.n.","Vladimir J. Krajina 1966","","CC0_1_0","University of British Columbia","Bruce Fraser","","","2022-11-24T21:53:34.908Z","","COORDINATE_REPROJECTED;INSTITUTION_MATCH_NONE","Agrostis variabilis","","accepted",75320,"Agrostis variabilis","Agrostis variabilis"
"26",883370915,"2429287b-ef65-4cfd-afcc-11cc3ba95cca","urn:catalog:ALTA-VP:113620","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","Aira praecox","","SPECIES","Aira praecox L.","Aira praecox L.","","CA","Lions Bay","British Columbia","PRESENT",1,"03cb9700-6cee-11d8-922d-b8a03c50a862",49.4537,-123.2383,1850,NA,NA,NA,NA,NA,"1979-06-09T00:00:00",9,6,1979,5289582,5289582,"PRESERVED_SPECIMEN","University of Alberta Museums","ALTA-VP","113620","660","Fabijan, Dorothy M.","2011-04-07T00:00:00","CC0_1_0","University of Alberta Museums","Whitkus, Richard","","","2022-11-24T20:08:02.269Z","","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","Aira praecox","","accepted",61058,"Aira praecox","Aira praecox"
"27",1302695369,"07044577-bd82-4089-9f3a-f4a9d2170b2e","da540806-4eaa-437d-ada9-5a50e5feaab3","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cernuum","","SPECIES","Allium cernuum Roth","Allium cernuum","","CA","","British Columbia","PRESENT",NA,"fee3882f-5360-4f01-a1ca-767c48fa629c",49.383333,-123.366667,NA,NA,NA,NA,NA,NA,"1899-07-01T00:00:00",NA,7,1899,2856745,2856745,"OCCURRENCE","CPNWH","","2475755","V150149","","","CC_BY_4_0","","J. A. Bury[?]","","","2022-11-24T21:37:24.210Z","","GEODETIC_DATUM_ASSUMED_WGS84","Allium cernuum","","accepted",116364,"Allium cernuum","Allium cernuum"
"28",1302694972,"07044577-bd82-4089-9f3a-f4a9d2170b2e","8eb96636-8dd6-44e2-9229-ce26334870ca","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cernuum","","SPECIES","Allium cernuum Roth","Allium cernuum","","CA","","British Columbia","PRESENT",NA,"fee3882f-5360-4f01-a1ca-767c48fa629c",49.35,-123.25,NA,NA,NA,NA,NA,NA,"1911-06-22T00:00:00",22,6,1911,2856745,2856745,"OCCURRENCE","CPNWH","","2475733","V64162","","","CC_BY_4_0","","John Davidson","","","2022-11-24T21:36:29.265Z","","GEODETIC_DATUM_ASSUMED_WGS84","Allium cernuum","","accepted",116364,"Allium cernuum","Allium cernuum"
"29",1302695053,"07044577-bd82-4089-9f3a-f4a9d2170b2e","249f0814-d598-4f01-a800-4425ebd40f14","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cernuum","","SPECIES","Allium cernuum Roth","Allium cernuum","","CA","","British Columbia","PRESENT",NA,"fee3882f-5360-4f01-a1ca-767c48fa629c",49.666667,-123.15,NA,NA,NA,NA,NA,NA,"1965-07-09T00:00:00",9,7,1965,2856745,2856745,"OCCURRENCE","CPNWH","","2475689","V219398","","","CC_BY_4_0","","J. Luitjens","","","2022-11-24T21:36:59.847Z","","GEODETIC_DATUM_ASSUMED_WGS84","Allium cernuum","","accepted",116364,"Allium cernuum","Allium cernuum"
