Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Observation Taxon Name
Alces alces,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Alceini,Alces,alces,,,,,,,new 2008,observed,,,,,,2008-12-06,Joe Holubar,https://www.inaturalist.org/observations/49196089,,,MAM,accepted,522193,Alces alces,error
Aplodontia rufa,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Aplodontiidae,,,Aplodontia,rufa,,,,,,,reported,unobserved,1925-11-25,,UWBM,18838,1702667031,,,,,,MAM,accepted,43736,Aplodontia rufa,
Callospermophilus lateralis,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Callospermophilus,lateralis,,,,,,,reported,unobserved,1943-06-13,"Munro, JA",ROM,28579,1211862388,,,,,,MAM,accepted,180010,Callospermophilus lateralis,
Canis latrans,Say,,coyote,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,latrans,,,,native,S5 (2015),,confirmed,observed,1930-12-01,J. Ronayne,UBCBBM,M006157,1292001409,2008-06-07,John D Reynolds,https://www.inaturalist.org/observations/21931600,,42051,MAM,accepted,42051,Canis latrans,error
Canis lupus,Linnaeus,,grey wolf,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,lupus,,,,native,S4S5 (Feb 2015),,confirmed,observed,1932-03-26,K. Racey,UBCBBM,M017450,1292012664,2019-09-05,patrick7472,https://www.inaturalist.org/observations/47265521,,42048,MAM,accepted,42048,Canis lupus,error
Castor canadensis,Kuhl,,Canadian beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,native,S5,,confirmed,observed,1800-01-01,Woodland Park Zoo,UWBM,19682,1702667440,2004-06-13,Pål A. Olsvik,https://www.inaturalist.org/observations/117708688,,43794,MAM,accepted,43794,Castor canadensis,error
Cervus canadensis canadensis,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,,,,,,reported,unobserved,1953-06-19,R.W. Pillsbury,UBCBBM,M004489,1291999771,,,,,,MAM,accepted,564777,Cervus canadensis canadensis,
Cervus canadensis roosevelti,Merriam,,Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,roosevelti,,native,S3S4,,confirmed,observed,1987-04-12,,,HBL008269,3349970451,2004-07-19,Ken McMillan,https://www.inaturalist.org/observations/14649197,,566550,MAM,accepted,566550,Cervus canadensis roosevelti,error
Clethrionomys gapperi,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,,,,,,confirmed,observed,1910-04-22,Annie M. Alexander,MVZ,12310,1145691035,2013-06-18,Sean Daniels,https://www.inaturalist.org/observations/103183981,,,MAM,accepted,1431274,Clethrionomys gapperi,error
Corynorhinus townsendii,Cooper,,Townsend's big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,,,,native,S3S4,,confirmed,observed,1800-01-01,Chester C. Lindt; Preparator(s): Chester C. Lindt,UWBM,63188,1702701211,2013-07-24,ToddCarnahan.com,https://www.inaturalist.org/observations/68036264,,74205,MAM,accepted,74205,Corynorhinus townsendii,error
Dama dama,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Dama,dama,,,,,,,new 2007,observed,,,,,,2007-06-01,Jamie Fenneman,https://www.inaturalist.org/observations/156328568,,,MAM,accepted,42161,Dama dama,error
Didelphis virginiana,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,,Didelphimorphia,,,Didelphidae,Didelphinae,Didelphini,Didelphis,virginiana,,,,,,,confirmed,observed,1983-10-27,"Sullivan, S. L.",OMNH,35891,202063525,2017-01-01,Mark Wynja,https://www.inaturalist.org/observations/124810603,,,MAM,accepted,42652,Didelphis virginiana,error
