scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Oreamnos americanus,"de Blainville, 1816",,mountain goat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Oreamnos,americanus,,,,native,S3 (2015),,confirmed,observed,2005-08-17,User 44897,,OBS.70764884,2840191003,2006-04-22,Brian Starzomski,https://www.inaturalist.org/observations/17069724,,42414,MAM
Ovis canadensis,"Shaw, 1804",,bighorn sheep,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Ovis,canadensis,,,,native,S3? (2015),,confirmed,observed,1903-10-28,"Mackey ; Dippie, George F.",CMN,32241,1804081735,2006-04-23,Brian Starzomski,https://www.inaturalist.org/observations/17069723,,42391,MAM
Alces alces,"Linnaeus, 1758",,moose,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Alceini,Alces,alces,,,,native,S5 (2015),,new 2008,observed,,,,,,2008-12-06,Joe Holubar,https://www.inaturalist.org/observations/49196089,,522193,MAM
Cervus canadensis canadensis,"(Erxleben, 1777)",,American elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,,,native,S5 (2015),,reported,unobserved,1953-06-19,R.W. Pillsbury,UBCBBM,M004489,1291999771,,,,,564777,MAM
Cervus canadensis roosevelti,"(Erxleben, 1777)","Merriam, 1897",Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,roosevelti,,native,S3S4 (2017),,confirmed,observed,1987-04-12,,,HBL008269,3349970451,2004-07-19,Ken McMillan,https://www.inaturalist.org/observations/14649197,,566550,MAM
Dama dama,"Linnaeus, 1758",,European fallow deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Dama,dama,,,,exotic,S (2021),,new 2007,observed,,,,,,2007-06-01,Jamie Fenneman,https://www.inaturalist.org/observations/156328568,,42161,MAM
Odocoileus hemionus columbianus,"Rafinesque, 1817","(Richardson, 1829)",Columbian black-tailed deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,Odocoileus,hemionus,,columbianus,,native,S5 (2015),,confirmed,observed,1895-06-07,Allan Cyril Brooks,MCZ,BANGS-6806,476852441,1989-09-06,rolandwirth,https://www.inaturalist.org/observations/19344246,,42221,MAM
Odocoileus virginianus,"Zimmermann, 1780",,white-tailed deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,Odocoileus,virginianus,,,,native,S5,,reported,unobserved,2017-06-18,User 42531,,OBS.140606917,2843982453,,,,,42223,MAM
Sus scrofa,"Linnaeus, 1758",,wild boar,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Suina,,Suidae,Suinae,Suini,Sus,scrofa,,,,exotic,S (2021),,reported,unobserved,1943-01-01,I.McT. Cowan,UBCBBM,M000899,1291996164,,,,,42134,MAM
Canis latrans,"Say, 1823",,coyote,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,latrans,,,,native,S5 (2015),,confirmed,observed,1930-12-01,J. Ronayne,UBCBBM,M006157,1292001409,2008-06-07,John D Reynolds,https://www.inaturalist.org/observations/21931600,,42051,MAM
