scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Alces alces,,,Moose,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Alceini,Alces,alces,,,,native,S5 (2015),,new 2008,observed,,,,,,2008-12-06,Joe Holubar,https://www.inaturalist.org/observations/49196089,,522193,MAM,accepted,522193,Alces alces,Alces alces
Aplodontia rufa,,,Mountain Beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Aplodontiidae,,,Aplodontia,rufa,,,,native,S4,,reported,unobserved,1925-11-25,,UWBM,18838,1702667031,,,,,43736,MAM,accepted,43736,Aplodontia rufa,Aplodontia rufa
Callospermophilus lateralis,,,Golden-mantled Ground Squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Callospermophilus,lateralis,,,,native,S5? (2015),,reported,unobserved,1943-06-13,"Munro, JA",ROM,28579,1211862388,,,,,180010,MAM,accepted,180010,Callospermophilus lateralis,Callospermophilus lateralis
Canis latrans,Say,,coyote,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,latrans,,,,native,S5 (2015),,confirmed,observed,1930-12-01,J. Ronayne,UBCBBM,M006157,1292001409,2008-06-07,John D Reynolds,https://www.inaturalist.org/observations/21931600,,42051,MAM,accepted,42051,Canis latrans,Canis latrans
Canis lupus,Linnaeus,,grey wolf,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,lupus,,,,native,S4S5 (2015),,confirmed,observed,1932-03-26,K. Racey,UBCBBM,M017450,1292012664,2019-09-05,patrick7472,https://www.inaturalist.org/observations/47265521,,42048,MAM,accepted,42048,Canis lupus,Canis lupus
Castor canadensis,Kuhl,,Canadian beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,native,S5,,confirmed,observed,1800-01-01,Woodland Park Zoo,UWBM,19682,1702667440,2004-06-13,Pål A. Olsvik,https://www.inaturalist.org/observations/117708688,,43794,MAM,accepted,43794,Castor canadensis,Castor canadensis
Cervus canadensis canadensis,,,American Elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,,,native,S5 (2015),,reported,unobserved,1953-06-19,R.W. Pillsbury,UBCBBM,M004489,1291999771,,,,,564777,MAM,accepted,564777,Cervus canadensis canadensis,Cervus canadensis canadensis
Cervus canadensis roosevelti,Merriam,,Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,roosevelti,,native,S3S4 (2017),,confirmed,observed,1987-04-12,,,HBL008269,3349970451,2004-07-19,Ken McMillan,https://www.inaturalist.org/observations/14649197,,566550,MAM,accepted,566550,Cervus canadensis roosevelti,Cervus canadensis roosevelti
Clethrionomys gapperi,,,Southern Red-backed Vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,,,native,S5 (2015),,confirmed,observed,1910-04-22,Annie M. Alexander,MVZ,12310,1145691035,2013-06-18,Sean Daniels,https://www.inaturalist.org/observations/103183981,,1431274,MAM,accepted,1431274,Clethrionomys gapperi,Clethrionomys gapperi
Clethrionomys gapperi occidentalis,Merriam,,"southern red-backed vole, occidentalis subspecies",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,occidentalis,,native,S1 (2006),,reported,unobserved,1946-09-30,M.J. Carter  H.D. Fisher,UBCBBM,M001974,1291997252,,,,,1431805,MAM,accepted,1431805,Clethrionomys gapperi occidentalis,Clethrionomys gapperi occidentalis
