Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Canis latrans,Say,,coyote,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,latrans,,,,resident,S5 (2015),,,,,,,,,,,,,42051,MAM
Canis lupus,Linnaeus,,grey wolf,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,lupus,,,,resident,S4S5 (Feb 2015),,,,,,,,,,,,,42048,MAM
Castor canadensis,Kuhl,,Canadian beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,resident,S5,,,,,,,,,,,,,43794,MAM
Cervus canadensis roosevelti,Merriam,,Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,,Cervus,canadensis,,roosevelti,,resident,S3S4,,,,,,,,,,,,,566550,MAM
Corynorhinus townsendii,Cooper,,Townsend's big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,,Corynorhinus,townsendii,,,,resident,S3S4,,,,,,,,,,,,,74205,MAM
Eptesicus fuscus,Beauvois,,big brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,,Eptesicus,fuscus,,,,resident,S5,,,,,,,,,,,,,40509,MAM
Erethizon dorsatum,L.,,North American porcupine,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Dermoptera,,,Cynocephalidae,,,Erethizon,dorsatum,,,,resident,S4,,,,,,,,,,,,,44026,MAM
Glaucomys sabrinus,Shaw,,northern flying squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,,Glaucomys,sabrinus,,,,resident,S5,,,,,,,,,,,,,46266,MAM
Gulo gulo luscus,L.,,"wolverine, luscus",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mustelidae,Guloninae,,Gulo,gulo,,luscus,,resident,S3,,,,,,,,,,,,,41852,MAM
Lagenorhynchus obliquidens,Gill,,Pacific white-sided dolphin,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,,Lagenorhynchus,obliquidens,,,,resident,S4S5 (2006),,,,,,,,,,,,,41510,MAM
