scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Microtus montanus,,,montane vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,montanus,,,,native,S5 (2015),,reported,unobserved,1901-09-12,C. K. Worthen,FMNH,8201,665776271,,,,,44315,MAM
Microtus oregoni,Bachman,,creeping vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,oregoni,,,,native,S4?,,reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3620,476860499,,,,,44318,MAM
Microtus pennsylvanicus,Ord.,,meadow vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,pennsylvanicus,,,,native,S5 (2015),,confirmed,observed,1895-08-05,,RBINS-Scientific Heritage,6010,3025977687,2014-06-10,Liam Steele,https://www.inaturalist.org/observations/69834384,,44311,MAM
Microtus richardsoni,,,water vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,richardsoni,,,,native,S4S5 (2015),,reported,unobserved,1916-08-12,"Spreadborough, William",CMN,2706,1804050903,,,,,44323,MAM
Microtus townsendii,Bachman,,Townsend's vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,,,,native,S5?,,confirmed,observed,1910-06-02,Annie M. Alexander,MVZ,12311,1145691140,2000-11-05,graeme45,https://www.inaturalist.org/observations/69738897,,44298,MAM
Neotoma cinerea,,,bushy-tailed woodrat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotomini,Neotoma,cinerea,,,,native,S5 (2015),,confirmed,observed,1895-10-01,Allan Cyril Brooks,MCZ,BANGS-3639,476828094,2020-10-24,rwheater,https://www.inaturalist.org/observations/63703637,,44761,MAM
Ondatra zibethicus,L.,,common muskrat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatrini,Ondatra,zibethicus,,,,native,S5,,confirmed,observed,1926-09-04,,UWBM,18839,1702667089,2004-05-30,Steve Ansell,https://www.inaturalist.org/observations/108408135,,45763,MAM
Peromyscus keeni,Rhoads,,northwestern deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,keeni,,,,native,S5 (2015),,confirmed,observed,1911-07-04,"Spreadborough, William",CMN,1599,1804086637,2021-05-06,Tumtumtree,https://www.inaturalist.org/observations/77659394,,44387,MAM
Peromyscus maniculatus,Wagner,,deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,maniculatus,,,,native,S5 (2015),,reported,unobserved,1800-01-01,Joan A. Dragavon,UWBM,36034,1702675146,,,,,44396,MAM
Peromyscus sonoriensis,,,western deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,sonoriensis,,,,unlisted,unlisted,,new 2007,observed,,,,,,2007-05-26,Jamie Fenneman,https://www.inaturalist.org/observations/156328567,,1431239,MAM
Phenacomys intermedius,Merriam,,western heather vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Pliophenacomyini,Phenacomys,intermedius,,,,native,S5,,reported,unobserved,1928-08-03,I.McT. Cowan,UBCBBM,M017361,1292012538,,,,,45714,MAM
Synaptomys borealis,Richardson,,northern bog lemming,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Lemmini,Synaptomys,borealis,,,,native,S5,,reported,unobserved,1927-08-17,"Racey, Kenneth",CMN,11626,1804091484,,,,,45760,MAM
Myocastor coypus,,,coypu,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Octodontoidea,Echimyidae,Echimyinae,Myocastorini,Myocastor,coypus,,,,unlisted,unlisted,,reported,unobserved,1957-01-01,I.McT. Cowan,UBCBBM,M007283,1292002505,,,,,43997,MAM
Erethizon dorsatum,L.,,North American porcupine,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Erethizontoidea,Erethizontidae,Erethizontinae,,Erethizon,dorsatum,,,,native,S4,,new 2020,observed,,,,,,2020-05-29,Yanik Nill,https://www.inaturalist.org/observations/48047810,,44026,MAM
Mus musculus,,,house mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Murini,Mus,musculus,,,,exotic,SNA (2020),,confirmed,observed,1920-08-23,,UWBM,18805,1702667058,2015-03-25,Terry Carr,https://www.inaturalist.org/observations/68433437,,44705,MAM
Rattus norvegicus,,,brown rat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,Rattus,norvegicus,,,,exotic,SNA (2020),,confirmed,observed,1921-11-28,,UWBM,18818,1702667079,1999-04-10,graeme45,https://www.inaturalist.org/observations/69736666,,44576,MAM
Rattus rattus,L.,,black rat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,Rattus,rattus,,,,exotic,SNA (2020),,confirmed,observed,1921-11-24,"Racey, K",ROM,2704140104,1211858945,2004-01-04,Jukka Jantunen,https://www.inaturalist.org/observations/13763658,,44575,MAM
Callospermophilus lateralis,,,golden-mantled ground squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Callospermophilus,lateralis,,,,native,S5? (2015),,reported,unobserved,1943-06-13,"Munro, JA",ROM,28579,1211862388,,,,,180010,MAM
Glaucomys sabrinus,Shaw,,northern flying squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Pteromyini,Glaucomys,sabrinus,,,,native,S5,,confirmed,observed,1800-01-01,,UWBM,18823,1702667030,2013-01-30,Doug McCutchen,https://www.inaturalist.org/observations/175278939,,46266,MAM
Marmota caligata,Eschscholtz,,hoary marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,caligata,,,,native,S5,,confirmed,observed,1913-08-04,"Korten, H.",CMN,2278,1804053695,1986-08-15,FreckLes,https://www.inaturalist.org/observations/177572920,,46087,MAM
Marmota flaviventris,Audubon & Bachman,,yellow-bellied marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,flaviventris,,,,native,S5? (2015),,confirmed,observed,1934-07-01,G.J. Spencer,UBCBBM,M000221,1291995523,2006-08-04,Jef Taylor,https://www.inaturalist.org/observations/47287723,,46086,MAM
Marmota monax,,,groundhog,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,monax,,,,native,S5 (2015),,reported,unobserved,1938-09-30,K. Racey,UBCBBM,M005843,1292001071,,,,,46095,MAM
Marmota vancouverensis,,,Vancouver Island marmot,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Marmota,vancouverensis,,,,native,S1 (2015),1-E (2003),confirmed,observed,1910-07-07,,MVZ,12093,1145688682,2000-07-15,Steve Ansell,https://www.inaturalist.org/observations/104740897,,46091,MAM
Neotamias amoenus,J.A. Allen,,yellow-pine chipmunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,Neotamias,amoenus,,,,native,S5 (2015),,confirmed,observed,1889-04-26,"Macoun, John",CMN,143,1804044487,2007-07-15,Sean Daniels,https://www.inaturalist.org/observations/59853266,,225740,MAM
Neotamias minimus,,,least chipmunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,Neotamias,minimus,,,,native,S5 (2015),,reported,unobserved,2017-09-20,-1808281331,naturgucker,478303629,2330634366,,,,,225743,MAM
Neotamias townsendii,Bachman,,Townsend's chipmunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,Neotamias,townsendii,,,,native,S4S5,,confirmed,observed,1889-06-06,C. P. Streator,FMNH,4845,665772922,2012-06-10,phil2345,https://www.inaturalist.org/observations/151843344,,225756,MAM
Sciurus carolinensis,Gmelin,,eastern grey squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,carolinensis,,,,exotic,SNA (2020),,confirmed,observed,1944-11-05,I.McT. Cowan,UBCBBM,M001164,1291996450,1997-12-30,Ken Harris EntSocVic,https://www.inaturalist.org/observations/108297760,,46017,MAM
Sciurus griseus,,,western grey squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,griseus,,,,unlisted,unlisted,,reported,unobserved,1978-08-28,33304576,naturgucker,-1933592076,3388580002,,,,,46023,MAM
Sciurus niger,,,fox squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,niger,,,,exotic,SNA (2020),,confirmed,observed,2005-07-23,User 114585,,OBS.202707086,3727087315,2019-11-13,gshank,https://www.inaturalist.org/observations/43109099,,46020,MAM
Tamiasciurus douglasii,Bachman,,soft-haired squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,douglasii,,,,native,S4S5 (2015),,confirmed,observed,1800-01-01,,UWBM,18658,1702666864,2005-06-10,Soile Mottisenkangas,https://www.inaturalist.org/observations/106175982,,46259,MAM
Tamiasciurus hudsonicus,,,American red squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,hudsonicus,,,,native,S5 (2015),,confirmed,observed,1910-04-26,Louise Kellogg,MVZ,12067,1145688420,2008-06-11,Adam Jackson,https://www.inaturalist.org/observations/56521021,,46260,MAM
Urocitellus columbianus,,,Columbian ground squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Urocitellus,columbianus,,,,native,S5? (2015),,confirmed,observed,2002-08-14,881932368,naturgucker,-976380426,2330223144,2023-07-12,tadamcochran,https://www.inaturalist.org/observations/173983720,,179998,MAM
Zapus hudsonius,,,meadow jumping mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,Zapus,hudsonius,,,,native,S5 (2015),,reported,unobserved,1937-08-22,"Munro, JA",ROM,30599,1211863040,,,,,43840,MAM
Zapus princeps,,,western jumping mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,Zapus,princeps,,,,native,S5 (2015),,reported,unobserved,1935-08-21,"Munro, JA",ROM,30596,1211863036,,,,,43846,MAM
Zapus trinotatus,Rhoads,,Pacific jumping mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,Zapus,trinotatus,,,,native,S4,,confirmed,observed,1922-04-22,,UWBM,19661,1702667482,2015-07-13,John D Reynolds,https://www.inaturalist.org/observations/20335529,,43844,MAM
