"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Ants, bees & wasps (Hymenoptera)","Hymenoptera","Remaining historical report","Bombus occidentalis","Geoffrey G.E. Scudder",NA,"1974-04-27",NA,NA,"82371","https://www.inaturalist.org/observations/82371"
"Ants, bees & wasps (Hymenoptera)","Hymenoptera","Confirmed record","Trichiosoma triangulum","Geoffrey G.E. Scudder","Charlene Wood","1991-06-13","2019-05-04",NA,"53847","https://www.inaturalist.org/observations/24568373"
"Ants, bees & wasps (Hymenoptera)","Hymenoptera","New record","Orussus occidentalis",NA,"Chris Ratzlaff",NA,"2024-06-13",2024,"887196","https://www.inaturalist.org/observations/243269485"
"Barklice & booklice (Psocodea)","Psocodea","New record","Psocus leidyi",NA,"Kevin Toomer",NA,"2024-09-01",2024,"271162","https://www.inaturalist.org/observations/239297364"
"Beetles (Coleoptera)","Coleoptera","Remaining historical report","Thalycra sinuata","Geoffrey G.E. Scudder",NA,"1973-09-01",NA,NA,"457110","https://www.inaturalist.org/observations/457110"
"Beetles (Coleoptera)","Coleoptera","Confirmed record","Phellopsis porcata","Geoffrey G.E. Scudder","Aislyn King","1973-05-21","2022-08-23",NA,"370695","https://www.inaturalist.org/observations/133534847"
"Beetles (Coleoptera)","Coleoptera","New record","Pseudips mexicanus",NA,"Chris Ratzlaff",NA,"2024-06-17",2024,"456040","https://www.inaturalist.org/observations/243269491"
"Butterflies & moths (Lepidoptera)","Lepidoptera","Remaining historical report","Euchlaena johnsonaria","unknown",NA,"1930-07-30",NA,NA,"147308","https://www.inaturalist.org/observations/147308"
"Butterflies & moths (Lepidoptera)","Lepidoptera","Confirmed record","Idaea dimidiata","Jon Shepard & Sigrid Shepard","Kevin Toomer","1995-07-19","2021-07-12",NA,"205231","https://www.inaturalist.org/observations/86761116"
"Butterflies & moths (Lepidoptera)","Lepidoptera","New record","Xylomoia indirecta",NA,"Kevin Toomer",NA,"2024-08-11",2024,"452619","https://www.inaturalist.org/observations/235121013"
"Caddisflies (Trichoptera)","Trichoptera","Remaining historical report","Limnephilus nogus","Geoffrey G.E. Scudder",NA,"1987-04-19",NA,NA,"223738","https://www.inaturalist.org/observations/223738"
"Cockroaches & termites (Blattodea)","Blattodea","Confirmed record","Zootermopsis angusticollis","Geoffrey G.E. Scudder","Andrew Simon","1975-09-14","2016-08-13",NA,"121383","https://www.inaturalist.org/observations/3882082"
"Dragonflies & damselflies (Odonata)","Odonata","Remaining historical report","Aeshna eremita","Gord Hutchings",NA,"1996-07-26",NA,NA,"93432","https://www.inaturalist.org/observations/93432"
"Dragonflies & damselflies (Odonata)","Odonata","Confirmed record","Ischnura cervula","Gord Hutchings","Cameron Deckert","1996-07-26","2010-07-27",NA,"62229","https://www.inaturalist.org/observations/3414930"
"Earwigs (Dermaptera)","Dermaptera","Confirmed record","Forficula dentata","RA Cannings","Andrew Simon","1981-04-18","2016-01-01",NA,"1470429","https://www.inaturalist.org/observations/3498599"
"Flies (Diptera)","Diptera","Remaining historical report","Hybomitra epistates","Geoffrey G.E. Scudder",NA,"1978-07-03",NA,NA,"133637","https://www.inaturalist.org/observations/133637"
"Flies (Diptera)","Diptera","Confirmed record","Phoroctenia vittata","Geoffrey G.E. Scudder","Scott Gilmore","1986-05-30","2017-05-13",NA,"491863","https://www.inaturalist.org/observations/6223534"
"Flies (Diptera)","Diptera","New record","Thaumatomyia glabra",NA,"Kevin Toomer",NA,"2025-07-01",2025,"133767","https://www.inaturalist.org/observations/294691866"
"Grasshoppers & crickets (Orthoptera)","Orthoptera","Remaining historical report","Tetrix subulata","Robert Cannings",NA,"1981-04-18",NA,NA,"129129","https://www.inaturalist.org/observations/129129"
"Grasshoppers & crickets (Orthoptera)","Orthoptera","Confirmed record","Pristoceuthophilus celatus","Geoffrey G.E. Scudder","Rolando Lampitoc","1991-10-30","2016-09-10",NA,"228730","https://www.inaturalist.org/observations/4438567"
"Jumping bristletails (Archaeognatha)","Archaeognatha","New record","Machilinus aurantiacus",NA,"Andrew Simon",NA,"2024-06-15",2024,"450933","https://www.inaturalist.org/observations/222971490"
"Lacewings (Neuroptera)","Neuroptera","Remaining historical report","Hemerobius pacificus","Geoffrey G.E. Scudder",NA,"1990-09-30",NA,NA,"307647","https://www.inaturalist.org/observations/307647"
"Lacewings (Neuroptera)","Neuroptera","Confirmed record","Chrysoperla carnea complex","Geoffrey G.E. Scudder","Kevin Toomer","1987-06-26","2018-03-23",NA,"858297","https://www.inaturalist.org/observations/10382079"
"Lacewings (Neuroptera)","Neuroptera","New record","Polystoechotes punctata",NA,"Kath Quayle",NA,"2024-09-28",2024,"308235","https://www.inaturalist.org/observations/244524949"
"Millipedes (Chordeumatida)","Chordeumatida","New record","Tingupa sp.",NA,"Fern",NA,"2024-12-31",2024,"171557","https://www.inaturalist.org/observations/263357069"
"Millipedes (Polydesmida)","Polydesmida","Confirmed record","Scytonotus sp.","Geoffrey G.E. Scudder","Ed Andrusiak","1990-09-23","2016-11-24",NA,"154960","https://www.inaturalist.org/observations/4661703"
"Snakeflies (Raphidioptera)","Raphidioptera","Remaining historical report","Agulla adnixa","N.C. Scudder",NA,"1975-07-11",NA,NA,"60043","https://www.inaturalist.org/observations/60043"
"Snakeflies (Raphidioptera)","Raphidioptera","Confirmed record","Agulla assimilis","Geoffrey G.E. Scudder","Andrew Simon","1989-08-19","2018-05-20",NA,"498347","https://www.inaturalist.org/observations/12651718"
"Spiders (Araneae)","Araneae","Remaining historical report","Neon reticulatus","Robb Bennett",NA,"2012-05-09",NA,NA,"225672","https://www.inaturalist.org/observations/225672"
"Spiders (Araneae)","Araneae","Confirmed record","Anyphaena aperta","Geoffrey G.E. Scudder","Andrew Simon","1983-04-30","2017-05-31",NA,"213821","https://www.inaturalist.org/observations/8172198"
"Springtails (Poduromorpha)","Poduromorpha","New record","Hypogastrura sp.",NA,"Liam Ragan",NA,"2024-04-26",2024,"125615","https://www.inaturalist.org/observations/209986475"
"Springtails (Symphypleona)","Symphypleona","New record","Dicyrtomina ornata",NA,"Fern",NA,"2024-12-31",2024,"205720","https://www.inaturalist.org/observations/263358450"
"Stoneflies (Plecoptera)","Plecoptera","Remaining historical report","Ostrocerca dimicki","Geoffrey G.E. Scudder",NA,"1981-04-19",NA,NA,"176218","https://www.inaturalist.org/observations/176218"
"True bugs (Hemiptera)","Hemiptera","Remaining historical report","Plagiognathus fuscosus","Geoffrey G.E. Scudder",NA,"2019-06-21",NA,NA,"1099259","https://www.inaturalist.org/observations/1099259"
"True bugs (Hemiptera)","Hemiptera","Confirmed record","Platycotis vittata","Geoffrey G.E. Scudder","Scott Gilmore","1982-08-25","2017-05-13",NA,"48679","https://www.inaturalist.org/observations/6203555"
"True bugs (Hemiptera)","Hemiptera","New record","Heterotoma planicornis",NA,"Kevin Toomer",NA,"2025-07-22",2025,"324676","https://www.inaturalist.org/observations/300189193"
"Woodlice (Isopoda)","Isopoda","New record","Gnorimosphaeroma sp.",NA,"dianek13",NA,"2025-05-22",2025,"123797","https://www.inaturalist.org/observations/284951532"
