"","Taxon","Genus","Species","Hybrid","Subspecies","Variety","Form","Matched.Taxon"
"1","Acer glabrum","Acer","glabrum","","","","","Acer glabrum var. douglasii"
"2","Achillea millefolium","Achillea","millefolium","","","","","Achillea millefolium complex"
"3","Achillea millefolium borealis","Achillea","millefolium","","","borealis","","Achillea millefolium complex"
"4","Achillea millefolium californica","Achillea","millefolium","","","californica","","Achillea millefolium complex"
"5","Adiantum aleuticum","Adiantum","aleuticum","","","","","Adiantum aleuticum var. aleuticum"
"6","Adiantum aleuticum aleuticum","Adiantum","aleuticum","","","aleuticum","","Adiantum aleuticum var. aleuticum"
"7","Agoseris grandiflora","Agoseris","grandiflora","","","","","Agoseris grandiflora var. leptophylla"
"8","Agoseris grandiflora leptophylla","Agoseris","grandiflora","","","leptophylla","","Agoseris grandiflora var. leptophylla"
"9","Agoseris heterophylla","Agoseris","heterophylla","","","","","Agoseris heterophylla ssp. heterophylla"
"10","Agoseris heterophylla heterophylla","Agoseris","heterophylla","","heterophylla","","","Agoseris heterophylla ssp. heterophylla"
"11","Agropyron repens","Agropyron","repens","","","","","Elymus repens"
"12","Amelanchier alnifolia semiintegrifolia","Amelanchier","alnifolia","","","semiintegrifolia","","Amelanchier alnifolia"
"13","Amsinckia retrorsa","Amsinckia","retrorsa","","","","","Amsinckia menziesii"
"14","Anthoxanthum aristatum","Anthoxanthum","aristatum","","","","","Anthoxanthum aristatum spp. aristatum"
"15","Anthoxanthum aristatum aristatum","Anthoxanthum","aristatum","","aristatum","","","Anthoxanthum aristatum spp. aristatum"
"16","Aquilegia formosa","Aquilegia","formosa","","","","","Aquilegia formosa var. formosa"
"17","Aquilegia formosa formosa","Aquilegia","formosa","","","formosa","","Aquilegia formosa var. formosa"
"18","Arenaria serpyllifolia","Arenaria","serpyllifolia","","","","","Arenaria serpyllifolia var. serpyllifolia"
"19","Argentina pacifica","Argentina","pacifica","","","","","Argentina anserina"
"20","Arrhenatherum elatius","Arrhenatherum","elatius","","","","","Arrhenatherum elatius ssp. elatius"
"21","Artemisia campestris","Artemisia","campestris","","","","","Artemisia campestris ssp. pacifica"
"22","Asplenium trichomanes","Asplenium","trichomanes","","","","","Asplenium trichomanes ssp. trichomanes"
"23","Aster chilensis","Aster","chilensis","","","","","Symphyotrichum chilense"
"24","Athyrium filix-femina","Athyrium","filix-femina","","","","","Athyrium filix-femina ssp. cyclosorum"
"25","Blechnum spicant","Blechnum","spicant","","","","","Struthiopteris spicant"
"26","Botrychium silaifolium","Botrychium","silaifolium","","","","","Sceptridium multifidum"
"27","Brodiaea coronaria coronaria","Brodiaea","coronaria","","coronaria","","","Brodiaea coronaria"
"28","Bromus carinatus","Bromus","carinatus","","","","","Bromus carinatus var. carinatus"
"29","Bromus carinatus carinatus","Bromus","carinatus","","","carinatus","","Bromus carinatus var. carinatus"
"30","Bromus rigidus","Bromus","rigidus","","","","","Bromus diandrus"
"31","Cakile edentula","Cakile","edentula","","","","","Cakile edentula var. edentula"
"32","Cakile edentula edentula","Cakile","edentula","","","edentula","","Cakile edentula var. edentula"
"33","Cakile maritima","Cakile","maritima","","","","","Cakile maritima ssp. maritima"
"34","Cakile maritima maritima","Cakile","maritima","","maritima","","","Cakile maritima ssp. maritima"
"35","Calandrinia menziesii","Calandrinia","menziesii","","","","","Calandrinia ciliata"
"36","Callitriche heterophylla","Callitriche","heterophylla","","","","","Callitriche heterophylla var. bolanderi"
"37","Callitriche heterophylla bolanderi","Callitriche","heterophylla","","","bolanderi","","Callitriche heterophylla var. bolanderi"
"38","Calypso bulbosa","Calypso","bulbosa","","","","","Calypso bulbosa var. occidentalis"
"39","Calypso bulbosa occidentalis","Calypso","bulbosa","","","occidentalis","","Calypso bulbosa var. occidentalis"
"40","Camassia leichtlinii","Camassia","leichtlinii","","","","","Camassia leichtlinii ssp. suksdorfii"
"41","Camassia leichtlinii suksdorfii","Camassia","leichtlinii","","suksdorfii","","","Camassia leichtlinii ssp. suksdorfii"
"42","Camassia quamash","Camassia","quamash","","","","","Camassia quamash ssp. quamash"
"43","Camassia quamash quamash","Camassia","quamash","","quamash","","","Camassia quamash ssp. quamash"
"44","Carex aquatilis","Carex","aquatilis","","","","","Carex aquatilis var. dives"
"45","Carex aquatilis dives","Carex","aquatilis","","","dives","","Carex aquatilis var. dives"
"46","Carex canescens","Carex","canescens","","","","","Carex canescens ssp. canescens"
"47","Carex echinata","Carex","echinata","","","","","Carex echinata ssp. echinata"
"48","Carex echinata echinata","Carex","echinata","","echinata","","","Carex echinata ssp. echinata"
"49","Carex garberi","Carex","garberi","","","","",""
"50","Carex inops","Carex","inops","","","","","Carex inops ssp. inops"
"51","Carex inops inops","Carex","inops","","","","","Carex inops ssp. inops"
"52","Carex lenticularis","Carex","lenticularis","","","","","Carex kelloggii var. limnophila"
"53","Carex sitchensis","Carex","sitchensis","","","","","Carex aquatilis var. dives"
"54","Carex viridula","Carex","viridula","","","","","Carex viridula ssp. viridula"
"55","Carex viridula viridula","Carex","viridula","","viridula","","","Carex viridula ssp. viridula"
"56","Castilleja hispida hispida","Castilleja","hispida","","","","","Castilleja hispida"
"57","Castilleja miniata","Castilleja","miniata","","","","","Castilleja miniata var. dixonii"
"58","Cerastium arvense","Cerastium","arvense","","","","","Cerastium arvense ssp. strictum"
"59","Cerastium fontanum","Cerastium","fontanum","","","","","Cerastium fontanum ssp. vulgare"
"60","Chimaphila umbellata","Chimaphila","umbellata","","","","","Chimaphila umbellata ssp. umbellata"
"61","Clarkia amoena","Clarkia","amoena","","","","","Clarkia amoena"
"62","Clarkia amoena caurina","Clarkia","amoena","","caurina","","","Clarkia amoena ssp. caurina"
"63","Clarkia amoena caurina","Clarkia","amoena","","","caurina","","Clarkia amoena ssp. caurina"
"64","Clarkia amoena lindleyi","Clarkia","amoena","","lindleyi","","","Clarkia amoena ssp. lindleyi"
"65","Clarkia amoena lindleyi","Clarkia","amoena","","","lindleyi","","Clarkia amoena ssp. lindleyi"
"66","Clarkia amoena var. caurina","Clarkia","amoena","","","caurina","","Clarkia amoena ssp. caurina"
"67","Claytonia exigua","Claytonia","exigua","","","","","Claytonia exigua ssp. exigua"
"68","Claytonia exigua exigua","Claytonia","exigua","","exigua","","","Claytonia exigua ssp. exigua"
"69","Claytonia rubra","Claytonia","rubra","","","","","Claytonia rubra ssp. depressa"
"70","Claytonia rubra depressa","Claytonia","rubra","","depressa","","","Claytonia rubra ssp. depressa"
"71","Corallorhiza maculata","Corallorhiza","maculata","","","","","Corallorhiza maculata var. occidentalis"
"72","Corallorhiza maculata occidentalis","Corallorhiza","maculata","","","occidentalis","","Corallorhiza maculata var. occidentalis"
"73","Corallorhiza striata","Corallorhiza","striata","","","","","Corallorhiza striata var. striata"
"74","Corallorhiza striata striata","Corallorhiza","striata","","","striata","","Corallorhiza striata var. striata"
"75","Cornus sericea","Cornus","sericea","","","","","Cornus sericea ssp. occidentalis"
"76","Cornus sericea occidentalis","Cornus","sericea","","occidentalis","","","Cornus sericea ssp. occidentalis"
"77","Corylus cornuta","Corylus","cornuta","","","","","Corylus cornuta ssp. californica"
"78","Corylus cornuta californica","Corylus","cornuta","","californica","","","Corylus cornuta ssp. californica"
"79","Cotoneaster coriaceus","Cotoneaster","coriaceus","","","","","Cotoneaster lacteus"
"80","Cotoneaster lacteus","Cotoneaster","lacteus","","","","","Cotoneaster lacteus"
"81","Crataegus monogyna","Crataegus","monogyna","","","","","Crataegus monogyna var. monogyna"
"82","Crataegus monogyna monogyna","Crataegus","monogyna","","","monogyna","","Crataegus monogyna var. monogyna"
"83","Cuscuta pacifica","Cuscuta","pacifica","","","","","Cuscuta pacifica var. pacifica"
"84","Danthonia decumbens x californica","Danthonia","decumbens","Danthonia decumbens x californica","","","","Danthonia decumbens"
"85","Dodecatheon pulchellum","Dodecatheon","pulchellum","","","","","Primula pauciflora var. pauciflora"
"86","Elymus glaucus","Elymus","glaucus","","","","","Elymus glaucus ssp. glaucus"
"87","Elymus glaucus glaucus","Elymus","glaucus","","glaucus","","","Elymus glaucus ssp. glaucus"
"88","Epilobium angustifolium","Epilobium","angustifolium","","","","","Chamaenerion angustifolium"
"89","Equisetum hyemale","Equisetum","hyemale","","","","","Equisetum hyemale ssp. affine"
"90","Equisetum hyemale affine","Equisetum","hyemale","","affine","","","Equisetum hyemale ssp. affine"
"91","Equisetum telmateia","Equisetum","telmateia","","","","","Equisetum telmateia ssp. braunii"
"92","Equisetum telmateia braunii","Equisetum","telmateia","","braunii","","","Equisetum telmateia ssp. braunii"
