Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Family_std,Taxon_std,Reporting_raw_std,Reporting_simple_std,Collector_std,Observer_std,Historical_date_std,First_observed_std,iNat_URL_raw_std,iNat_ID_raw_std,Collection_std,Accession_std,new_year_std,status_std,historical_year,observed_year,Family_label
Accipiter gentilis,"Linnaeus, 1758",,northern goshawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Accipiter,gentilis,NA,,NA,native,"S4B,S4N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Accipitridae,Accipiter gentilis,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Hawks, eagles & allies (Accipitridae)"
Accipiter striatus,"Vieillot, 1808",,sharp-shinned hawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Accipiter,striatus,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-04-12,Sarah Tweedale,iNat:2929563,,5097,BIR,NA,confirmed,Accipitridae,Accipiter striatus,confirmed,confirmed,Galiano Naturalist,Sarah Tweedale,2016,2016-04-12,iNat:2929563,5097,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,"Hawks, eagles & allies (Accipitridae)"
Actitis macularius,"(Linnaeus, 1766)",,spotted sandpiper,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Actitis,macularius,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-05-19,Andrew Simon,iNat:6425128,,72458,BIR,NA,confirmed,Scolopacidae,Actitis macularius,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2017-05-19,iNat:6425128,72458,Galiano Bird Checklist,NA,NA,confirmed,2016,2017,Sandpipers & allies (Scolopacidae)
Aechmophorus occidentalis,"(Lawrence, 1858)",,western grebe,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Podicipediformes,NA,NA,Podicipedidae,,NA,Aechmophorus,occidentalis,NA,,NA,native,"S1B,S2N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Podicipedidae,Aechmophorus occidentalis,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Grebes (Podicipedidae)
Aegolius acadicus,"(Gmelin, 1788)",,northern saw-whet owl,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Strigiformes,NA,NA,Strigidae,,NA,Aegolius,acadicus,NA,,NA,native,"S5B,S5N (2009)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2020-02-03,Tanya Inglis,iNat:38263361,,20356,BIR,NA,confirmed,Strigidae,Aegolius acadicus,confirmed,confirmed,Galiano Naturalist,Tanya Inglis,2016,2020-02-03,iNat:38263361,20356,Galiano Bird Checklist,NA,NA,confirmed,2016,2020,Typical owls (Strigidae)
Agelaius phoeniceus,"(Linnaeus, 1766)",,red-winged blackbird,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Icteridae,,NA,Agelaius,phoeniceus,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-02-20,Michael Hoebel,iNat:4046914,,9744,BIR,NA,confirmed,Icteridae,Agelaius phoeniceus,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2010-02-20,iNat:4046914,9744,Galiano Bird Checklist,NA,NA,confirmed,2016,2010,"Blackbirds, orioles & meadowlarks (Icteridae)"
Aix sponsa,"(Linnaeus, 1758)",,wood duck,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Aix,sponsa,NA,,NA,native,"S4B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-06-03,cmac79’,iNat:13198092,,7107,BIR,NA,confirmed,Anatidae,Aix sponsa,confirmed,confirmed,Galiano Naturalist,cmac79’,2016,2018-06-03,iNat:13198092,7107,Galiano Bird Checklist,NA,NA,confirmed,2016,2018,"Ducks, geese & swans (Anatidae)"
Anas acuta,"Linnaeus, 1758",,northern pintail,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Anas,acuta,NA,,NA,native,"S4B,S5N (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Anatidae,Anas acuta,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Ducks, geese & swans (Anatidae)"
Anas carolinensis,"Gmelin, 1789",,green-winged teal,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Anas,carolinensis,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-12-29,Andrew Simon,iNat:37084654,,NA,BIR,NA,confirmed,Anatidae,Anas carolinensis,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2019-12-29,iNat:37084654,NA,Galiano Bird Checklist,NA,NA,confirmed,2016,2019,"Ducks, geese & swans (Anatidae)"
Anas crecca,"Linnaeus, 1758",,Eurasian green-winged teal,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Anas,crecca,NA,,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-12-27,Andrew Simon,iNat:37084654,rare winter species,6937,BIR,NA,confirmed,Anatidae,Anas crecca,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2019-12-27,iNat:37084654,6937,Galiano Bird Checklist,NA,NA,confirmed,2016,2019,"Ducks, geese & swans (Anatidae)"
