Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Capra hircus,,,domestic goat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Capra,exotic,unlisted,confirmed,observed,1958-05-02,V. Geist,UBC,M007306,,2017-06-01,Andrew Simon,https://www.inaturalist.org/observations/6464455,,123070,MAM
Ovis aries,,,domestic sheep,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,Caprini,Ovis,exotic,unlisted,new 2015,observed,,,,,,2015-02-12,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565720,,121578,MAM
Cervus canadensis roosevelti,,,Roosevelt elk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,Cervini,Cervus,native,S3S4 (2017),new 2019,observed,,,,,,2019-06-14,Nancy Mcphee,https://www.inaturalist.org/observations/32141514,,566550,MAM
Odocoileus hemionus columbianus,,,Columbian black-tailed deer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,Odocoileini,Odocoileus,native,S5 (2015),confirmed,observed,2012-05-12,,VMS,,,2009-07-26,Cameron Deckert,https://www.inaturalist.org/observations/19139362,,42221,MAM
Canis familiaris,,,domestic dog,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Canis,exotic,unlisted,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2016-04-02,Andrew Simon,http://www.inaturalist.org/observations/2975427,,47144,MAM
Felis catus,,,domestic cat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Felis,exotic,unlisted,new 2016,observed,,,,,,2016-04-27,Kathleen Buckley,https://www.inaturalist.org/observations/5142224,,118552,MAM
Procyon lotor,,,common racoon,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Procyonidae,,,Procyon,native,S5 (2015),new 2016,observed,,,,,,2016-04-17,Kris Krüg,http://inaturalist.ca/observations/3456645,,41663,MAM
Tadarida brasiliensis,,,Brasilian free-tailed bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Molossidae,Molossinae,,Tadarida,accidental,SNA (2017),new 2018,unobserved,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,,,,41301,MAM
Corynorhinus townsendii,,,Townsend’s big-eared bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,native,S3S4 N3,new 2017,observed,,,,,,2017-08-31,Michael Keefer,https://www.inaturalist.org/observations/7726134,,74205,MAM
Eptesicus fuscus,,,big brown myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Nycticeiini,Eptesicus,native,S5,new 2018,observed,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,2018-08-14,Andrew Simon,https://www.inaturalist.org/observations/15845274,,40509,MAM
