Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Ariolimax columbianus,"Gould, 1851",,Pacific banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Ariolimacidae,Ariolimacinae,,Ariolimax,native,S5 (2015),confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2013-04-06,Felix Erhard,http://www.inaturalist.org/observations/2583353,,47776,MOL
Prophysaon andersoni,"(J.G. Cooper, 1872)",,reticulate taildropper,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Ariolimacidae,Ariolimacinae,,Prophysaon,native,S5 (2015),confirmed,observed,2017-05-20,Kent Brothers,VMS,,,2017-06-02,Libby McClelland,https://www.inaturalist.org/observations/6532554,,1126805,MOL
Prophysaon foliolatum,"(Gould in A. Binney, 1851)",,yellow-bordered taildropper,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Ariolimacidae,Ariolimacinae,,Prophysaon,native,S4S5 (2015),new 2018,observed,,,,,,2018-11-01,Kevin Toomer,https://www.inaturalist.org/observations/18030908,,228801,MOL
Arion sp.,,,chocolate slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,,,Arion,exotic,unlisted,confirmed,observed,2019-05-03,M. Ankenman,RBCM,020-00039-001,,2015-08-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3735272,"""Arion ater and Arion rufus (the two species in the subgenus known from the Pacific Northwest) can only by differentiated by dissection comparing genitalia or with DNA sequence data (Burke and Leonard 2013, Forsyth 2005). These authors also report that the black morph of Arion rufus is not uncommon in the Pacific Northwest. Further, Arion ater can be brownish with a reddish foot fringe (Rowson et al. 2014). Zemanova et al. 2018 used genetic sequence data to confirm Arion ater in Washington State. Thus, unless accompanied by an image of dissected genitalia or DNA sequence data, Subgenus Arion (Ater-group Arion Slugs) is the safest bet for these slugs."" (Casey H. Richart, pers. comm. 2021)",84755,MOL
Ancotrema sportella sportella,"(Gould, 1846)",,beaded lancetooth,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,Haplotrematinae,,Ancotrema,native,S4S5 (2015),new 2021,observed,,,,,,2021-05-01,Andrew Simon,https://www.inaturalist.org/observations/79112167,,1039200,MOL
Haplotrema vancouverense,"(I. Lea, 1839)",,robust lancetooth,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,native,S5 (2015),new 2018,observed,,,,,,2018-02-15,Kevin Toomer,https://www.inaturalist.org/observations/9886289,,220933,MOL
Cepaea hortensis,"(O. F. Müller, 1774)",,white-lipped snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,exotic,unlisted,new 2021,observed,,,,,,2021-07-22,Kevin Toomer,https://www.inaturalist.org/observations/88285505,,51039,MOL
Cepaea nemoralis,"(Linnaeus, 1758)",,brown-lipped snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,exotic,unlisted,new 2018,observed,,,,,,2018-05-06,Kevin Toomer,https://www.inaturalist.org/observations/12201718,,48586,MOL
Limax maximus,"Linnaeus, 1758",,leopard slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidea,Limacidae,Limacinae,,Limax,exotic,unlisted,new 2016,observed,,,,,,2013-02-05,"Alison, Laura & Malcolm Colwell",http://www.inaturalist.org/observations/4053791,,62470,MOL
Oxychilus sp.,,,glass snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Gastrodontoidea,Oxychilidae,Oxychilinae,,Oxychilus,,,new 2018,observed,,,,,,2018-03-20,Kevin Toomer,https://www.inaturalist.org/observations/10365305,,90567,MOL
Vespericola columbianus,"(I. Lea, 1839)",,northwest hesperian,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Polygyridae,Triodopsinae,Vespericolini,Vespericola,native,S5 (2015),new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/24676677,,233542,MOL
Paralaoma servilis,"(Shuttleworth, 1852)",,pinhead spot snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Punctoidea,Punctidae,Laominae,,Paralaoma,native,S5? (2015),new 2019,observed,,,,,,2019-09-20,Scott Gilmore,https://www.inaturalist.org/observations/33096819,,292816,MOL
Monadenia fidelis,"(J. E. Gray, 1834)",,Pacific sideband,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,native,S4 (2015),confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2015-03-26,Andrew Simon,http://www.inaturalist.org/observations/2588053,,62803,MOL
Stagnicola sp.,,,pond snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,Lymnaeoidea,Lymnaeidae,Lymnaeinae,,Stagnicola,,,new 2016,observed,,,,,,2016-07-13,Andrew Simon,http://www.inaturalist.org/observations/3680865,,92192,MOL
Planorbella trivolvis,"(Say, 1817)",,marsh ramshorn,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,Lymnaeoidea,Planorbidae,Planorbinae,Helisomatini,Planorbella,native,SU (2015),new 2016,observed,,,,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3890687,,150985,MOL
