"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Genus","Tribe","Origin","Status","Reporting.Status","iNat.Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"1","Acarnus erithacus","Laubenfels, 1927",NA,"thick encrusting scarlet sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Acarnidae","","Acarnus",NA,"native","unlisted","reported","unobserved","2008-08-29","Andy Lamb","PMLS","",NA,"","","","",63669,"MAR"
"2","Adocia sp.","",NA,"pale orange carpet sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Haplosclerida",NA,NA,"Chalinidae","","Adocia",NA,"","","reported","unobserved","1994-09-10","Andy Lamb","PMLS","",NA,"","","","",464717,"MAR"
"3","Amphilectus digitatus","(Miklucho-Maclay, 1870)",NA,"glove sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Esperiopsidae","","Amphilectus",NA,"native","unlisted","reported","unobserved","1981-05-31","Andy Lamb","PMLS","",NA,"","","","",459874,"MAR"
"4","Antho (Plocamia) karykina","(Laubenfels, 1927)",NA,"bright red sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Microcionidae","","Antho",NA,"native","unlisted","reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","reported as Plocamia karykina",345142,"MAR"
"5","Aphrocallistes vastus","Schulze, 1886",NA,"cloud sponge","Animalia","Porifera",NA,NA,"Hexactinellida ","Hexasterophora",NA,"Sceptrulophora ",NA,NA,"Aphrocallistidae ","","Aphrocallistes",NA,"native","unlisted","confirmed","observed","2011-10-30","Jackson Chu","RBCM","016-00066-001",NA,"2007-10-23","Jackson Chu","https://inaturalist.ca/observations/8459011","",424651,"MAR"
"6","Aplysilla polyraphis","Laubenfels, 1930",NA,"slippery purple sponge","Animalia","Porifera",NA,NA,"Demospongiae","Keratosa",NA,"Dendroceratida",NA,NA,"Darwinellidae","","Aplysilla",NA,"native","unlisted","reported","unobserved","2008-11-12","Andy Lamb","PMLS","",NA,"","","","",216652,"MAR"
"7","Aplysilla sp.","",NA,"slippery rose sponge","Animalia","Porifera",NA,NA,"Demospongiae","Keratosa",NA,"Dendroceratida",NA,NA,"Darwinellidae","","Aplysilla",NA,"","","reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","undescribed species",63646,"MAR"
"8","Clathria (Microciona) pennata","(Lambe, 1895)",NA,"red velvety sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Microcionidae","","Clathria",NA,"native","unlisted","reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",63672,"MAR"
"9","Clathrina sp.","",NA,"lattice-skin sponge","Animalia","Porifera",NA,NA,"Calcarea","Calcinea",NA,"Clathrinida",NA,NA,"Clathrinidae","","Clathrina",NA,"","","reported","unobserved","2017-06-30","Andy Lamb","PMLS","",NA,"","","","",122021,"MAR"
"10","Cliona californiana","Laubenfels, 1932",NA,"yellow boring sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Clionaida",NA,NA,"Clionaidae","","Cliona",NA,"native","unlisted","reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",424811,"MAR"
"11","Craniella villosa","Lambe, 1893",NA,"tennis ball sponge","Animalia","Porifera",NA,NA,"Demospongiae","Tetractinomorpha",NA,"Spirophorida",NA,NA,"Tetillidae","","Craniella",NA,"native","unlisted","confirmed","observed","1985-08-02","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2975867","",459732,"MAR"
"12","Desmacella austini","Lehnert, Conway, Barrie & Krautter, 2005",NA,"thin encrusting Desmacella","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Desmacellida",NA,NA,"Desmacellidae","","Desmacella",NA,"native","unlisted","new 2007","observed","","","","",NA,"2007-10-23","Jackson Chu","https://inaturalist.ca/observations/59908535","",459736,"MAR"
"13","Halichondria (Eumastia) sitiens","(Schmidt, 1870)",NA,"breast sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Suberitida",NA,NA,"Halichondriidae","","Halichondria",NA,"native","unlisted","reported","unobserved","2007-12-15","Andy Lamb","PMLS","",NA,"","","","",459775,"MAR"
"14","Halichondria (Halichondria) bowerbanki","Burton, 1930",NA,"Bowerbank's crumb of bread sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Suberitida",NA,NA,"Halichondriidae","","Halichondria",NA,"native","unlisted","reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",120498,"MAR"
"15","Halichondria (Halichondria) panicea","(Pallas, 1766)",NA,"yellow-green encrusting sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Suberitida",NA,NA,"Halichondriidae","","Halichondria",NA,"native","unlisted","reported","unobserved","1968-08-02","Andy Lamb","PMLS","",NA,"","","","",186854,"MAR"
"16","Haliclona (Haliclona) sp.","",NA,"gnarled finger sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Haplosclerida",NA,NA,"Chalinidae","","Haliclona",NA,"","","reported","unobserved","2006-11-11","Andy Lamb","PMLS","",NA,"","","","undescribed species",129864,"MAR"
"17","Hamigera sp.","",NA,"orange cratered encrusting sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Hymedesmiidae","","Hamigera",NA,"","","reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",342247,"MAR"
"18","Heterochone calyx","(Schulze, 1886)",NA,"fingered goblet sponge","Animalia","Porifera",NA,NA,"Hexactinellida ","Hexasterophora",NA,"Sceptrulophora ",NA,NA,"Aphrocallistidae","","Heterochone",NA,"native","unlisted","reported","unobserved","2012","Jackson Chu","Chu (2012)","",NA,"","","","",424648,"MAR"
"19","Homaxinella amphispicula","(Laubenfels, 1961)",NA,"tough yellow branching sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Suberitida",NA,NA,"Suberitidae","","Homaxinella",NA,"native","unlisted","reported","unobserved","1999-05-04","Andy Lamb","PMLS","",NA,"","","","misspelled Hamaxinella amphispicula",459847,"MAR"
"20","Iophon lamella","Wilson, 1904",NA,"white reticulated sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Acarnidae","","Iophon",NA,"native","unlisted","reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",196333,"MAR"
"21","Isodictya rigida","(Lambe, 1893)",NA,"orange finger sponge","Animalia","Porifera",NA,NA,"Demospongiae","Heteroscleromorpha",NA,"Poecilosclerida",NA,NA,"Esperiopsidae","","Isodictya",NA,"","","reported","unobserved","1960-12-22","W. Clemens","RBCM","981-00064-001",1898268969,"","","","reported as Amphilectus rigida (GBIF); as Neoesperiopsis rigida (RBCM)",459878,"MAR"
"22","Leucandra heathi","Urban, 1906",NA,"bristly vase sponge","Animalia","Porifera",NA,NA,"Calcarea","Calcaronea",NA,"Leucosolenida",NA,NA,"Grantiidae","","Leucandra",NA,"native","unlisted","reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",345357,"MAR"
"23","Leucilla nuttingi","(Urban, 1902)",NA,"stalked vase sponge","Animalia","Porifera",NA,NA,"Calcarea","Calcaronea",NA,"Leucosolenida",NA,NA,"Amphoriscidae","","Leucilla",NA,"native","unlisted","confirmed","observed","1985-07-29","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2975914","",117713,"MAR"
