Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Pseudacris regilla,"Baird and Girard, 1852",,northern Pacific treefrog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,Acridinae,,Pseudacris,native,S5 (2016),confirmed,observed,1957,A. I. Ortenburger,Sam Noble Oklahoma Museum of Natural History.,27613,,2008-07-27,Ian Guthrie,http://www.inaturalist.org/observations/4167009,,24259,HER
Rana aurora,"Baird and Girard, 1852",,northern red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Rana,native,S3 (2016),confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2013-09-27,Bridgit Spencer,http://www.inaturalist.org/observations/2333734,,25545,HER
Ambystoma gracile,"(Baird, 1859)",,northwestern salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,Ambystoma,native,S4S5 (2016),new 2016,observed,,,,,,2016-04-10,Marlin Stewart,http://www.inaturalist.org/observations/2914558,,26747,HER
Ambystoma macrodactylum,"Baird, 1849",,long-toed salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,Ambystoma,native,S5 (2016),new 2016,observed,,,,,,2016-10-30,Jenny Breukelman,http://www.inaturalist.org/observations/4469044,,26754,HER
Taricha granulosa,"(Skilton, 1849)",,rough-skinned newt,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae,,Taricha,native,S4S5 (2016),confirmed,observed,1979-10-28,Geoffrey G.E. Scudder,UBC,H001463,,2007-11-03,Shera Street,http://www.inaturalist.org/observations/2635602,,27826,HER
Elgaria coerulea,"(Wiegmann, 1828)",,northern alligator lizard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Gerrhonotinae,,Elgaria,native,S4 (2018),new 2017,observed,,,,,,2014-08-20,Christian Adler,https://www.inaturalist.org/observations/5258381,,32064,HER
Contia tenuis,Baird & Girard,,sharp-tailed snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Dipsadinae,,Contia,native,S1S2 (2018),reported,unobserved,,"BC Ministry of Water, Land & Air Protection",Sharp-tailed Snake Wildlife in BC At Risk Report,,,,,,considered extirpated,26916,HER
Pituophis catenifer catenifer,"(Blainville, 1835)",,Pacific gopher snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,Pituophis,native,SX (2018),confirmed,observed,1957-07-01,A.I. Ortenburger,Sam Noble Oklahoma Museum of Natural History,29149,,2019-07-11,Jessica Kirkwood,https://www.inaturalist.org/observations/26849039,long considered extirpated,51440,HER
Thamnophis elegans vagrans,"(Baird & Girard, 1853)",Baird & Girard (1853),wandering garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,Thamnophis,native,S5 (2018),new 2016,observed,,,,,,2006-07-22,jmclatchie,https://www.inaturalist.org/observations/64748293,,28403,HER
Thamnophis ordinoides,"(Baird & Girard, 1852)",,northwestern garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,Thamnophis,native,S4 (2018),new 2016,observed,,,,,,2009-05-03,Shera Street,http://www.inaturalist.org/observations/2635597,,28389,HER
Thamnophis sirtalis pickeringii,"(Linnaeus, 1758)","(Baird & Girard, 1853)",common garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,Thamnophis,native,S5 (2018),confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2012-04-14,Brian Starzomski,https://www.inaturalist.org/observations/22396982,,28362,HER
Trachemys scripta elegans,"(Thunberg in Schoepff, 1792)","(Wied-Neuwied, 1839)",pond slider,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,Trachemys,exotic,unlisted,new 2016,observed,,,,,,2016-06-26,Henny Schnare,http://www.inaturalist.org/observations/3534875,,51271,HER
