Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Zootermopsis angusticollis,(Hagen),,Pacific dampwood termite,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blattoidea,Archotermopsidae,,,Zootermopsis,,,confirmed,observed,1975-09-14,Geoffrey G.E. Scudder,SEM,SEM-UBC ISO-0042,,2016-01-01,Andrew Simon,https://www.inaturalist.org/observations/24352863,,121383,ART
Reticulitermes hesperus,,,western subterranean termite,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blattoidea,Rhinotermitidae,,,Reticulitermes,,,new 2019,observed,,,,,,2019-08-22,Chris Ratzlaff,https://www.inaturalist.org/observations/32630539,,296465,ART
Agonum limbatum,"Motschulsky, 1845",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Platyninae,Platynini,Agonum,native,SU (2017),reported,unobserved,1985-04-07,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20599,,,,,,212774,ART
Amara sp.,,,sun beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Zabrini,Amara,,,new 2015,observed,,,,,,2015-03-13,Andrew Simon,http://www.inaturalist.org/observations/1295355,,539019,ART
Bembidion concretum,,,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Bembidiini,Bembidion,,,new 2019,observed,,,,,,2019-05-04,Charlene Wood,https://www.inaturalist.org/observations/32817932,,215006,ART
Bembidion connivens,"(LeConte, 1852)",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Bembidiini,Bembidion,native,S4S5 (2017),reported,unobserved,1979-04-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20686,,,,,,215008,ART
Bembidion incrematum,,,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Bembidiini,Bembidion,,,new 2019,observed,,,,,,2019-05-04,Charlene Wood,https://www.inaturalist.org/observations/32816842,,215045,ART
Bembidion versicolor,"(LeConte, 1848)",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Bembidiini,Bembidion,native,S4S5 (2017),reported,unobserved,1982-04-09,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20756,,,,,,215140,ART
Calathus fuscipes,,,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Platyninae,Sphodrini,Calathus,,,new 2018,observed,,,,,,2018-08-20,Andrew Simon,https://www.inaturalist.org/observations/21476374,,131007,ART
Carabus nemoralis,,,bronze ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Carabini,Carabus,exotic,unlisted,new 2018,observed,,,,,,2018-09-14,Kevin Toomer,https://www.inaturalist.org/observations/16635201,,56552,ART
Cicindela oregona,,,western tiger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,Cicindelini,Cicindela,,,new 2019,observed,,,,,,2019-05-03,Scott Gilmore,https://www.inaturalist.org/observations/32180661,,52620,ART
Elaphropus parvulus,"(Dejean, 1831)",,small carabid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Bembidiini,Elaphropus,exotic,unlisted,reported,unobserved,1981-03-22,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20843,,,,,,218939,ART
Elaphrus sp.,,,marsh ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Elaphrinae,Elaphrini,Elaphrus,,,new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/27516541,,88115,ART
Harpalus cordifer,"Notman, 1919",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Harpalinae,Harpalini,Harpalus,native,S4S5 (2017),reported,unobserved,1981-04-18,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20858,,,,,,220942,ART
Loricera pilicornis,"(Fabricius, 1775)",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Loricerinae,Loricerini,Loricera,native,S4S5 (2017),reported,unobserved,1985-04-07,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20884,,,,,,131819,ART
Microlestes linearis,"(LeConte, 1851)",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Lebiinae,Lebiini,Microlestes,native,S4S5 (2017),reported,unobserved,1985-04-07,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20885,,,,,,225128,ART
Omus dejeanii,"Reiche, 1838",,greater night-stalking tiger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,Megacephalini,Omus,native,S4S5 (2017),confirmed,observed,1994-04-18,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-14408,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/1287081,,226395,ART
Pterostichus algidus,"LeConte, 1853",,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Pterostichini,Pterostichus,native,S3S5 (2017),new 2016,observed,,,,,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3516395,,229317,ART
Pterostichus amethystinus,"Mannerheim, 1843",,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Pterostichini,Pterostichus,native,S3S5 (2017),confirmed,observed,1990-05-01,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20940,,2018-05-19,Scott Gilmore,https://www.inaturalist.org/observations/12819292,,229318,ART
Pterostichus crenicollis,"LeConte, 1873",,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Pterostichini,Pterostichus,native,S3S5 (2017),new 2016,observed,,,,,,2016-06-23,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/3561730,,229337,ART
Pterostichus herculaneus,"Mannerheim, 1843",,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Pterostichini,Pterostichus,native,S5 (2017),confirmed,observed,1990-09-23,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20949,,2019-05-04,Charlene Wood,https://www.inaturalist.org/observations/24568125,,229343,ART
Pterostichus lama,"(Ménétriés, 1843)",,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,Pterostichini,Pterostichus,native,S3S5 (2017),confirmed,observed,1990-09-23,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-26789,,2018-10-13,Kevin Toomer,https://www.inaturalist.org/observations/17745557,,124154,ART
Scaphinotus angusticollis,"(Mannerheim, 1823)",,snail-killing carabid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Cychrini,Scaphinotus,native,S5 (2017),new 2013,observed,,,,,,2013-09-28,Bridgit Spencer,http://www.inaturalist.org/observations/3737792,,63575,ART
Scaphinotus marginatus,"(Fischer von Waldheim, 1820)",,snail-killing carabid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Cychrini,Scaphinotus,native,S5 (2017),new 2016,observed,,,,,,2016-10-20,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/4403854,,230462,ART
Tachyta falli,"Hayward, 1900",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Bembidiini,Tachyta,native,S4S5 (2017),reported,unobserved,1979-06-10,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-20987,,,,,,232241,ART
Zacotus matthewsii,"LeConte, 1869",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Broscinae,Broscini,Zacotus,native,S4S5 (2017),new 2017,observed,,,,,,2017-05-27,Andrew Simon,http://inaturalist.ca/observations/6484799,,233923,ART
Clinidium calcaratum,"LeConte, 1875",,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Rhysodidae,,Clinidiini,Clinidium,native,SU (2017),confirmed,observed,1976-12-27,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-17694,,2019-05-01,Scott Gilmore,https://www.inaturalist.org/observations/34740614,,217197,ART
Trachypachus holmbergi,"Mannerheim, 1853",,false ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Trachypachidae,,,Trachypachus,native,SNR,reported,unobserved,1980-06-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-17766,,,,,,232773,ART
Acilius abbreviatus,"Aubé, 1838",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,Aciliini,Acilius,native,SNR,reported,unobserved,1987-03-29,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-02044,,,,,,212321,ART
Agabus anthracinus,"Mannerheim, 1852",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Agabinae,Agabini,Agabus,native,SNR,reported,unobserved,1984-09-01,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-02395,,,,,,212593,ART
Colymbetes densus,"LeConte, 1959",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Colymbetinae,Colymbetini,Colymbetes,native,SNR,reported,unobserved,?,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24007,,,,,,217479,ART
Desmopachria convexa,"(Aube, 1838)",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Hyphydrini,Desmopachria,native,SNR,reported,unobserved,1984-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24015,,,,,,218285,ART
Dytiscus marginicollis,,,giant green water beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,Dytiscini,Dytiscus,,,new 2020,observed,,,,,,2020-12-20,Christian Adler,https://www.inaturalist.org/observations/66860687,,218855,ART
Hydroporus longiusculus,"Gemminger & Harold, 1868",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Hydroporini,Hydroporus,native,SNR,reported,unobserved,1975-04-16,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24044,,,,,,221667,ART
Hydroporus striola,"(Gyllenhal, 1826)",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Hydroporini,Hydroporus,native,SNR,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24055,,,,,,221685,ART
Laccornis pacificus,"Leech, 1940",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,,Laccornis,native,SNR,reported,unobserved,1979-04-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24091,,,,,,222575,ART
Rhantus consimilis,"Motschulsky, 1859",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Colymbetinae,Colymbetini,Rhantus,native,SNR,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24110,,,,,,229889,ART
Gyrinus bifarius,"Fall, 1922",,whirligig beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Gyrinidae,,,Gyrinus,native,S4S5 (2017),new 2017,observed,,,,,,2017-05-14,Scott Gilmore,https://www.inaturalist.org/observations/6346257,,220770,ART
Gyrinus picipes,"Aubé, 1838",,whirligig beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Gyrinidae,,,Gyrinus,native,S5 (2017),reported,unobserved,1984-05-15,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-01509,,,,,,220785,ART
Polycaon stoutii,"(LeConte, 1853)",,Stout’s hardwood borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Bostrichidae,Polycaoninae,,Polycaon,native,SU (2017),reported,unobserved,1973-07-17,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-19841,,,,,,345140,ART
Ptilinus basalis,"LeConte, 1858",,spider beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Ptilininae,,Ptilinus,native,SU (2017),reported,unobserved,1973-07-09,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-28001,,,,,,457193,ART
Ptinus fallax,,,spider beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Ptininae,Ptinini,Ptinus,,,new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6224412,,457195,ART
Ptinus sp.,,,spider beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Ptininae,Ptinini,Ptinus,,,new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6224412,,550678,ART
Vrilletta decorata,,,ptinid beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Xyletininae,,Vrilletta,,,new 2019,observed,,,,,,2019-05-03,Scott Gilmore,https://www.inaturalist.org/observations/26065213,,457204,ART
Xestobium affine,"LeConte, 1874",,ptinid beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Ernobiinae,,Xestobium,native,S4S5 (2017),new 2018,observed,,,,,,2018-05-19,Scott Gilmore,https://www.inaturalist.org/observations/12819293,,457206,ART
Anthaxia (Melanthaxia) sp.,,,jewel beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Anthaxiini,Anthaxia,,,new 2021,observed,,,,,,2021-05-05,Andrew Simon,https://www.inaturalist.org/observations/77854411,,492141,ART
Anthaxia retifer,"LeConte, 1860",,metallic wood-boring beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Anthaxiini,Anthaxia,native,S4S5 (2017),confirmed,observed,1978-06-03,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-26539,,2018-05-19,Scott Gilmore,https://www.inaturalist.org/observations/13064356,,455220,ART
Buprestis aurulenta,"Linnaeus, 1767",,golden buprestid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Buprestis,native,S5 (2017),new 2016,observed,,,,,,2016-08-04,Christian Adler,http://www.inaturalist.org/observations/3959799,,215596,ART
Buprestis langi,"Mannerheim, 1843",,metallic wood-boring beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Buprestis,native,S5 (2017),reported,unobserved,1976-07-27,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-26556,,,,,,455225,ART
Buprestis lyrata,,,pink-faced jewel beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Buprestis,,,new 2021,observed,,,,,,2021-07-18,Emily Um,https://www.inaturalist.org/observations/87675356,,132091,ART
Chalcophora angulicollis,"(LeConte, 1857)",,western sculptured pine borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Chrysochroinae,Chrysochroini,Chalcophora,native,S4S5 (2017),confirmed,observed,2012-05-12,E. Harrower,VMS,,,2016-05-02,Luke Halpin,https://www.inaturalist.org/observations/59848886,,82080,ART
Dicerca crassicollis,"LeConte, 1857",,dark jewel beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Chrysochroinae,Dicercini,Dicerca,native,SU (2017),new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6207545,,455242,ART
Trachykele blondeli,"Marseul, 1865",,western cedar borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Trachykele,native,SU (2017),new 2014,observed,,,,,,2014-06-22,Ian Guthrie,http://www.inaturalist.org/observations/4170081,,455266,ART
