Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Acantharia (sp),,,radiozoan,Protozoa,Retaria,Radiozoa,,Acantharia,,,,,,,,,,native,unlisted,new 2017,observed,,,,,,2006-01-22,Mark Webber,https://www.inaturalist.org/observations/4874707,,,PRO
Amaurochaete tubulina,(Alb. & Schwein.) T. Macbr.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,Amaurochaete,cosmopolitan,unlisted,new 2019,observed,2019-07,Kevin Toomer,PJ private collection,Galaino #10,,2019-07-05,Kevin Toomer,https://www.inaturalist.org/observations/28243758,,906605,PRO
Amphilithidae (sp),,,radiolarian,Protozoa,Labyrinthista,,,Labyrinthulea,,,Radiolaria,,,Amphilithidae,,,,native,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,https://www.inaturalist.org/observations/4873079,,,PRO
Arachnocorallium sp.,,,radiozoan,Protozoa,Sarcomastigophora,,,Polycystina,,,Nassellaria,,,Plagiacanthidae,,,Arachnocorallium,native,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,https://www.inaturalist.org/observations/4873076,,521669,PRO
Arcella gibbosa,Penard,,,Protozoa,Amoebozoa,,,Lobosa,,,Arcellinida,,,Arcellidae,,,Arcella,native,unlisted,new 2004,observed,,,,,,2004-07-14,Mark Webber,https://www.inaturalist.org/observations/4848872,,521005,PRO
Arcyria cinerea,(Bull.) Pers.,,white slime,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,Arcyria,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,,,,,,,,56258,PRO
Arcyria ferruginea,,,,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,Arcyria,,,new 2020,observed,,,,,,2020-01-24,Pam Janszen,https://www.inaturalist.org/observations/70175131,,332465,PRO
Arcyria incarnata,(Pers. ex J.F. Gmel.) Pers.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,Arcyria,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janzen,PJ private collection,Galiano #1,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150085,,381271,PRO
Arcyria obvelata,(Oeder) Onsberg.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,Arcyria,cosmopolitan,unlisted,new 2017,observed,2017-07,Ed Androusiak,PJ private collection,Galiano #9,,2017-07-07,Ed Andrusiak,https://www.inaturalist.org/observations/7626272,,146745,PRO
Badhamia foliicola,Lister,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,Badhamia,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janszen,PJ private collection,Galiano #4,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/33635443,,381369,PRO
