Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Badhamia utricularis,(Bull.) Berk,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,Badhamia,cosmopolitan,unlisted,new 2018,observed,,,,,,2018-01-14,Kevin Toomer,https://www.inaturalist.org/observations/9475067,https://static.inaturalist.org/photos/12916188/original.jpg?1516055083,56264,PRO
Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,,coral slime,Protozoa,Mycetozoa,,,Protosteliomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,Ceratiomyxa,cosmopolitan,unlisted,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #2,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150082,,56252,PRO
Ceratiomyxa porioides,,,,Protozoa,Mycetozoa,,,Protosteliomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,Ceratiomyxa,,,new 2017,observed,,,,,,2017-05-23,Andrew Simon,https://www.inaturalist.org/observations/6413749,,557517,PRO
Cribraria vulgaris,,,,Protozoa,Mycetozoa,,,Myxomycetes,,,Liceales,,,Cribrariaceae,,,Cribraria,,,new 2021,observed,,,,,,2021-10-23,Pam Janszen,https://www.inaturalist.org/observations/101241795,,382043,PRO
Dictydiaethalium plumbeum,(Schumach.) Rostaf.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Liceales,,,Dictydiaethaliaceae,,,Dictydiaethalium,cosmopolitan,unlisted,new 2019,observed,2019-05,Pam Janszen,PJ private collection,Galiano #8,,2019-05-04,Pam Janszen,https://www.inaturalist.org/observations/24652691,,324282,PRO
Fuligo septica,(L.) F.H. Wigg.,,dog vomit slime,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,Fuligo,cosmopolitan,unlisted,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-06-22,Andrew Simon,http://www.inaturalist.org/observations/3505716,https://static.inaturalist.org/photos/4079828/medium.JPG?1466650736,55483,PRO
Leocarpus fragilis,(Dicks.) Rostaf.,,insect egg slime,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,Leocarpus,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,56273,PRO
Lycogala epidendrum,(L.) Fr.,,wolf's milk,Protozoa,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,Lycogala,cosmopolitan,unlisted,confirmed,observed,2012-03-11,Kent Brothers,VMS,,,2019-07-19,Kevin Toomer,https://www.inaturalist.org/observations/29123769,,47680,PRO
Metatrichia floriformis,(Schwein.) Nann.-Bremek.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Trichiaceae,,,Metatrichia,cosmopolitan,unlisted,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #3,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150087,,126277,PRO
Nassellaria (sp),,,radiolarian,Protozoa,Sarcomastigophora,,,Polycystina,,,Nassellaria,,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-18,Mark Webber,https://www.inaturalist.org/observations/4873072,,,PRO
Phormacantha sp.,,,radiolarian,Protozoa,Sarcomastigophora,,,Polycystina,,,Nassellaria,,,Plagiacanthidae,,,Phormacantha,unlisted,unlisted,new 2006,observed,,,,,,2006-01-21,Mark Webber,https://www.inaturalist.org/observations/4873083,,,PRO
Physarum cinereum,(Batsch) Pers.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,Physarum,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,125933,PRO
Physarum viride,(Bull.) Pers.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,Physarum,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janszen,PJ private collection,Galiano #5,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/6571618,,383670,PRO
Pylolena armata,,,radiozoan,Protozoa,Sarcomastigophora,,,Polycystina,,,Spumellaria,,,Pyloniidae,,,Pylolena,native,unlisted,new 2016,observed,,,,,,2006-01-20,Mark Webber,https://www.inaturalist.org/observations/4873084,,521673,PRO
Radiolaria (sp),,,radiolarian,Protozoa,Labyrinthista,,,Labyrinthulea,,,Radiolaria,,,,,,,native,unlisted,new 2017,observed,,,,,,2008-12-31,Mark Webber,https://www.inaturalist.org/observations/4873070,,,PRO
Reticularia lycoperdon,,,False Puffball,Protozoa,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,Reticularia,,,new 2021,observed,,,,,,2021-06-05,Caitlin Robinson ,https://www.inaturalist.org/observations/81817997,,145366,PRO
Stemonaria irregularis,"(Rex) Nann.-Bremek., R. Sharma & Y. Yamam.",,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,Stemonaria,cosmopolitan,unlisted,new 2019,observed,2019-07,Kevin Toomer,PJ private collection,Galiano #7,,2019-07-08,Kevin Toomer,https://www.inaturalist.org/observations/28445406,,947418,PRO
Stemonitis fusca,Roth,,pipe-cleaner slime,Protozoa,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,Stemonitis,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janszen,PJ private collection,Galiano #6,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150093,,126279,PRO
Stemonitis splendens,Rostaf.,,chocolate tube slime,Protozoa,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,Stemonitis,cosmopolitan,unlisted,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,53838,PRO
Trichia decipiens,(Pers.) T. Macbr.,,slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Trichiaceae,,,Trichia,cosmopolitan,unlisted,new 2016,observed,,,,,,2016-03-25,Sarah Tweedale,http://inaturalist.ca/observations/2829467,,56275,PRO
Tubifera ferruginosa,(Batsch) J.F. Gmel.,,red raspberry slime,Protozoa,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,Tubifera,cosmopolitan,unlisted,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2021-10-23,Pam Janszen,https://www.inaturalist.org/observations/101733901,,126522,PRO
